,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
0,Original,0.687,0.451,0.063,0.045,0.079,0.654,0.432,0.907,0.701
1,sample_data_parallel_bank-VGAN-gmm_age_1.csv,0.028,0.002,-0.166,-0.289,0.076,0.341,0.737,0.803,0.774
2,sample_data_parallel_bank-VGAN-gmm_age_2.csv,0.035,0.023,-0.156,-0.285,0.078,0.377,0.667,0.832,0.76
3,sample_data_parallel_bank-VGAN-gmm_age_3.csv,0.022,0.008,-0.154,-0.255,0.075,0.284,0.819,0.738,0.773
4,sample_data_parallel_bank-VGAN-norm_age_1.csv,0.101,-0.059,-0.211,-0.388,0.073,0.411,0.682,0.848,0.776
5,sample_data_parallel_bank-VGAN-norm_age_2.csv,0.036,-0.031,-0.197,-0.344,0.071,0.327,0.808,0.783,0.794
6,sample_data_parallel_bank-VGAN-norm_age_3.csv,0.031,0.016,-0.171,-0.321,0.073,0.447,0.64,0.865,0.767
7,sample_data_parallel_bank-WGAN-gmm_age_1.csv,0.265,0.258,0.049,0.077,0.114,0.221,0.458,0.747,0.622
8,sample_data_parallel_bank-WGAN-gmm_age_2.csv,0.04,-0.03,-0.063,-0.068,0.114,0.219,0.464,0.744,0.623
9,sample_data_parallel_bank-WGAN-gmm_age_3.csv,0.073,0.052,-0.036,-0.049,0.116,0.227,0.428,0.763,0.617
10,sample_data_parallel_bank-WGAN-norm_age_1.csv,0.048,-0.065,-0.082,-0.068,0.092,0.19,0.731,0.604,0.659
11,sample_data_parallel_bank-WGAN-norm_age_2.csv,0.117,-0.151,-0.118,-0.121,0.095,0.192,0.704,0.619,0.656
12,sample_data_parallel_bank-WGAN-norm_age_3.csv,0.075,-0.083,-0.1,-0.11,0.099,0.209,0.651,0.672,0.663
13,sample_data_parallel_bank-tabfairgan_age_1.csv,0.061,-0.029,-0.141,-0.23,0.085,0.403,0.55,0.852,0.721
14,sample_data_parallel_bank-fairgan_age_1.csv,0.62,-0.601,-0.264,-0.355,0.13,0.15,0.395,0.664,0.547
15,sample_data_parallel_bank-fairgan_age_2.csv,0.381,-0.196,-0.071,-0.096,0.149,0.101,0.143,0.746,0.485
16,sample_data_parallel_bank-fairgan_age_3.csv,0.443,-0.242,-0.116,-0.165,0.138,0.153,0.233,0.755,0.529
17,sample_data_parallel_bank-tabfairgan_age_2.csv,0.143,-0.061,-0.151,-0.25,0.086,0.422,0.51,0.861,0.709
18,sample_data_parallel_bank-tabfairgan_age_3.csv,0.157,-0.056,-0.149,-0.26,0.087,0.462,0.468,0.874,0.698
19,sample_data_parallel_bank-VGAN-gmm_age_4.csv,0.156,-0.102,-0.205,-0.354,0.08,0.359,0.663,0.822,0.753
20,sample_data_parallel_bank-VGAN-gmm_age_5.csv,0.052,0.046,-0.145,-0.25,0.075,0.319,0.772,0.781,0.777
21,sample_data_parallel_bank-VGAN-gmm_age_6.csv,0.039,-0.019,-0.165,-0.286,0.078,0.399,0.635,0.845,0.754
22,sample_data_parallel_bank-VGAN-norm_age_4.csv,0.053,-0.03,-0.197,-0.359,0.072,0.422,0.682,0.854,0.779
23,sample_data_parallel_bank-VGAN-norm_age_5.csv,0.059,-0.037,-0.206,-0.386,0.073,0.393,0.699,0.838,0.778
24,sample_data_parallel_bank-VGAN-norm_age_6.csv,0.027,0.015,-0.17,-0.319,0.074,0.435,0.642,0.861,0.766
25,sample_data_parallel_bank-WGAN-gmm_age_4.csv,0.015,0.008,-0.048,-0.055,0.116,0.221,0.431,0.756,0.615
26,sample_data_parallel_bank-WGAN-gmm_age_5.csv,0.016,-0.0,-0.05,-0.054,0.116,0.219,0.434,0.753,0.615
27,sample_data_parallel_bank-WGAN-gmm_age_6.csv,0.03,0.002,-0.047,-0.049,0.116,0.234,0.398,0.778,0.613
28,sample_data_parallel_bank-WGAN-norm_age_4.csv,0.054,-0.056,-0.091,-0.096,0.099,0.217,0.641,0.687,0.667
29,sample_data_parallel_bank-WGAN-norm_age_5.csv,0.106,-0.123,-0.115,-0.129,0.098,0.203,0.67,0.654,0.661
30,sample_data_parallel_bank-WGAN-norm_age_6.csv,0.132,-0.166,-0.127,-0.141,0.097,0.194,0.684,0.63,0.653
31,sample_data_parallel_bank-fairgan_age_4.csv,0.582,-0.623,-0.238,-0.279,0.134,0.127,0.377,0.625,0.517
32,sample_data_parallel_bank-fairgan_age_5.csv,0.138,-0.044,-0.047,-0.086,0.136,0.164,0.239,0.766,0.537
33,sample_data_parallel_bank-fairgan_age_6.csv,0.196,-0.328,-0.132,-0.159,0.105,0.125,0.589,0.469,0.521
34,sample_data_parallel_bank-tabfairgan_age_4.csv,0.177,-0.074,-0.156,-0.26,0.087,0.427,0.5,0.863,0.705
35,sample_data_parallel_bank-tabfairgan_age_5.csv,0.12,-0.06,-0.175,-0.298,0.079,0.423,0.593,0.858,0.743
36,sample_data_parallel_bank-tabfairgan_age_6.csv,0.063,-0.042,-0.163,-0.264,0.081,0.355,0.665,0.819,0.752
37,sample_data_parallel_bank-VGAN-ordi-gmm_age_1.csv,0.032,-0.01,-0.162,-0.296,0.081,0.391,0.606,0.843,0.741
38,sample_data_parallel_bank-VGAN-ordi-gmm_age_2.csv,0.082,-0.058,-0.195,-0.344,0.078,0.351,0.702,0.813,0.765
39,sample_data_parallel_bank-VGAN-ordi-gmm_age_3.csv,0.112,-0.075,-0.194,-0.336,0.079,0.36,0.677,0.821,0.759
40,sample_data_parallel_bank-VGAN-ordi-norm_age_1.csv,0.046,0.029,-0.139,-0.241,0.08,0.379,0.644,0.835,0.752
41,sample_data_parallel_bank-VGAN-ordi-norm_age_2.csv,0.131,0.075,-0.128,-0.248,0.079,0.421,0.602,0.857,0.746
42,sample_data_parallel_bank-VGAN-ordi-norm_age_3.csv,0.013,0.008,-0.164,-0.295,0.077,0.385,0.669,0.836,0.764
