,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,var
0,Original,0.252,-0.5108788598574823,-0.1364468487287833,-0.1186775584953854,0.2216830911061214,0.674,0.709,0.658,0.654,0.5070924096509596
1,../gan_data/compas/compas-pro-FAIRGAN/race//sample_data_FAIRGAN_race_0_3_0.csv,0.14,-0.2303721298495645,-0.0467689062487411,0.0051154416801781,0.2632290071574182,0.693,0.64,0.653,0.654,0.8682048065663389
2,../gan_data/compas/compas-pro-FAIRGAN/race//sample_data_FAIRGAN_race_1_3_0.csv,0.015,0.0355027711797307,0.0333101994396806,0.0026472238573734,0.1508752696732808,0.581,0.838,0.587,0.565,0.7418461579305893
3,../gan_data/compas/compas-pro-FAIRGAN/race//sample_data_FAIRGAN_race_2_3_0.csv,0.093,-0.2007790973871733,-0.0492564708733211,-0.0206545424502483,0.1814641232181103,0.605,0.785,0.606,0.591,0.7867581689217691
4,../gan_data/compas/compas-pro-FAIRGAN/race//sample_data_FAIRGAN_race_3_3_0.csv,0.068,-0.1630498812351544,-0.0439313344675075,-0.0479495202982516,0.1718428813419057,0.567,0.803,0.562,0.542,0.8935148070797707
5,../gan_data/compas/compas-pro-FAIRGAN/race//sample_data_FAIRGAN_race_4_3_0.csv,0.508,-0.447901821060966,-0.1398195031302758,-0.1586957344927416,0.5737514111958261,0.627,0.23,0.51,0.535,0.9354415696142429
6,../gan_data/compas/compas-pro-FAIRGAN/race//sample_data_FAIRGAN_race_5_3_0.csv,0.235,-0.535993665874901,-0.14348566500047,-0.1304299931495768,0.1738371053258381,0.66,0.791,0.667,0.657,1.1644517808720858
7,../gan_data/compas/compas-pro-FAIRGAN/race//sample_data_FAIRGAN_race_6_3_0.csv,0.269,-0.4238638163103722,-0.1147592034924488,-0.0887422416374921,0.3218018990258788,0.687,0.553,0.622,0.628,0.9096542635150142
8,../gan_data/compas/compas-pro-TABFAIRGAN/race//sample_data_pro_compas_race_tab_split_60_0_7.csv,0.319,-0.5973586698337291,-0.1610605919531919,-0.1886998998254691,0.2717736152934331,0.685,0.629,0.643,0.645,0.5378543048193223
9,../gan_data/compas/compas-pro-TABFAIRGAN/race//sample_data_pro_compas_race_tab_split_60_0_8.csv,0.353,-0.7540585906571655,-0.2203983098909726,-0.186448554698392,0.2297657059506614,0.681,0.695,0.66,0.657,0.5535508569382692
10,../gan_data/compas/compas-pro-TABFAIRGAN/race//sample_data_pro_compas_race_tab_split_60_0_9.csv,0.34,-0.7032589073634203,-0.2147579727578393,-0.1634979156124244,0.260131659366061,0.652,0.652,0.624,0.622,0.5323269266235612
11,../gan_data/compas/compas-pro-TABFAIRGAN/race//sample_data_race_pro_compas_tab_split_60_0_0.csv,0.239,-0.4632842438638163,-0.1311187593262775,-0.136440465002599,0.2720168049710829,0.628,0.638,0.601,0.597,0.485823208315129
12,../gan_data/compas/compas-pro-TABFAIRGAN/race//sample_data_race_pro_compas_tab_split_60_0_1.csv,0.28,-0.5016405384006334,-0.1245682192424639,-0.1745102291621485,0.2732983326073408,0.689,0.626,0.646,0.647,0.5381312258826465
13,../gan_data/compas/compas-pro-TABFAIRGAN/race//sample_data_race_pro_compas_tab_split_60_0_2.csv,0.265,-0.5285827395091053,-0.1410107492678695,-0.1280857025814735,0.229198945895029,0.68,0.696,0.66,0.656,0.5038185269589841
14,../gan_data/compas/compas-pro-TABFAIRGAN/race//sample_data_race_pro_compas_tab_split_60_0_3.csv,0.278,-0.4997244655581948,-0.1263118951989606,-0.1138375107145439,0.2516811947789868,0.717,0.653,0.674,0.676,0.5100945661766646
15,../gan_data/compas/compas-pro-TABFAIRGAN/race//sample_data_race_pro_compas_tab_split_60_0_4.csv,0.324,-0.6053586698337292,-0.1714670962602589,-0.1353044651678353,0.2669437566582449,0.693,0.634,0.651,0.653,0.534096441413939
16,../gan_data/compas/compas-pro-TABFAIRGAN/race//sample_data_race_pro_compas_tab_split_60_0_5.csv,0.265,-0.4921488519398258,-0.1263215479220308,-0.1494493843225137,0.2608545381889721,0.679,0.647,0.644,0.644,0.5131960402141681
17,../gan_data/compas/compas-pro-TABFAIRGAN/race//sample_data_race_pro_compas_tab_split_60_0_6.csv,0.294,-0.5071322248614412,-0.1424187463617827,-0.129565944790408,0.3062908186517761,0.67,0.579,0.619,0.622,0.5200545161135542
18,../gan_data/compas/compas-pro-VGAN-1hot-gmm-split-60-WTrain/8-9//sample_data_0_98_0.csv,0.186,-0.3138780680918447,-0.0766775292222946,-0.0455329388315725,0.2781466714833079,0.674,0.621,0.634,0.635,0.4811370103012925
19,../gan_data/compas/compas-pro-VGAN-1hot-gmm-split-60-WTrain/8-9//sample_data_0_99_0.csv,0.2,-0.4080886777513856,-0.1039739459739024,-0.0922431865828092,0.2146276978556049,0.658,0.724,0.648,0.641,0.4900904260600395
20,../gan_data/compas/compas-pro-VGAN-1hot-gmm-split-60-WTrain/8-9//sample_data_1_98_0.csv,0.316,0.8391892319873318,0.2850134577991138,0.2626500466448416,0.1874112970057508,0.534,0.777,0.514,0.491,0.6215152201306099
21,../gan_data/compas/compas-pro-VGAN-1hot-gmm-split-60-WTrain/8-9//sample_data_1_99_0.csv,0.264,0.7398669833729217,0.2522545251681912,0.2173718471701555,0.153021764222817,0.532,0.834,0.514,0.487,0.6477023830292539
22,../gan_data/compas/compas-pro-VGAN-1hot-gmm-split-60-WTrain/8-9//sample_data_2_98_0.csv,0.186,-0.3955154394299288,-0.1218529821975737,-0.1236312062597033,0.2575562922515019,0.576,0.666,0.555,0.546,0.7556313791668778
23,../gan_data/compas/compas-pro-VGAN-1hot-gmm-split-60-WTrain/8-9//sample_data_2_99_0.csv,0.195,-0.5384703087885986,-0.1813188381714055,-0.1552223289373582,0.1598326339886429,0.551,0.823,0.543,0.519,0.7317562885826582
24,../gan_data/compas/compas-pro-VGAN-1hot-gmm-split-60-WTrain/8-9//sample_data_7_99_0.csv,0.808,-1.940091844813935,-0.6573149356970233,-0.635485192414275,0.4504403048169814,0.551,0.395,0.5,0.509,0.742618959991491
25,../gan_data/compas/compas-pro-VGAN-1hot-gmm-split-60-WTrain/8-9//sample_data_8_99_0.csv,0.96,1.3160348376880444,0.4364066320343851,0.3915412763818749,0.5822254177387639,0.438,0.243,0.423,0.439,0.6079860535324405
26,../gan_data/compas/compas-pro-VGAN-1hot-gmm-split-60-WTrain/8-9//sample_data_9_99_0.csv,0.344,-0.5572858273950911,-0.1525998679371808,-0.1694257692956456,0.3287849724362925,0.694,0.542,0.624,0.631,0.5061345890027814
27,../gan_data/compas/compas-pro-VGAN-1hot-gmm-split-60/8-9//sample_data_0_8_0.csv,0.543,-0.9822676167854314,-0.2862453633095415,-0.342004798738696,0.3337155651336576,0.726,0.528,0.638,0.647,0.517458147168274
28,../gan_data/compas/compas-pro-VGAN-1hot-gmm-split-60/8-9//sample_data_0_9_0.csv,0.409,-0.5845954077593032,-0.1701493745433963,-0.1734671747684109,0.3942289319396157,0.69,0.45,0.594,0.607,0.5236872741002551
29,../gan_data/compas/compas-pro-VGAN-1hot-gmm-split-60/8-9//sample_data_1_8_0.csv,0.206,-0.3302834520981789,-0.0741570478966577,-0.1054930755646435,0.3035770374392788,0.678,0.582,0.625,0.629,0.5124976368827605
30,../gan_data/compas/compas-pro-VGAN-1hot-gmm-split-60/8-9//sample_data_1_9_0.csv,0.275,-0.5154425969912905,-0.1350201012398202,-0.1138891470706695,0.2439459794939861,0.701,0.669,0.668,0.667,0.5279439958075338
31,../gan_data/compas/compas-pro-VGAN-1hot-gmm-split-60/8-9//sample_data_2_8_0.csv,0.431,-0.9290609659540776,-0.2821033137760975,-0.2500025818178062,0.2560779815410063,0.679,0.654,0.646,0.646,0.5039498778610384
32,../gan_data/compas/compas-pro-VGAN-1hot-gmm-split-60/8-9//sample_data_2_9_0.csv,0.35,-0.529064133016627,-0.1387410874264183,-0.1683792724781664,0.3403067198938904,0.718,0.521,0.631,0.64,0.4918584784591865
33,../gan_data/compas/compas-pro-VGAN-1hot-gmm-split-60/8-9//sample_data_7_9_0.csv,0.239,-0.423680126682502,-0.1179615150843057,-0.1036066273541875,0.2944144394368431,0.647,0.601,0.608,0.608,0.5191447405520254
34,../gan_data/compas/compas-pro-VGAN-1hot-gmm-split-60/8-9//sample_data_8_9_0.csv,0.237,-0.3558543151227237,-0.0813090910712002,-0.1039715242708086,0.3196467411732277,0.704,0.553,0.633,0.64,0.4995516388304505
35,../gan_data/compas/compas-pro-VGAN-1hot-gmm-split-60/8-9//sample_data_9_9_0.csv,0.466,-0.8706920031670625,-0.2519307828134261,-0.2569838171659902,0.2927888785864285,0.727,0.589,0.658,0.664,0.4993260814142978
36,../gan_data/compas/compas-pro-VGAN-1hot-norm-split-valid-best/9//sample_data_0_9_0.csv,0.202,-0.4075851148060174,-0.1075898722149599,-0.0732272378336138,0.2210607526240871,0.659,0.713,0.646,0.64,0.5250328960170154
37,../gan_data/compas/compas-pro-VGAN-1hot-norm-split-valid-best/9//sample_data_1_9_0.csv,0.388,-0.6887220902612826,-0.1894964735286652,-0.1928067113493269,0.2844847960121463,0.728,0.601,0.664,0.669,0.5424530626359196
38,../gan_data/compas/compas-pro-VGAN-1hot-norm-split-valid-best/9//sample_data_2_9_0.csv,0.271,-0.4404117181314332,-0.1114988621393035,-0.0908352352724505,0.2895258219225009,0.717,0.595,0.655,0.66,0.5023163991702725
39,../gan_data/compas/compas-pro-VGAN-1hot-norm-split-valid-best/9//sample_data_3_9_0.csv,0.06,-0.1213333333333334,-0.0129154378451455,0.0023408481443614,0.2001322632673321,0.633,0.751,0.63,0.62,0.5035436963026749
