,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,config
Original,Original,0.267,-0.553,-0.148,-0.136,0.214,0.68,0.721,0.666,0.661,Original
Base,Base,0.021,-0.011,0.036,0.055,0.239,0.701,0.676,0.669,0.669,Base
Base,Base,0.01,-0.004,0.044,0.043,0.197,0.693,0.747,0.685,0.679,Base
Base,Base,0.006,0.007,0.035,0.105,0.26,0.714,0.641,0.668,0.67,Base
.25,sample_data_parallel_compas-race-VGAN-norm-n-.25_race_1.csv,0.023,0.036,0.047,0.086,0.253,0.697,0.656,0.66,0.661,sample_data_parallel_compas-race-VGAN-norm-n-.25_race
.25,sample_data_parallel_compas-race-VGAN-norm-n-.25_race_2.csv,0.044,0.069,0.058,0.095,0.248,0.693,0.664,0.66,0.66,sample_data_parallel_compas-race-VGAN-norm-n-.25_race
.25,sample_data_parallel_compas-race-VGAN-norm-n-.25_race_3.csv,0.029,0.051,0.058,0.052,0.215,0.673,0.72,0.66,0.655,sample_data_parallel_compas-race-VGAN-norm-n-.25_race
.5,sample_data_parallel_compas-race-VGAN-norm-n-.5_race_1.csv,0.076,0.117,0.081,0.077,0.256,0.698,0.651,0.66,0.66,sample_data_parallel_compas-race-VGAN-norm-n-.5_race
.5,sample_data_parallel_compas-race-VGAN-norm-n-.5_race_2.csv,0.012,0.013,0.044,0.075,0.255,0.716,0.649,0.672,0.673,sample_data_parallel_compas-race-VGAN-norm-n-.5_race
.5,sample_data_parallel_compas-race-VGAN-norm-n-.5_race_3.csv,0.043,0.071,0.061,0.09,0.232,0.69,0.69,0.665,0.663,sample_data_parallel_compas-race-VGAN-norm-n-.5_race
.75,sample_data_parallel_compas-race-VGAN-norm-n-.75_race_1.csv,0.017,-0.001,0.043,0.037,0.238,0.698,0.679,0.668,0.667,sample_data_parallel_compas-race-VGAN-norm-n-.75_race
.75,sample_data_parallel_compas-race-VGAN-norm-n-.75_race_2.csv,0.022,0.039,0.05,0.073,0.206,0.675,0.735,0.666,0.66,sample_data_parallel_compas-race-VGAN-norm-n-.75_race
.75,sample_data_parallel_compas-race-VGAN-norm-n-.75_race_3.csv,0.075,0.119,0.076,0.101,0.254,0.689,0.655,0.654,0.654,sample_data_parallel_compas-race-VGAN-norm-n-.75_race
