,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
0,Original,0.273,-0.566,-0.153,-0.134,0.215,0.683,0.719,0.668,0.664
1,Base,0.017,-0.025,0.029,0.061,0.242,0.697,0.673,0.666,0.665
2,Base,0.021,-0.037,0.034,0.03,0.194,0.695,0.751,0.688,0.682
3,Base,0.022,0.033,0.043,0.117,0.259,0.712,0.643,0.667,0.669
4,sample_data_parallel_compas-race-VGAN-norm-p-.20_race_1.csv,0.093,-0.128,-0.003,0.002,0.299,0.724,0.58,0.654,0.661
5,sample_data_parallel_compas-race-VGAN-norm-p-.20_race_2.csv,0.072,-0.108,0.003,0.019,0.272,0.714,0.623,0.662,0.665
6,sample_data_parallel_compas-race-VGAN-norm-p-.20_race_3.csv,0.14,0.211,0.107,0.149,0.267,0.714,0.63,0.664,0.667
7,sample_data_parallel_compas-race-VGAN-norm-p-.5_race_1.csv,0.013,-0.007,0.035,0.057,0.232,0.688,0.69,0.664,0.662
8,sample_data_parallel_compas-race-VGAN-norm-p-.5_race_2.csv,0.011,-0.01,0.04,0.036,0.204,0.683,0.737,0.673,0.668
9,sample_data_parallel_compas-race-VGAN-norm-p-.5_race_3.csv,0.069,0.106,0.073,0.099,0.259,0.701,0.645,0.66,0.661
10,sample_data_parallel_compas-race-VGAN-norm-p-.7_race_1.csv,0.035,0.057,0.058,0.076,0.237,0.693,0.681,0.665,0.664
11,sample_data_parallel_compas-race-VGAN-norm-p-.7_race_2.csv,0.144,0.215,0.105,0.169,0.273,0.713,0.621,0.661,0.664
12,sample_data_parallel_compas-race-VGAN-norm-p-.7_race_3.csv,0.091,0.146,0.088,0.104,0.247,0.696,0.665,0.662,0.662
13,sample_data_parallel_compas-race-VGAN-norm-p-.9_race_1.csv,0.052,0.091,0.076,0.059,0.209,0.684,0.728,0.672,0.667
14,sample_data_parallel_compas-race-VGAN-norm-p-.9_race_2.csv,0.179,0.21,0.096,0.154,0.363,0.721,0.487,0.622,0.633
15,sample_data_parallel_compas-race-VGAN-norm-p-.9_race_3.csv,0.027,0.042,0.051,0.099,0.244,0.709,0.667,0.673,0.673
16,sample_data_parallel_compas-race-VGAN-norm-p-0_race_1.csv,0.291,-0.566,-0.142,-0.153,0.222,0.716,0.701,0.689,0.688
17,sample_data_parallel_compas-race-VGAN-norm-p-0_race_2.csv,0.263,-0.533,-0.133,-0.141,0.207,0.7,0.728,0.685,0.681
18,sample_data_parallel_compas-race-VGAN-norm-p-0_race_3.csv,0.288,-0.562,-0.141,-0.142,0.217,0.72,0.707,0.694,0.693
19,sample_data_parallel_compas-race-VGAN-norm-p-1_race_1.csv,0.011,-0.003,0.038,0.031,0.207,0.663,0.736,0.656,0.649
20,sample_data_parallel_compas-race-VGAN-norm-p-1_race_2.csv,0.049,0.096,0.075,0.06,0.178,0.662,0.784,0.668,0.657
21,sample_data_parallel_compas-race-VGAN-norm-p-1_race_3.csv,0.009,0.006,0.042,0.072,0.212,0.694,0.722,0.678,0.674
22,sample_data_parallel_compas-race-VGAN-norm-p-.75_race_4.csv,0.041,0.067,0.066,0.072,0.225,0.701,0.699,0.677,0.675
23,sample_data_parallel_compas-race-VGAN-norm-p-.75_race_5.csv,0.05,0.089,0.074,0.048,0.212,0.674,0.725,0.663,0.657
24,sample_data_parallel_compas-race-VGAN-norm-p-.75_race_6.csv,0.187,0.308,0.138,0.156,0.264,0.678,0.642,0.642,0.643
