,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
0,Original,0.261,-0.535,-0.142,-0.129,0.215,0.681,0.719,0.666,0.662
1,Base,0.024,-0.021,0.032,0.057,0.239,0.7,0.677,0.669,0.669
2,Base,0.024,-0.043,0.033,0.029,0.19,0.695,0.756,0.69,0.684
3,Base,0.014,0.02,0.04,0.105,0.258,0.71,0.646,0.667,0.668
4,sample_data_parallel_compas-race-VGAN-norm-sp-100_race_1.csv,0.084,0.153,0.09,0.086,0.212,0.663,0.726,0.653,0.647
5,sample_data_parallel_compas-race-VGAN-norm-sp-100_race_2.csv,0.132,0.173,0.093,0.122,0.313,0.723,0.56,0.646,0.654
6,sample_data_parallel_compas-race-VGAN-norm-sp-100_race_3.csv,0.025,0.07,0.044,0.018,0.071,0.574,0.979,0.597,0.564
7,sample_data_parallel_compas-race-VGAN-norm-sp-10_race_1.csv,0.083,0.11,0.07,0.123,0.301,0.728,0.575,0.655,0.662
8,sample_data_parallel_compas-race-VGAN-norm-sp-10_race_2.csv,0.004,-0.0,0.039,0.07,0.235,0.702,0.682,0.672,0.672
9,sample_data_parallel_compas-race-VGAN-norm-sp-10_race_3.csv,0.017,0.029,0.051,0.054,0.206,0.68,0.733,0.67,0.664
10,sample_data_parallel_compas-race-VGAN-norm-sp-1_race_1.csv,0.018,0.03,0.056,0.033,0.206,0.681,0.733,0.67,0.665
11,sample_data_parallel_compas-race-VGAN-norm-sp-1_race_2.csv,0.035,0.049,0.055,0.085,0.278,0.726,0.611,0.666,0.671
12,sample_data_parallel_compas-race-VGAN-norm-sp-1_race_3.csv,0.007,-0.011,0.032,0.058,0.266,0.695,0.636,0.653,0.655
13,sample_data_parallel_compas-race-VGAN-norm-sp-25_race_1.csv,0.021,0.033,0.05,0.072,0.248,0.702,0.662,0.666,0.666
14,sample_data_parallel_compas-race-VGAN-norm-sp-25_race_2.csv,0.023,-0.037,0.028,0.035,0.244,0.695,0.67,0.663,0.662
15,sample_data_parallel_compas-race-VGAN-norm-sp-25_race_3.csv,0.064,0.127,0.084,0.05,0.186,0.649,0.773,0.651,0.641
16,sample_data_parallel_compas-race-VGAN-norm-sp-50_race_1.csv,0.096,0.13,0.08,0.112,0.296,0.723,0.584,0.655,0.661
17,sample_data_parallel_compas-race-VGAN-norm-sp-50_race_2.csv,0.046,0.079,0.065,0.077,0.221,0.677,0.709,0.66,0.656
18,sample_data_parallel_compas-race-VGAN-norm-sp-50_race_3.csv,0.023,0.039,0.055,0.062,0.213,0.686,0.722,0.672,0.667
19,sample_data_parallel_compas-race-VGAN-norm-sp-.5_race_1.csv,0.023,0.021,0.046,0.07,0.251,0.703,0.658,0.665,0.666
20,sample_data_parallel_compas-race-VGAN-norm-sp-.5_race_2.csv,0.019,-0.013,0.037,0.048,0.208,0.684,0.729,0.672,0.667
21,sample_data_parallel_compas-race-VGAN-norm-sp-.5_race_3.csv,0.043,0.073,0.063,0.091,0.221,0.689,0.708,0.67,0.667
