,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,config
Original,Original,0.239,-0.526,-0.135,-0.119,0.175,0.681,0.785,0.686,0.677,Original
sample_data,sample_data_0_9_0.csv,0.225,-0.414,-0.099,-0.077,0.232,0.707,0.687,0.677,0.676,sample_data
sample_data,sample_data_1_9_0.csv,0.34,-0.706,-0.19,-0.197,0.216,0.711,0.712,0.688,0.686,sample_data
sample_data,sample_data_2_9_0.csv,0.325,-0.665,-0.181,-0.163,0.218,0.709,0.709,0.686,0.684,sample_data
sample_data,sample_data_3_9_0.csv,0.184,-0.324,-0.065,-0.059,0.234,0.711,0.682,0.679,0.679,sample_data
sample_data,sample_data_4_9_0.csv,0.306,-0.617,-0.163,-0.159,0.219,0.706,0.707,0.683,0.681,sample_data
sample_data,sample_data_5_9_0.csv,0.264,-0.543,-0.141,-0.108,0.196,0.705,0.745,0.694,0.69,sample_data
sample_data,sample_data_6_9_0.csv,0.395,-0.787,-0.222,-0.226,0.25,0.713,0.657,0.672,0.673,sample_data
sample_data,sample_data_7_9_0.csv,0.322,-0.753,-0.217,-0.172,0.178,0.681,0.78,0.684,0.676,sample_data
sample_data,sample_data_8_9_0.csv,0.285,-0.587,-0.159,-0.137,0.215,0.689,0.717,0.673,0.669,sample_data
sample_data,sample_data_9_9_0.csv,0.326,-0.668,-0.18,-0.179,0.219,0.705,0.707,0.682,0.68,sample_data
Base,Base,0.152,0.242,0.118,0.151,0.255,0.699,0.652,0.661,0.662,Base
Base,Base,0.145,0.273,0.132,0.147,0.199,0.679,0.745,0.672,0.666,Base
Base,Base,0.271,0.435,0.18,0.223,0.272,0.699,0.625,0.652,0.655,Base
Base,Base,0.199,0.356,0.16,0.172,0.225,0.685,0.703,0.665,0.662,Base
Base,Base,0.28,0.427,0.174,0.228,0.293,0.701,0.593,0.644,0.648,Base
Base,Base,0.189,0.313,0.144,0.166,0.247,0.695,0.665,0.662,0.662,Base
