,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,config
Original,Original,0.249,0.54,0.14,0.126,0.183,0.685,0.772,0.685,0.677,Original
Base,Base,0.059,0.092,0.067,0.109,0.244,0.699,0.669,0.666,0.666,Base
Base,Base,0.12,0.221,0.114,0.13,0.204,0.678,0.738,0.67,0.664,Base
Base,Base,0.2,0.305,0.137,0.182,0.274,0.709,0.621,0.658,0.661,Base
Base,Base,0.184,0.323,0.143,0.169,0.238,0.674,0.683,0.65,0.648,Base
Base,Base,0.189,0.271,0.123,0.179,0.292,0.717,0.592,0.653,0.659,Base
Base,Base,0.066,0.103,0.071,0.103,0.252,0.698,0.657,0.662,0.662,Base
2,sample_data_naive2_compas-race-VGAN-norm_race_1.csv,0.226,0.43,0.101,0.085,0.217,0.707,0.71,0.685,0.683,sample_data_naive2_compas-race-VGAN-norm_race
2,sample_data_naive2_compas-race-VGAN-norm_race_2.csv,0.179,0.327,0.069,0.047,0.225,0.703,0.699,0.678,0.676,sample_data_naive2_compas-race-VGAN-norm_race
2,sample_data_naive2_compas-race-VGAN-norm_race_3.csv,0.223,0.403,0.096,0.069,0.239,0.708,0.676,0.674,0.674,sample_data_naive2_compas-race-VGAN-norm_race
2,sample_data_naive2_compas-race-VGAN-norm_race_4.csv,0.228,0.412,0.098,0.076,0.239,0.709,0.676,0.675,0.675,sample_data_naive2_compas-race-VGAN-norm_race
2,sample_data_naive2_compas-race-VGAN-norm_race_5.csv,0.278,0.549,0.142,0.113,0.213,0.714,0.715,0.691,0.689,sample_data_naive2_compas-race-VGAN-norm_race
2,sample_data_naive2_compas-race-VGAN-norm_race_6.csv,0.196,0.353,0.077,0.053,0.226,0.711,0.696,0.683,0.682,sample_data_naive2_compas-race-VGAN-norm_race
sample_data,sample_data_0_9_0.csv,0.137,0.253,0.055,0.014,0.229,0.667,0.698,0.649,0.645,sample_data
sample_data,sample_data_1_9_0.csv,0.333,0.673,0.18,0.178,0.221,0.715,0.703,0.689,0.687,sample_data
sample_data,sample_data_2_9_0.csv,0.293,0.583,0.159,0.123,0.228,0.697,0.695,0.672,0.67,sample_data
sample_data,sample_data_3_9_0.csv,0.117,0.2,0.032,0.006,0.24,0.694,0.677,0.664,0.663,sample_data
sample_data,sample_data_4_9_0.csv,0.314,0.593,0.174,0.106,0.268,0.684,0.635,0.644,0.645,sample_data
sample_data,sample_data_5_9_0.csv,0.23,0.438,0.11,0.069,0.222,0.702,0.704,0.679,0.677,sample_data
sample_data,sample_data_6_9_0.csv,0.408,0.67,0.182,0.205,0.317,0.738,0.551,0.652,0.661,sample_data
sample_data,sample_data_7_9_0.csv,0.3,0.678,0.191,0.16,0.188,0.678,0.764,0.677,0.669,sample_data
sample_data,sample_data_8_9_0.csv,0.255,0.539,0.143,0.126,0.2,0.679,0.743,0.672,0.666,sample_data
sample_data,sample_data_9_9_0.csv,0.274,0.534,0.14,0.116,0.226,0.702,0.697,0.676,0.675,sample_data
