,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
0,Original,0.598,-0.289,-0.057,-0.06,0.129,0.592,0.363,0.851,0.656
1,Base,0.013,0.01,0.086,0.123,0.116,0.383,0.59,0.772,0.699
2,Base,0.011,-0.01,0.088,0.131,0.106,0.373,0.665,0.756,0.72
3,Base,0.037,0.033,0.1,0.143,0.111,0.363,0.641,0.751,0.707
4,sample_data_parallel_medical-VGAN-norm-p-.20_RACE_1.csv,0.223,-0.119,0.03,0.06,0.125,0.489,0.449,0.829,0.677
5,sample_data_parallel_medical-VGAN-norm-p-.20_RACE_2.csv,0.297,-0.18,0.024,0.075,0.122,0.478,0.471,0.825,0.683
6,sample_data_parallel_medical-VGAN-norm-p-.20_RACE_3.csv,0.257,-0.156,0.03,0.072,0.118,0.485,0.495,0.827,0.695
7,sample_data_parallel_medical-VGAN-norm-p-.5_RACE_1.csv,0.037,0.011,0.105,0.18,0.125,0.458,0.468,0.818,0.678
8,sample_data_parallel_medical-VGAN-norm-p-.5_RACE_2.csv,0.133,0.073,0.123,0.196,0.127,0.445,0.46,0.813,0.672
9,sample_data_parallel_medical-VGAN-norm-p-.5_RACE_3.csv,0.038,0.024,0.106,0.171,0.12,0.43,0.522,0.804,0.691
10,sample_data_parallel_medical-VGAN-norm-p-.7_RACE_1.csv,0.077,0.066,0.116,0.166,0.111,0.377,0.627,0.764,0.709
11,sample_data_parallel_medical-VGAN-norm-p-.7_RACE_2.csv,0.06,0.039,0.106,0.162,0.119,0.421,0.534,0.799,0.693
12,sample_data_parallel_medical-VGAN-norm-p-.7_RACE_3.csv,0.05,0.038,0.106,0.16,0.115,0.397,0.582,0.782,0.702
13,sample_data_parallel_medical-VGAN-norm-p-.9_RACE_1.csv,0.029,-0.03,0.078,0.115,0.103,0.349,0.705,0.73,0.72
14,sample_data_parallel_medical-VGAN-norm-p-.9_RACE_2.csv,0.062,0.05,0.108,0.157,0.116,0.381,0.593,0.77,0.699
15,sample_data_parallel_medical-VGAN-norm-p-.9_RACE_3.csv,0.015,0.006,0.097,0.152,0.114,0.396,0.595,0.78,0.706
16,sample_data_parallel_medical-VGAN-norm-p-0_RACE_1.csv,0.501,-0.22,-0.023,-0.008,0.132,0.579,0.352,0.848,0.65
17,sample_data_parallel_medical-VGAN-norm-p-0_RACE_2.csv,0.586,-0.286,-0.059,-0.064,0.133,0.561,0.351,0.845,0.648
18,sample_data_parallel_medical-VGAN-norm-p-0_RACE_3.csv,0.491,-0.209,-0.021,-0.01,0.131,0.593,0.354,0.851,0.652
19,sample_data_parallel_medical-VGAN-norm-p-1_RACE_1.csv,0.028,-0.028,0.07,0.098,0.107,0.349,0.679,0.734,0.712
20,sample_data_parallel_medical-VGAN-norm-p-1_RACE_2.csv,0.054,0.07,0.093,0.106,0.098,0.306,0.767,0.669,0.708
21,sample_data_parallel_medical-VGAN-norm-p-1_RACE_3.csv,0.029,-0.028,0.082,0.125,0.107,0.359,0.674,0.743,0.716
22,sample_data_parallel_medical-VGAN-norm-p-.75_RACE_4.csv,0.017,-0.01,0.095,0.158,0.118,0.439,0.529,0.807,0.696
23,sample_data_parallel_medical-VGAN-norm-p-.75_RACE_5.csv,0.101,0.092,0.123,0.173,0.113,0.361,0.626,0.752,0.702
24,sample_data_parallel_medical-VGAN-norm-p-.75_RACE_6.csv,0.078,0.053,0.12,0.186,0.117,0.424,0.553,0.799,0.701
