,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
0,Original,0.602,-0.296,-0.062,-0.069,0.13,0.585,0.364,0.85,0.656
1,Base,0.013,0.01,0.082,0.114,0.116,0.384,0.589,0.773,0.699
2,Base,0.015,-0.007,0.088,0.128,0.106,0.374,0.67,0.756,0.722
3,Base,0.041,0.037,0.106,0.158,0.113,0.359,0.632,0.749,0.702
4,sample_data_parallel_medical-VGAN-norm-t-100_RACE_1.csv,0.045,0.029,0.105,0.163,0.117,0.436,0.541,0.806,0.7
5,sample_data_parallel_medical-VGAN-norm-t-100_RACE_2.csv,0.053,0.043,0.101,0.14,0.113,0.384,0.61,0.77,0.706
6,sample_data_parallel_medical-VGAN-norm-t-100_RACE_3.csv,0.016,-0.01,0.087,0.131,0.108,0.363,0.664,0.748,0.715
7,sample_data_parallel_medical-VGAN-norm-t-15_RACE_1.csv,0.09,-0.042,0.07,0.124,0.128,0.487,0.423,0.828,0.666
8,sample_data_parallel_medical-VGAN-norm-t-15_RACE_2.csv,0.024,0.021,0.103,0.155,0.11,0.374,0.639,0.76,0.712
9,sample_data_parallel_medical-VGAN-norm-t-15_RACE_3.csv,0.045,0.035,0.112,0.171,0.112,0.401,0.605,0.782,0.711
10,sample_data_parallel_medical-VGAN-norm-t-1_RACE_1.csv,0.508,-0.477,-0.088,-0.067,0.111,0.446,0.576,0.809,0.716
11,sample_data_parallel_medical-VGAN-norm-t-1_RACE_2.csv,0.42,-0.372,-0.049,-0.027,0.108,0.452,0.593,0.811,0.724
12,sample_data_parallel_medical-VGAN-norm-t-1_RACE_3.csv,0.235,0.175,0.156,0.218,0.121,0.401,0.54,0.787,0.689
13,sample_data_parallel_medical-VGAN-norm-t-2_RACE_1.csv,0.134,-0.084,0.063,0.117,0.119,0.448,0.516,0.812,0.694
14,sample_data_parallel_medical-VGAN-norm-t-2_RACE_2.csv,0.401,-0.43,-0.061,-0.029,0.105,0.402,0.65,0.779,0.727
15,sample_data_parallel_medical-VGAN-norm-t-2_RACE_3.csv,0.077,-0.06,0.076,0.13,0.111,0.409,0.603,0.787,0.714
