,file,sim_modes
0,ORIGINAL,5571
1,VGAN-NORM,2213
2,VGAN-NORM,2113
3,VGAN-NORM,219
4,VGAN-NORM,278
5,VGAN-NORM,352
6,VGAN-NORM,357
7,VGAN-NORM,867
8,VGAN-NORM,718
9,VGAN-NORM,1744
10,VGAN-NORM,1826
11,VGAN-NORM,2140
12,VGAN-NORM,2852
13,VGAN-NORM,2469
14,VGAN-NORM,721
15,VGAN-NORM,482
16,VGAN-NORM_all,4681
17,VGAN-GMM,318
18,VGAN-GMM,336
19,VGAN-GMM,297
20,VGAN-GMM,395
21,VGAN-GMM,364
22,VGAN-GMM,346
23,VGAN-GMM,929
24,VGAN-GMM,927
25,VGAN-GMM,1620
26,VGAN-GMM,1472
27,VGAN-GMM,372
28,VGAN-GMM,377
29,VGAN-GMM,347
30,VGAN-GMM,334
31,VGAN-GMM,805
32,VGAN-GMM,741
33,VGAN-GMM,808
34,VGAN-GMM,741
35,VGAN-GMM,331
36,VGAN-GMM,944
37,VGAN-GMM,1325
38,VGAN-GMM_all,4086
39,WGAN-NORM,566
40,WGAN-NORM,521
41,WGAN-NORM,467
42,WGAN-NORM,483
43,WGAN-NORM,364
44,WGAN-NORM,389
45,WGAN-NORM,572
46,WGAN-NORM,634
47,WGAN-NORM,1417
48,WGAN-NORM,1475
49,WGAN-NORM,213
50,WGAN-NORM,226
51,WGAN-NORM,1126
52,WGAN-NORM,1197
53,WGAN-NORM,381
54,WGAN-NORM,429
55,WGAN-NORM,1863
56,WGAN-NORM_all,3560
57,WGAN-GMM,1979
58,WGAN-GMM,1962
59,WGAN-GMM,2034
60,WGAN-GMM,2067
61,WGAN-GMM,2081
62,WGAN-GMM,1993
63,WGAN-GMM,2104
64,WGAN-GMM,1933
65,WGAN-GMM,2009
66,WGAN-GMM,2026
67,WGAN-GMM,2089
68,WGAN-GMM,2112
69,WGAN-GMM,2101
70,WGAN-GMM,2154
71,WGAN-GMM,2153
72,WGAN-GMM,2144
73,WGAN-GMM,2172
74,WGAN-GMM,2201
75,WGAN-GMM,2245
76,WGAN-GMM,2267
77,WGAN-GMM,965
78,WGAN-GMM,1009
79,WGAN-GMM,998
80,WGAN-GMM,963
81,WGAN-GMM,988
82,WGAN-GMM,959
83,WGAN-GMM,954
84,WGAN-GMM,937
85,WGAN-GMM,976
86,WGAN-GMM,983
87,WGAN-GMM_all,4565
88,VGAN-ORDI-NORM,3242
89,VGAN-ORDI-NORM,3648
90,VGAN-ORDI-NORM,2610
91,VGAN-ORDI-NORM,2483
92,VGAN-ORDI-NORM,4353
93,VGAN-ORDI-NORM,4263
94,VGAN-ORDI-NORM_all,5257
95,VGAN-ORDI-GMM,2874
96,VGAN-ORDI-GMM,2734
97,VGAN-ORDI-GMM,3885
98,VGAN-ORDI-GMM,3869
99,VGAN-ORDI-GMM,3381
100,VGAN-ORDI-GMM,3482
101,VGAN-ORDI-GMM_all,5135
102,TABFAIRGAN,3680
103,TABFAIRGAN,3628
104,TABFAIRGAN,3732
105,TABFAIRGAN,3740
106,TABFAIRGAN,3666
107,TABFAIRGAN,3718
108,TABFAIRGAN,3832
109,TABFAIRGAN,3711
110,TABFAIRGAN,3778
111,TABFAIRGAN,3683
112,TABFAIRGAN_all,5337
113,FAIRGAN,121
114,FAIRGAN,355
115,FAIRGAN,4049
116,FAIRGAN,327
117,FAIRGAN,4566
118,FAIRGAN,30
119,FAIRGAN,2302
120,FAIRGAN,3893
121,FAIRGAN,4666
122,FAIRGAN,747
123,FAIRGAN_all,5158
124,POST-FAIRGAN-VGAN-NORM,2613
125,POST-FAIRGAN-VGAN-NORM,2601
126,POST-FAIRGAN-VGAN-NORM,2553
127,POST-FAIRGAN-VGAN-NORM,2579
128,POST-FAIRGAN-VGAN-NORM,2583
129,POST-FAIRGAN-VGAN-NORM,2601
130,POST-FAIRGAN-VGAN-NORM_all,3770
131,POST-FAIRGAN-VGAN-GMM,2331
132,POST-FAIRGAN-VGAN-GMM,2413
133,POST-FAIRGAN-VGAN-GMM,2386
134,POST-FAIRGAN-VGAN-GMM_all,2920
135,POST-FAIRGAN-WGAN-NORM,1907
136,POST-FAIRGAN-WGAN-NORM,1860
137,POST-FAIRGAN-WGAN-NORM,1919
138,POST-FAIRGAN-WGAN-NORM_all,2460
139,POST-FAIRGAN-WGAN-GMM,3910
140,POST-FAIRGAN-WGAN-GMM,3951
141,POST-FAIRGAN-WGAN-GMM,3832
142,POST-FAIRGAN-WGAN-GMM,2331
143,POST-FAIRGAN-WGAN-GMM,2382
144,POST-FAIRGAN-WGAN-GMM,2396
145,POST-FAIRGAN-WGAN-GMM_all,5290
146,ORIGINAL,5571
147,POST-FAIRGAN-VGAN-ORDI-NORM,3929
148,POST-FAIRGAN-VGAN-ORDI-NORM,3935
149,POST-FAIRGAN-VGAN-ORDI-NORM,3887
150,POST-FAIRGAN-VGAN-ORDI-NORM_all,4715
151,POST-FAIRGAN-VGAN-ORDI-GMM,4025
152,POST-FAIRGAN-VGAN-ORDI-GMM,4026
153,POST-FAIRGAN-VGAN-ORDI-GMM,3998
154,POST-FAIRGAN-VGAN-ORDI-GMM_all,4657
155,POST-FAIRGAN-TABFAIRGAN,3811
156,POST-FAIRGAN-TABFAIRGAN,3832
157,POST-FAIRGAN-TABFAIRGAN,3713
158,POST-FAIRGAN-TABFAIRGAN,3758
