,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
0,Original,0.668,-0.565,-0.063,-0.041,0.109,0.733,0.654,0.854,0.787
1,Base,0.083,0.097,0.17,0.225,0.121,0.484,0.718,0.741,0.733
2,Base,0.122,0.149,0.182,0.234,0.124,0.471,0.711,0.731,0.724
3,Base,0.058,0.065,0.161,0.217,0.118,0.492,0.73,0.746,0.741
4,Base,0.027,0.035,0.138,0.178,0.111,0.456,0.772,0.716,0.735
5,Base,0.116,0.149,0.17,0.203,0.118,0.465,0.74,0.725,0.73
6,Base,0.112,0.126,0.182,0.242,0.126,0.499,0.691,0.751,0.731
7,sample_data_naive2_adult-VGAN-norm_sex_1.csv,0.752,-0.582,-0.125,-0.15,0.141,0.687,0.546,0.824,0.731
8,sample_data_0_90_0.csv,0.704,-0.585,-0.123,-0.147,0.138,0.657,0.575,0.817,0.736
9,sample_data_0_91_0.csv,0.622,-0.608,-0.128,-0.132,0.146,0.548,0.578,0.777,0.711
10,sample_data_0_92_0.csv,0.533,-0.468,-0.047,-0.021,0.137,0.608,0.596,0.805,0.735
11,sample_data_0_93_0.csv,0.49,-0.443,-0.03,0.012,0.139,0.583,0.599,0.794,0.729
12,sample_data_0_94_0.csv,0.534,-0.431,-0.048,-0.026,0.15,0.603,0.54,0.798,0.711
13,sample_data_0_95_0.csv,0.5,-0.442,-0.018,0.046,0.143,0.578,0.58,0.791,0.72
14,sample_data_0_96_0.csv,0.541,-0.451,-0.049,-0.026,0.147,0.605,0.563,0.801,0.721
15,sample_data_0_97_0.csv,0.594,-0.562,-0.109,-0.119,0.14,0.577,0.597,0.791,0.726
16,sample_data_0_98_0.csv,0.586,-0.457,-0.069,-0.066,0.15,0.625,0.534,0.805,0.714
17,sample_data_0_99_0.csv,0.568,-0.492,-0.067,-0.048,0.144,0.595,0.568,0.797,0.72
18,sample_data_1_90_0.csv,0.57,-0.485,-0.072,-0.07,0.138,0.618,0.58,0.807,0.731
19,sample_data_1_91_0.csv,0.594,-0.487,-0.068,-0.049,0.147,0.612,0.547,0.802,0.717
20,sample_data_1_92_0.csv,0.583,-0.422,-0.048,-0.03,0.152,0.644,0.512,0.809,0.709
21,sample_data_1_93_0.csv,0.465,-0.369,-0.0,0.055,0.145,0.611,0.551,0.802,0.718
22,sample_data_1_94_0.csv,0.615,-0.489,-0.095,-0.112,0.15,0.62,0.534,0.803,0.713
23,sample_data_1_95_0.csv,0.567,-0.422,-0.055,-0.053,0.148,0.648,0.532,0.812,0.718
24,sample_data_1_96_0.csv,0.607,-0.438,-0.065,-0.069,0.148,0.664,0.521,0.816,0.717
25,sample_data_1_97_0.csv,0.66,-0.575,-0.112,-0.125,0.137,0.631,0.584,0.812,0.736
26,sample_data_1_98_0.csv,0.601,-0.589,-0.115,-0.131,0.128,0.593,0.632,0.801,0.745
27,sample_data_1_99_0.csv,0.575,-0.461,-0.08,-0.092,0.15,0.613,0.54,0.802,0.714
28,sample_data_2_90_0.csv,0.418,-0.336,-0.009,0.02,0.149,0.586,0.551,0.792,0.711
29,sample_data_2_91_0.csv,0.513,-0.513,-0.052,-0.007,0.134,0.558,0.628,0.785,0.732
30,sample_data_2_92_0.csv,0.494,-0.426,-0.036,0.002,0.152,0.565,0.554,0.784,0.706
31,sample_data_2_93_0.csv,0.38,-0.393,-0.01,0.037,0.133,0.528,0.646,0.769,0.728
32,sample_data_2_94_0.csv,0.403,-0.327,-0.025,-0.015,0.156,0.563,0.537,0.782,0.7
33,sample_data_2_95_0.csv,0.476,-0.474,-0.033,0.014,0.13,0.564,0.643,0.788,0.74
34,sample_data_2_96_0.csv,0.532,-0.479,-0.062,-0.048,0.138,0.595,0.599,0.8,0.732
35,sample_data_2_97_0.csv,0.466,-0.404,0.006,0.074,0.133,0.612,0.609,0.808,0.741
36,sample_data_2_98_0.csv,0.46,-0.374,0.008,0.068,0.14,0.621,0.58,0.808,0.731
37,sample_data_2_99_0.csv,0.344,-0.319,0.023,0.092,0.146,0.53,0.588,0.769,0.708
