,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,var
0,Original,0.65,-0.532130861,-0.034008214,-0.008541284,0.09094325,0.805,0.703,0.884,0.823,0.807264651
1,../gan_data/adult/adult-FAIRGAN//sample_data_FAIRGAN_gender_0_3_0.csv,0.645,-0.673607903,-0.204600868,-0.265171116,0.161317471,0.486,0.543,0.745,0.677,1.363633065
2,../gan_data/adult/adult-FAIRGAN//sample_data_FAIRGAN_gender_0_6_0.csv,0.756,-0.23394014,-0.072966752,-0.055296151,0.284362703,0.205,0.065,0.706,0.491,1.556834454
3,../gan_data/adult/adult-FAIRGAN//sample_data_FAIRGAN_gender_1_3_0.csv,0.042,0.106766689,0.02335164,0.018475126,0.102924751,0.236,0.767,0.327,0.475,0.76319706
4,../gan_data/adult/adult-FAIRGAN//sample_data_FAIRGAN_gender_1_6_0.csv,0.064,0.126749338,-0.016599669,-0.069624494,0.166508879,0.214,0.552,0.388,0.443,1.625284755
5,../gan_data/adult/adult-FAIRGAN//sample_data_FAIRGAN_gender_2_3_0.csv,0.276,-0.584919695,-0.105150857,-0.083353465,0.071380293,0.365,0.95,0.577,0.702,0.566966999
6,../gan_data/adult/adult-FAIRGAN//sample_data_FAIRGAN_gender_2_6_0.csv,0.209,-0.228730979,-0.068683787,-0.091049647,0.194179648,0.306,0.481,0.608,0.565,2.022349345
7,../gan_data/adult/adult-FAIRGAN//sample_data_FAIRGAN_gender_3_3_0.csv,0.31,0.428825708,0.090086187,0.010865752,0.233594841,0.238,0.35,0.561,0.49,0.669952381
8,../gan_data/adult/adult-FAIRGAN//sample_data_FAIRGAN_gender_4_3_0.csv,0.051,-0.12644662,-0.039466719,-0.066200855,0.079496847,0.274,0.885,0.391,0.557,0.550706531
9,../gan_data/adult/adult-FAIRGAN//sample_data_FAIRGAN_gender_5_3_0.csv,0.199,-0.510330006,-0.138881352,-0.127867628,0.070125837,0.283,0.917,0.404,0.576,0.523591229
10,../gan_data/adult/adult-FAIRGAN//sample_data_FAIRGAN_gender_6_3_0.csv,0.282,-0.275105516,-0.09245707,-0.15969037,0.183525293,0.402,0.481,0.695,0.623,1.149589598
11,../gan_data/adult/adult-TABFAIRGAN//sample_data_adult_tab_split_60_0_0.csv,0.208,-0.165302259,0.08783124,0.159439143,0.138415613,0.594,0.593,0.799,0.73,0.781691381
12,../gan_data/adult/adult-TABFAIRGAN//sample_data_adult_tab_split_60_0_1.csv,0.346,-0.258381886,0.060741206,0.145163362,0.143025791,0.62,0.554,0.806,0.721,0.780838803
13,../gan_data/adult/adult-TABFAIRGAN//sample_data_adult_tab_split_60_0_2.csv,0.283,-0.202974375,0.098156969,0.206112687,0.144302402,0.634,0.556,0.81,0.725,0.775971212
14,../gan_data/adult/adult-TABFAIRGAN//sample_data_adult_tab_split_60_0_3.csv,0.28,-0.250054275,0.073815307,0.154636741,0.126474937,0.594,0.65,0.803,0.752,0.774532493
15,../gan_data/adult/adult-TABFAIRGAN//sample_data_adult_tab_split_60_0_4.csv,0.307,-0.221875964,0.072782975,0.151012685,0.141962975,0.642,0.563,0.814,0.73,0.768518027
16,../gan_data/adult/adult-TABFAIRGAN//sample_data_adult_tab_split_60_0_5.csv,0.229,-0.170688108,0.114226764,0.226867831,0.141575538,0.618,0.574,0.807,0.729,0.776619786
17,../gan_data/adult/adult-TABFAIRGAN//sample_data_adult_tab_split_60_0_6.csv,0.297,-0.246733359,0.061305994,0.125713454,0.131719113,0.614,0.622,0.81,0.747,0.782710098
18,../gan_data/adult/adult-TABFAIRGAN//sample_data_adult_tab_split_60_0_7.csv,0.387,-0.311644542,0.060159982,0.157949909,0.134458902,0.631,0.599,0.814,0.742,0.795832778
19,../gan_data/adult/adult-TABFAIRGAN//sample_data_adult_tab_split_60_0_8.csv,0.229,-0.205587049,0.096309007,0.203782173,0.139062835,0.549,0.613,0.779,0.724,0.773704345
20,../gan_data/adult/adult-TABFAIRGAN//sample_data_adult_tab_split_60_0_9.csv,0.15,-0.112236212,0.123231265,0.223016056,0.14510869,0.598,0.572,0.799,0.723,0.769753474
21,../gan_data/adult/adult-VGAN-1hot-gmm-split-60/8-9//sample_data_0_8_0.csv,0.873,-0.729331072,-0.222622951,-0.298410168,0.157156223,0.63,0.511,0.805,0.706,0.809562464
22,../gan_data/adult/adult-VGAN-1hot-gmm-split-60/8-9//sample_data_0_9_0.csv,0.937,-0.658331016,-0.252261218,-0.376704072,0.184796354,0.604,0.401,0.787,0.657,0.92093211
23,../gan_data/adult/adult-VGAN-1hot-gmm-split-60/8-9//sample_data_1_8_0.csv,0.059,0.045898866,0.143449221,0.260799629,0.199222505,0.409,0.413,0.707,0.608,0.710426578
24,../gan_data/adult/adult-VGAN-1hot-gmm-split-60/8-9//sample_data_1_9_0.csv,0.748,-0.879491426,-0.226610469,-0.235865327,0.142668603,0.51,0.615,0.758,0.71,0.841863347
25,../gan_data/adult/adult-VGAN-1hot-gmm-split-60/8-9//sample_data_2_8_0.csv,0.715,-0.715021748,-0.142018438,-0.122044193,0.140727813,0.575,0.598,0.791,0.726,0.848261042
26,../gan_data/adult/adult-VGAN-1hot-gmm-split-60/8-9//sample_data_2_9_0.csv,0.761,-0.519945672,-0.137484788,-0.140818516,0.209301433,0.49,0.341,0.749,0.612,0.761627269
27,../gan_data/adult/adult-VGAN-1hot-gmm-split-60/8-9//sample_data_7_9_0.csv,0.954,-0.870587575,-0.34094222,-0.500401029,0.167079786,0.567,0.485,0.781,0.682,0.800036012
28,../gan_data/adult/adult-VGAN-1hot-gmm-split-60/8-9//sample_data_8_9_0.csv,0.684,-0.347354312,-0.106848261,-0.174120901,0.18760493,0.668,0.357,0.797,0.649,0.948649304
29,../gan_data/adult/adult-VGAN-1hot-gmm-split-60/8-9//sample_data_9_9_0.csv,0.884,-0.675847499,-0.228294932,-0.344211737,0.149136421,0.686,0.507,0.821,0.716,0.818740441
30,../gan_data/adult/adult-VGAN-1hot-norm-split-60/9//sample_data_0_9_0.csv,0.63,-0.168008041,-0.02624048,-0.035159506,0.223240767,0.738,0.212,0.786,0.593,0.825452202
31,../gan_data/adult/adult-VGAN-1hot-norm-split-60/9//sample_data_1_9_0.csv,0.528,-0.305762535,-0.056896523,-0.019619335,0.241270668,0.38,0.247,0.714,0.557,0.942211509
32,../gan_data/adult/adult-VGAN-1hot-norm-split-60/9//sample_data_2_9_0.csv,0.787,-1.358807334,-0.408584467,-0.395907175,0.149245467,0.367,0.639,0.637,0.638,0.799165266
