,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
0,Original,0.654,-0.537,-0.037,-0.012,0.092,0.802,0.701,0.883,0.822
1,sample_data_adult_tab_split_60_0_7.csv,0.392,-0.314,0.058,0.154,0.135,0.634,0.597,0.815,0.742
2,sample_data_adult_tab_split_60_0_8.csv,0.232,-0.21,0.095,0.202,0.137,0.55,0.62,0.78,0.727
3,sample_data_adult_tab_split_60_0_9.csv,0.145,-0.108,0.123,0.222,0.145,0.595,0.572,0.798,0.722
4,sample_data_FAIRGAN_gender_0_3_0.csv,0.661,-0.718,-0.229,-0.305,0.157,0.486,0.561,0.745,0.683
5,sample_data_FAIRGAN_gender_0_6_0.csv,0.586,-0.158,-0.052,-0.041,0.286,0.2,0.061,0.707,0.49
6,sample_data_FAIRGAN_gender_1_3_0.csv,0.046,0.116,0.034,0.048,0.105,0.231,0.753,0.317,0.463
7,sample_data_FAIRGAN_gender_1_6_0.csv,0.041,0.085,-0.033,-0.091,0.158,0.217,0.579,0.38,0.446
8,sample_data_FAIRGAN_gender_2_3_0.csv,0.27,-0.576,-0.108,-0.092,0.071,0.361,0.949,0.572,0.699
9,sample_data_FAIRGAN_gender_2_6_0.csv,0.174,-0.244,-0.085,-0.123,0.183,0.305,0.524,0.588,0.567
10,sample_data_FAIRGAN_gender_3_3_0.csv,0.28,0.378,0.074,-0.007,0.23,0.245,0.362,0.566,0.498
11,sample_data_FAIRGAN_gender_4_3_0.csv,0.096,-0.238,-0.062,-0.073,0.077,0.28,0.899,0.402,0.568
12,sample_data_FAIRGAN_gender_5_3_0.csv,0.189,-0.493,-0.124,-0.097,0.068,0.28,0.925,0.393,0.572
13,sample_data_FAIRGAN_gender_6_3_0.csv,0.267,-0.256,-0.085,-0.147,0.187,0.397,0.469,0.692,0.617
14,sample_data_adult_tab_split_60_0_0.csv,0.154,-0.119,0.098,0.169,0.149,0.576,0.569,0.79,0.716
15,sample_data_adult_tab_split_60_0_1.csv,0.356,-0.268,0.056,0.137,0.142,0.623,0.56,0.807,0.724
16,sample_data_adult_tab_split_60_0_2.csv,0.29,-0.209,0.097,0.205,0.144,0.636,0.56,0.812,0.727
17,sample_data_adult_tab_split_60_0_3.csv,0.284,-0.255,0.073,0.155,0.127,0.59,0.647,0.801,0.75
18,sample_data_adult_tab_split_60_0_4.csv,0.304,-0.219,0.071,0.145,0.143,0.641,0.561,0.813,0.729
19,sample_data_adult_tab_split_60_0_5.csv,0.235,-0.175,0.113,0.227,0.141,0.619,0.574,0.807,0.729
20,sample_data_adult_tab_split_60_0_6.csv,0.298,-0.247,0.062,0.127,0.131,0.617,0.624,0.811,0.748
21,sample_data_0_9_0.csv,0.628,-0.165,-0.024,-0.03,0.224,0.743,0.21,0.786,0.593
22,sample_data_1_9_0.csv,0.504,-0.294,-0.04,0.015,0.24,0.381,0.25,0.714,0.558
23,sample_data_2_9_0.csv,0.765,-1.365,-0.405,-0.378,0.149,0.354,0.644,0.621,0.629
24,sample_data_0_8_0.csv,0.877,-0.235,-0.077,-0.119,0.228,0.735,0.191,0.783,0.584
25,sample_data_1_8_0.csv,0.575,-0.241,-0.007,0.024,0.198,0.692,0.318,0.796,0.636
26,sample_data_2_8_0.csv,0.803,-0.185,-0.072,-0.117,0.244,0.63,0.145,0.767,0.559
27,sample_data_3_8_0.csv,0.835,-0.269,-0.088,-0.146,0.212,0.775,0.246,0.796,0.611
28,sample_data_3_9_0.csv,0.652,-0.369,-0.102,-0.153,0.187,0.62,0.375,0.788,0.65
29,sample_data_4_8_0.csv,0.424,-0.097,0.014,0.032,0.227,0.737,0.197,0.784,0.587
30,sample_data_4_9_0.csv,0.625,-0.141,-0.007,0.001,0.227,0.78,0.19,0.786,0.586
31,sample_data_5_9_0.csv,0.727,-0.35,-0.068,-0.086,0.184,0.739,0.368,0.811,0.663
32,sample_data_6_9_0.csv,0.729,-0.373,-0.082,-0.119,0.171,0.759,0.402,0.82,0.68
33,sample_data_7_9_0.csv,0.686,-0.361,-0.047,-0.038,0.174,0.728,0.403,0.815,0.677
34,sample_data_8_9_0.csv,0.814,-0.409,-0.13,-0.177,0.212,0.579,0.291,0.772,0.611
35,sample_data_9_9_0.csv,0.778,-0.169,-0.066,-0.115,0.242,0.685,0.15,0.772,0.564
36,sample_data_adult-VGAN-norm-FAIR-SWAP-0.csv,0.677,-0.277,-0.05,-0.072,0.188,0.769,0.332,0.81,0.65
37,sample_data_adult-VGAN-norm-FAIR-SWAP-1.csv,0.633,-0.264,-0.037,-0.045,0.189,0.748,0.335,0.807,0.649
38,sample_data_adult-VGAN-norm-nofair-FAIR-SWAP-0.csv,0.647,-0.244,-0.042,-0.062,0.195,0.765,0.308,0.805,0.638
39,sample_data_adult-VGAN-norm-nofair-FAIR-SWAP-1.csv,0.611,-0.235,-0.029,-0.036,0.195,0.754,0.315,0.805,0.641
40,sample_data_adult-VGAN-norm-FAIR-SWAP-2.csv,0.681,-0.296,-0.062,-0.093,0.188,0.75,0.343,0.809,0.653
41,sample_data_adult-VGAN-norm-nofair-FAIR-SWAP-2.csv,0.636,-0.246,-0.037,-0.051,0.194,0.756,0.313,0.805,0.64
42,Base,0.024,-0.018,0.177,0.3,0.136,0.589,0.605,0.798,0.733
43,Base,0.026,-0.021,0.158,0.248,0.128,0.584,0.642,0.798,0.746
44,Base,0.098,-0.095,0.131,0.213,0.119,0.554,0.698,0.786,0.757
45,Base,0.07,-0.064,0.143,0.232,0.125,0.563,0.668,0.789,0.749
46,Base,0.063,-0.054,0.141,0.224,0.128,0.573,0.647,0.793,0.744
47,Base,0.027,-0.023,0.151,0.232,0.127,0.58,0.649,0.796,0.747
48,sample_data_adult_VGAN-NORM_all.csv,0.476,-0.699,-0.096,-0.02,0.115,0.452,0.758,0.712,0.727
49,sample_data_naive2_adult-VGAN-norm_sex_1.csv,0.605,-0.263,0.014,0.072,0.183,0.748,0.353,0.81,0.657
50,sample_data_naive2_adult-VGAN-norm_sex_2.csv,0.699,-0.401,-0.057,-0.055,0.162,0.745,0.447,0.825,0.698
51,sample_data_naive2_adult-VGAN-norm_sex_3.csv,0.655,-0.298,-0.019,0.004,0.181,0.767,0.372,0.816,0.667
52,sample_data_naive2_adult-VGAN-norm_sex_4.csv,0.69,-0.358,-0.038,-0.021,0.172,0.749,0.409,0.82,0.682
53,sample_data_naive2_adult-VGAN-norm_sex_5.csv,0.694,-0.378,-0.051,-0.042,0.17,0.728,0.415,0.817,0.682
54,sample_data_naive2_adult-VGAN-norm_sex_6.csv,0.724,-0.359,-0.064,-0.076,0.178,0.747,0.384,0.815,0.671
