,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
0,Original,0.649,-0.531,-0.034,-0.008,0.092,0.804,0.702,0.884,0.823
1,Base,0.012,0.008,0.187,0.312,0.138,0.594,0.594,0.799,0.73
2,Base,0.033,-0.027,0.157,0.249,0.129,0.584,0.636,0.797,0.743
3,Base,0.118,-0.114,0.128,0.215,0.119,0.555,0.7,0.787,0.758
4,sample_data_parallel_adult-VGAN-norm-d-None_sex_1.csv,0.737,-0.904,-0.179,-0.16,0.099,0.604,0.762,0.817,0.799
5,sample_data_parallel_adult-VGAN-norm-d-EqOp_sex_1.csv,0.568,-0.625,-0.059,-0.001,0.106,0.603,0.732,0.814,0.787
6,sample_data_parallel_adult-VGAN-norm-d-EqOp_sex_2.csv,0.548,-0.598,-0.05,0.006,0.106,0.604,0.733,0.815,0.787
7,sample_data_parallel_adult-VGAN-norm-d-EqOp_sex_3.csv,0.479,-0.57,-0.038,0.02,0.099,0.569,0.771,0.798,0.789
8,sample_data_parallel_adult-VGAN-norm-d-None_sex_2.csv,0.66,-0.854,-0.136,-0.081,0.095,0.575,0.792,0.804,0.8
9,sample_data_parallel_adult-VGAN-norm-d-None_sex_3.csv,0.733,-1.042,-0.219,-0.191,0.088,0.558,0.819,0.795,0.803
10,sample_data_parallel_adult-VGAN-norm-d-AvgOdd_sex_1.csv,0.499,-0.484,-0.013,0.049,0.116,0.616,0.678,0.816,0.77
11,sample_data_parallel_adult-VGAN-norm-d-AvgOdd_sex_2.csv,0.401,-0.427,0.019,0.095,0.11,0.58,0.725,0.802,0.776
12,sample_data_parallel_adult-VGAN-norm-d-AvgOdd_sex_3.csv,0.476,-0.391,0.029,0.117,0.129,0.652,0.612,0.823,0.752
