,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
0,Original,0.648,-0.53,-0.032,-0.005,0.091,0.806,0.704,0.885,0.824
1,Base,0.009,-0.009,0.15,0.225,0.121,0.517,0.702,0.764,0.743
2,Base,0.061,0.069,0.154,0.188,0.113,0.512,0.742,0.761,0.754
3,Base,0.046,0.05,0.159,0.216,0.117,0.512,0.721,0.761,0.747
4,Base,0.036,0.044,0.135,0.156,0.109,0.487,0.771,0.742,0.752
5,Base,0.048,0.056,0.155,0.198,0.111,0.504,0.756,0.756,0.756
6,Base,0.053,0.055,0.172,0.243,0.12,0.524,0.712,0.769,0.75
7,sample_data_parallel_adult-WGAN-gmm-n-.1_sex_1.csv,0.044,0.037,0.17,0.262,0.139,0.555,0.61,0.782,0.724
8,sample_data_parallel_adult-WGAN-gmm-n-.1_sex_2.csv,0.011,-0.011,0.129,0.172,0.124,0.538,0.687,0.777,0.747
9,sample_data_parallel_adult-WGAN-gmm-n-.1_sex_3.csv,0.025,0.024,0.184,0.288,0.123,0.542,0.68,0.778,0.745
10,sample_data_parallel_adult-WGAN-gmm-n-.25_sex_1.csv,0.034,0.034,0.161,0.228,0.123,0.527,0.696,0.77,0.745
11,sample_data_parallel_adult-WGAN-gmm-n-.25_sex_2.csv,0.012,0.006,0.145,0.203,0.117,0.516,0.722,0.764,0.75
12,sample_data_parallel_adult-WGAN-gmm-n-.25_sex_3.csv,0.057,0.062,0.159,0.203,0.116,0.521,0.732,0.767,0.755
13,sample_data_parallel_adult-WGAN-gmm-n-.5_sex_1.csv,0.03,-0.036,0.125,0.17,0.107,0.484,0.783,0.74,0.754
14,sample_data_parallel_adult-WGAN-gmm-n-.5_sex_2.csv,0.04,0.048,0.145,0.181,0.11,0.488,0.765,0.743,0.75
15,sample_data_parallel_adult-WGAN-gmm-n-.5_sex_3.csv,0.04,0.05,0.147,0.176,0.104,0.488,0.797,0.743,0.761
16,sample_data_parallel_adult-WGAN-gmm-n-.75_sex_1.csv,0.05,0.062,0.139,0.159,0.108,0.484,0.774,0.74,0.751
17,sample_data_parallel_adult-WGAN-gmm-n-.75_sex_2.csv,0.023,-0.024,0.136,0.195,0.116,0.514,0.723,0.762,0.749
18,sample_data_parallel_adult-WGAN-gmm-n-.75_sex_3.csv,0.035,-0.036,0.137,0.201,0.117,0.525,0.724,0.769,0.754
