,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,DI_sem,Stat Par_sem,Avg Odds_sem,Eq Opp_sem,Theil_sem,prec_sem,rec_sem,acc_sem,bal_acc_sem
Base,0.041666666666666664,0.04466666666666667,0.15583333333333335,0.2071666666666667,0.11466666666666665,0.5106666666666667,0.7345,0.7593333333333333,0.7511666666666666,0.00837721778263988,0.011149489275796946,0.0043467740273039745,0.011414659190902041,0.0018012341448141705,0.005834761729877626,0.010252641935943472,0.004216370213557847,0.0015793810320642906
Original,0.648,-0.53,-0.032,-0.005,0.091,0.804,0.702,0.884,0.823,,,,,,,,,
VGAN-gmm-b-0_sex,0.013333333333333334,-0.007666666666666666,0.1376666666666667,0.19133333333333336,0.12033333333333333,0.5276666666666667,0.7033333333333333,0.77,0.7473333333333333,0.005364492313143695,0.008685876147196922,0.000881917103688196,0.002603416558635552,0.0021858128414339976,0.015191371820141141,0.012978614889287818,0.009018499505645797,0.003844187531556924
VGAN-gmm-b-100_sex,0.453,-0.5893333333333334,-0.04466666666666667,0.01833333333333333,0.09833333333333334,0.5323333333333333,0.7946666666666667,0.7763333333333334,0.7823333333333333,0.05367805262240178,0.07779531548307464,0.026345988520287317,0.025757415329268663,0.0014529663145135593,0.004702245326555321,0.007264831572567815,0.0031797973380564924,0.0006666666666666718
VGAN-gmm-b-10_sex,0.026333333333333334,-0.024999999999999998,0.13233333333333333,0.18299999999999997,0.11766666666666666,0.5403333333333333,0.7063333333333333,0.7783333333333333,0.7536666666666667,0.01219744964235466,0.01216552506059644,0.0037118429085533492,0.0041633319989322695,0.000881917103688196,0.011289129481250725,0.006691619966628262,0.00669161996662823,0.0024037008503093264
VGAN-gmm-b-1_sex,0.02766666666666667,-0.019,0.13833333333333334,0.20099999999999998,0.12433333333333334,0.5466666666666667,0.673,0.7806666666666667,0.7443333333333334,0.00837323779138698,0.015132745950421557,0.009061518146045456,0.013747727084867522,0.0013333333333333352,0.009905105305402385,0.008962886439832493,0.0052068331172711165,0.0003333333333333383
VGAN-gmm-b-25_sex,0.34600000000000003,-0.397,0.017,0.075,0.105,0.5513333333333333,0.758,0.7873333333333333,0.7773333333333333,0.028618176042508377,0.03000555504124749,0.012489995996796796,0.017009801096230764,0.0005773502691896263,0.007753135566408678,0.004618802153517011,0.004702245326555297,0.001763834207376397
VGAN-gmm-b-50_sex,0.45,-0.5746666666666667,-0.043000000000000003,0.019333333333333334,0.10166666666666667,0.531,0.7796666666666666,0.7743333333333333,0.7763333333333334,0.02206807649071391,0.044475961047639116,0.011269427669584645,0.006984108946585655,0.0036666666666666653,0.009865765724632504,0.02062630467254,0.006064468466220098,0.003282952600598727
VGAN-norm-b-0_sex,0.043666666666666666,0.002999999999999998,0.18166666666666667,0.31033333333333335,0.14733333333333332,0.6296666666666667,0.5406666666666667,0.8073333333333333,0.7176666666666667,0.009597453365925313,0.01985782801147531,0.009871395263307232,0.012666666666666684,0.0024037008503093307,0.011893041849940852,0.013531855420122982,0.002603416558635562,0.0031797973380564564
VGAN-norm-b-100_sex,0.5313333333333333,-0.5790000000000001,-0.03766666666666667,0.033,0.10866666666666668,0.6,0.715,0.81,0.778,0.04115958103663242,0.10312290401910403,0.03754700757420993,0.04437717130838032,0.006173419725817376,0.018475208614068043,0.03629049462324812,0.006350852961085842,0.00818535277187244
VGAN-norm-b-10_sex,0.056,-0.049999999999999996,0.15016666666666667,0.24416666666666667,0.1275,0.5745,0.65,0.7936666666666667,0.7454999999999999,0.014052283325732752,0.013854000625571421,0.00709655628534792,0.013317699167315308,0.002446085307860979,0.005264662065761357,0.013150411907363718,0.0018915014612148234,0.0033739195801520605
