,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
0,Original,0.648,-0.53,-0.032,-0.005,0.091,0.804,0.702,0.884,0.823
1,Base,0.006,-0.005,0.152,0.226,0.12,0.521,0.705,0.766,0.746
2,Base,0.069,0.078,0.158,0.194,0.113,0.513,0.742,0.761,0.755
3,Base,0.038,0.041,0.157,0.214,0.116,0.512,0.724,0.761,0.748
4,Base,0.042,0.051,0.139,0.163,0.109,0.486,0.769,0.741,0.751
5,Base,0.046,0.053,0.157,0.202,0.111,0.505,0.755,0.756,0.756
6,Base,0.049,0.05,0.172,0.244,0.119,0.527,0.712,0.771,0.751
7,sample_data_parallel_adult-WGAN-gmm-b-0_sex_1.csv,0.017,0.017,0.14,0.185,0.12,0.516,0.712,0.763,0.746
8,sample_data_parallel_adult-WGAN-gmm-b-0_sex_2.csv,0.004,0.004,0.144,0.198,0.118,0.52,0.724,0.766,0.752
9,sample_data_parallel_adult-WGAN-gmm-b-0_sex_3.csv,0.009,0.01,0.133,0.168,0.112,0.494,0.758,0.748,0.751
10,sample_data_parallel_adult-WGAN-gmm-b-100_sex_1.csv,0.188,-0.218,0.076,0.135,0.107,0.523,0.766,0.769,0.768
11,sample_data_parallel_adult-WGAN-gmm-b-100_sex_2.csv,0.295,-0.362,0.017,0.064,0.105,0.516,0.774,0.765,0.768
12,sample_data_parallel_adult-WGAN-gmm-b-100_sex_3.csv,0.407,-0.56,-0.044,0.005,0.095,0.511,0.824,0.761,0.782
13,sample_data_parallel_adult-WGAN-gmm-b-1_sex_1.csv,0.055,0.062,0.152,0.192,0.117,0.508,0.73,0.758,0.749
14,sample_data_parallel_adult-WGAN-gmm-b-1_sex_2.csv,0.037,0.041,0.154,0.204,0.114,0.505,0.742,0.756,0.751
15,sample_data_parallel_adult-WGAN-gmm-b-1_sex_3.csv,0.007,-0.007,0.149,0.216,0.118,0.53,0.717,0.772,0.754
16,sample_data_parallel_adult-WGAN-gmm-b-25_sex_1.csv,0.058,0.066,0.148,0.182,0.115,0.5,0.727,0.752,0.744
17,sample_data_parallel_adult-WGAN-gmm-b-25_sex_2.csv,0.037,-0.038,0.125,0.17,0.114,0.531,0.729,0.774,0.759
18,sample_data_parallel_adult-WGAN-gmm-b-25_sex_3.csv,0.11,-0.14,0.077,0.1,0.101,0.489,0.805,0.743,0.764
19,sample_data_parallel_adult-WGAN-gmm-b-50_sex_1.csv,0.304,-0.407,-0.001,0.04,0.098,0.5,0.814,0.752,0.773
20,sample_data_parallel_adult-WGAN-gmm-b-50_sex_2.csv,0.283,-0.375,0.021,0.077,0.099,0.499,0.812,0.752,0.772
21,sample_data_parallel_adult-WGAN-gmm-b-50_sex_3.csv,0.193,-0.235,0.053,0.088,0.105,0.508,0.78,0.759,0.766
22,sample_data_parallel_adult-VGAN-gmm-b-0_sex_1.csv,0.024,-0.022,0.136,0.191,0.122,0.558,0.684,0.788,0.753
23,sample_data_parallel_adult-VGAN-gmm-b-0_sex_2.csv,0.009,-0.009,0.138,0.196,0.123,0.514,0.698,0.762,0.74
24,sample_data_parallel_adult-VGAN-gmm-b-0_sex_3.csv,0.007,0.008,0.139,0.187,0.116,0.511,0.728,0.76,0.749
25,sample_data_parallel_adult-WGAN-norm-b-0_sex_1.csv,0.098,-0.07,0.143,0.253,0.147,0.602,0.56,0.799,0.719
26,sample_data_parallel_adult-VGAN-norm-b-0_sex_1.csv,0.026,0.012,0.19,0.323,0.144,0.622,0.558,0.807,0.723
27,sample_data_parallel_adult-VGAN-norm-b-0_sex_2.csv,0.046,0.032,0.193,0.323,0.146,0.614,0.55,0.803,0.718
28,sample_data_parallel_adult-VGAN-norm-b-0_sex_3.csv,0.059,-0.035,0.162,0.285,0.152,0.653,0.514,0.812,0.712
29,sample_data_parallel_adult-VGAN-norm-b-100_sex_1.csv,0.61,-0.777,-0.111,-0.055,0.097,0.568,0.784,0.799,0.794
30,sample_data_parallel_adult-VGAN-norm-b-100_sex_2.csv,0.471,-0.43,0.013,0.087,0.118,0.632,0.661,0.821,0.767
31,sample_data_parallel_adult-VGAN-norm-b-100_sex_3.csv,0.513,-0.53,-0.015,0.067,0.111,0.6,0.7,0.81,0.773
32,sample_data_parallel_adult-VGAN-norm-b-1_sex_1.csv,0.017,-0.007,0.174,0.29,0.138,0.6,0.591,0.801,0.731
33,sample_data_parallel_adult-VGAN-norm-b-1_sex_2.csv,0.065,0.044,0.182,0.29,0.148,0.624,0.548,0.806,0.72
