,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
0,Original,0.652,-0.535,-0.036,-0.012,0.091,0.804,0.705,0.884,0.824
1,Base,0.018,-0.019,0.148,0.222,0.12,0.52,0.705,0.766,0.745
2,Base,0.067,0.076,0.156,0.192,0.113,0.51,0.743,0.76,0.754
3,Base,0.039,0.042,0.158,0.215,0.117,0.513,0.722,0.762,0.748
4,sample_data_parallel_adult-WGAN-gmm-t-1_sex_1.csv,0.142,-0.154,0.098,0.161,0.113,0.528,0.736,0.772,0.76
5,sample_data_parallel_adult-WGAN-gmm-t-1_sex_2.csv,0.355,-0.489,-0.017,0.041,0.097,0.498,0.818,0.751,0.774
6,sample_data_parallel_adult-WGAN-gmm-t-1_sex_3.csv,0.255,-0.329,0.024,0.062,0.099,0.504,0.803,0.755,0.771
7,sample_data_parallel_adult-WGAN-gmm-t-2_sex_1.csv,0.031,0.035,0.146,0.191,0.117,0.494,0.739,0.748,0.745
8,sample_data_parallel_adult-WGAN-gmm-t-2_sex_2.csv,0.072,-0.086,0.098,0.131,0.108,0.492,0.774,0.746,0.756
9,sample_data_parallel_adult-WGAN-gmm-t-2_sex_3.csv,0.043,0.047,0.15,0.194,0.119,0.505,0.725,0.756,0.746
10,sample_data_parallel_adult-WGAN-gmm-t-15_sex_1.csv,0.03,0.032,0.152,0.208,0.119,0.509,0.72,0.758,0.746
11,sample_data_parallel_adult-WGAN-gmm-t-100_sex_1.csv,0.073,0.088,0.164,0.207,0.112,0.489,0.756,0.744,0.748
12,sample_data_parallel_adult-WGAN-gmm-t-100_sex_2.csv,0.018,0.019,0.141,0.185,0.118,0.523,0.716,0.768,0.75
13,sample_data_parallel_adult-WGAN-gmm-t-15_sex_2.csv,0.006,-0.003,0.13,0.169,0.114,0.499,0.748,0.751,0.75
14,sample_data_parallel_adult-WGAN-gmm-t-15_sex_3.csv,0.032,0.036,0.142,0.18,0.112,0.502,0.744,0.754,0.751
15,sample_data_parallel_adult-WGAN-gmm-t-100_sex_3.csv,0.035,0.043,0.141,0.175,0.109,0.48,0.773,0.736,0.748
