,file,sim_modes
0,ORIGINAL,5425
1,VGAN-NORM,1781
2,VGAN-NORM,1744
3,VGAN-NORM,1735
4,VGAN-NORM,731
5,VGAN-NORM,703
6,VGAN-NORM,751
7,VGAN-NORM,664
8,VGAN-NORM,2440
9,VGAN-NORM,2521
10,VGAN-NORM,2647
11,VGAN-NORM,2768
12,VGAN-NORM,2928
13,VGAN-NORM,2883
14,VGAN-NORM,3439
15,VGAN-NORM,3358
16,VGAN-NORM,3376
17,VGAN-NORM,3522
18,VGAN-NORM,3721
19,VGAN-NORM,598
20,VGAN-NORM,607
21,VGAN-NORM,3732
22,VGAN-NORM,3712
23,VGAN-NORM,3736
24,VGAN-NORM,3110
25,VGAN-NORM,2851
26,VGAN-NORM,2836
27,VGAN-NORM,2282
28,VGAN-NORM,2096
29,VGAN-NORM,2130
30,VGAN-NORM,3227
31,VGAN-NORM,3301
32,VGAN-NORM,3349
33,VGAN-NORM,3274
34,VGAN-NORM,3405
35,VGAN-NORM,3425
36,VGAN-NORM,1233
37,VGAN-NORM,1201
38,VGAN-NORM,2525
39,VGAN-NORM,2615
40,VGAN-NORM,3131
41,VGAN-NORM,3225
42,VGAN-NORM_all,5419
43,VGAN-GMM,3175
44,VGAN-GMM,3150
45,VGAN-GMM,1852
46,VGAN-GMM,2002
47,VGAN-GMM,3236
48,VGAN-GMM,3461
49,VGAN-GMM,585
50,VGAN-GMM,2832
51,VGAN-GMM,2748
52,VGAN-GMM,1083
53,VGAN-GMM,1138
54,VGAN-GMM,1832
55,VGAN-GMM,1819
56,VGAN-GMM,2116
57,VGAN-GMM,2057
58,VGAN-GMM_all,5307
59,WGAN-NORM,57
60,WGAN-NORM,63
61,WGAN-NORM,1390
62,WGAN-NORM,1385
63,WGAN-NORM,289
64,WGAN-NORM,286
65,WGAN-NORM,2262
66,WGAN-NORM,2406
67,WGAN-NORM,214
68,WGAN-NORM,210
69,WGAN-NORM,1018
70,WGAN-NORM,970
71,WGAN-NORM_all,3315
72,WGAN-GMM,422
73,WGAN-GMM,368
74,WGAN-GMM,375
75,WGAN-GMM,1059
76,WGAN-GMM,1095
77,WGAN-GMM,1120
78,WGAN-GMM,68
79,WGAN-GMM,55
80,WGAN-GMM,65
81,WGAN-GMM,628
82,WGAN-GMM,665
83,WGAN-GMM,714
84,WGAN-GMM,125
85,WGAN-GMM,122
86,WGAN-GMM,129
87,WGAN-GMM,77
88,WGAN-GMM,75
89,WGAN-GMM,74
90,WGAN-GMM,101
91,WGAN-GMM,99
92,WGAN-GMM,111
93,WGAN-GMM,886
94,WGAN-GMM,910
95,WGAN-GMM,873
96,WGAN-GMM,256
97,WGAN-GMM,232
98,WGAN-GMM,251
99,WGAN-GMM_all,2394
100,VGAN-ORDI-NORM,3091
101,VGAN-ORDI-NORM,3316
102,VGAN-ORDI-NORM,3700
103,VGAN-ORDI-NORM,3827
104,VGAN-ORDI-NORM,3482
105,VGAN-ORDI-NORM,3525
106,VGAN-ORDI-NORM,3086
107,VGAN-ORDI-NORM,3236
108,VGAN-ORDI-NORM_all,5293
109,VGAN-ORDI-GMM,3649
110,VGAN-ORDI-GMM,3807
111,VGAN-ORDI-GMM,838
112,VGAN-ORDI-GMM,767
113,VGAN-ORDI-GMM,3001
114,VGAN-ORDI-GMM,2965
115,VGAN-ORDI-GMM,2677
116,VGAN-ORDI-GMM,2659
117,VGAN-ORDI-GMM_all,4949
118,TABFAIRGAN,3963
119,TABFAIRGAN,3877
120,TABFAIRGAN,3950
121,TABFAIRGAN,3952
122,TABFAIRGAN,3973
123,TABFAIRGAN,3950
124,TABFAIRGAN,3948
125,TABFAIRGAN,3964
126,TABFAIRGAN,4023
127,TABFAIRGAN,3983
128,TABFAIRGAN,3947
129,TABFAIRGAN,3908
130,TABFAIRGAN,3950
131,TABFAIRGAN,3935
132,TABFAIRGAN_all,5319
133,FAIRGAN,636
134,FAIRGAN,1364
135,FAIRGAN,1373
136,FAIRGAN,2029
137,FAIRGAN,1856
138,FAIRGAN,2064
139,FAIRGAN,2164
140,FAIRGAN_all,3098
141,FAIRSWAP,5264
142,FAIRSWAP,5260
143,FAIRSWAP,5276
144,FAIRSWAP_all,5336
145,POST-FAIRGAN-VGAN-NORM,4214
146,POST-FAIRGAN-VGAN-NORM,4251
147,POST-FAIRGAN-VGAN-NORM,4236
148,POST-FAIRGAN-VGAN-NORM,4182
149,POST-FAIRGAN-VGAN-NORM,4223
150,POST-FAIRGAN-VGAN-NORM,4210
151,POST-FAIRGAN-VGAN-NORM_all,5236
152,POST-FAIRGAN-VGAN-GMM,4087
153,POST-FAIRGAN-VGAN-GMM,4094
154,POST-FAIRGAN-VGAN-GMM,4037
155,POST-FAIRGAN-VGAN-GMM,4054
156,POST-FAIRGAN-VGAN-GMM,4066
157,POST-FAIRGAN-VGAN-GMM,4100
158,POST-FAIRGAN-VGAN-GMM_all,5021
159,POST-FAIRGAN-WGAN-NORM,2298
160,POST-FAIRGAN-WGAN-NORM,2269
161,POST-FAIRGAN-WGAN-NORM,2279
