,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
0,Original,0.788,0.514,0.139,0.202,0.089,0.68,0.326,0.903,0.653
1,sample_data_0_7_0.csv,0.171,-0.026,-0.089,-0.183,0.106,0.51,0.216,0.884,0.594
2,sample_data_0_8_0.csv,0.528,0.174,-0.0,-0.037,0.104,0.509,0.24,0.884,0.605
3,sample_data_0_9_0-age.csv,0.808,0.637,0.17,0.195,0.095,0.572,0.307,0.892,0.638
4,sample_data_10_8_0.csv,0.859,0.107,0.038,0.049,0.124,0.292,0.02,0.88,0.507
5,sample_data_10_9_0.csv,0.713,0.635,0.208,0.251,0.123,0.253,0.211,0.835,0.564
6,sample_data_11_8_0.csv,0.427,-0.11,-0.119,-0.213,0.11,0.364,0.26,0.86,0.6
7,sample_data_11_9_0.csv,0.291,0.109,0.014,0.014,0.124,0.247,0.191,0.837,0.557
8,sample_data_12_8_0.csv,0.699,0.444,0.093,0.097,0.095,0.532,0.329,0.888,0.645
9,sample_data_12_9_0.csv,0.778,0.578,0.139,0.136,0.096,0.544,0.308,0.889,0.637
10,sample_data_13_8_0.csv,0.573,0.338,0.008,-0.042,0.08,0.585,0.453,0.898,0.705
11,sample_data_13_9_0.csv,0.662,0.259,0.026,0.012,0.093,0.691,0.29,0.902,0.637
12,sample_data_14_8_0.csv,0.702,0.669,0.119,0.087,0.077,0.553,0.509,0.895,0.727
13,sample_data_14_9_0.csv,0.637,0.253,0.021,-0.001,0.094,0.639,0.29,0.898,0.634
14,sample_data_1_7_0.csv,0.824,0.533,0.148,0.188,0.097,0.641,0.265,0.897,0.622
15,sample_data_1_8_0.csv,0.759,0.642,0.145,0.152,0.085,0.591,0.405,0.898,0.684
16,sample_data_1_9_0-age.csv,0.838,0.689,0.204,0.266,0.094,0.613,0.302,0.896,0.639
17,sample_data_20_8_0.csv,0.695,0.414,0.083,0.1,0.091,0.588,0.345,0.895,0.656
18,sample_data_20_9_0.csv,0.74,0.638,0.123,0.089,0.083,0.576,0.428,0.896,0.693
19,sample_data_21_8_0.csv,0.922,-0.134,-0.074,-0.112,0.126,0.241,0.095,0.859,0.528
20,sample_data_21_9_0.csv,0.629,0.125,0.036,0.047,0.122,0.332,0.077,0.874,0.528
21,sample_data_2_7_0.csv,0.754,0.256,0.063,0.09,0.104,0.668,0.188,0.894,0.588
22,sample_data_2_8_0.csv,0.7,0.409,0.072,0.064,0.091,0.596,0.338,0.896,0.654
23,sample_data_2_9_0-age.csv,0.557,0.269,0.005,-0.024,0.085,0.603,0.394,0.899,0.68
24,sample_data_3_7_0.csv,0.598,0.292,0.009,-0.04,0.088,0.601,0.365,0.897,0.666
25,sample_data_3_8_0.csv,0.542,0.2,-0.012,-0.057,0.092,0.618,0.318,0.897,0.646
26,sample_data_3_9_0-age.csv,0.941,0.875,0.323,0.444,0.112,0.505,0.152,0.883,0.566
27,sample_data_4_7_0.csv,0.792,0.858,0.241,0.242,0.104,0.397,0.311,0.864,0.624
28,sample_data_4_8_0.csv,0.565,0.176,-0.003,-0.044,0.101,0.577,0.24,0.891,0.608
29,sample_data_4_9_0-age.csv,0.72,0.437,0.114,0.102,0.116,0.341,0.19,0.862,0.571
30,sample_data_5_7_0.csv,0.773,0.68,0.16,0.162,0.088,0.564,0.385,0.893,0.673
31,sample_data_5_8_0.csv,0.774,0.707,0.167,0.168,0.087,0.564,0.398,0.894,0.679
32,sample_data_5_9_0-age.csv,0.825,0.8,0.227,0.277,0.089,0.586,0.361,0.895,0.664
33,sample_data_6_7_0.csv,0.38,0.123,-0.024,-0.075,0.107,0.428,0.253,0.873,0.604
34,sample_data_6_8_0.csv,0.682,0.344,0.056,0.033,0.099,0.541,0.279,0.888,0.624
35,sample_data_6_9_0-age.csv,0.656,0.409,0.097,0.111,0.105,0.421,0.286,0.87,0.617
36,sample_data_7_8_0.csv,0.5,0.266,0.057,0.079,0.111,0.344,0.277,0.854,0.604
37,sample_data_7_9_0.csv,0.691,0.47,0.102,0.097,0.099,0.467,0.317,0.878,0.634
38,sample_data_8_8_0.csv,0.68,0.502,0.083,0.064,0.084,0.562,0.424,0.894,0.69
39,sample_data_8_9_0.csv,0.657,0.454,0.049,-0.004,0.082,0.583,0.439,0.898,0.698
40,sample_data_9_8_0.csv,0.74,0.663,0.143,0.136,0.084,0.556,0.431,0.893,0.693
41,sample_data_9_9_0.csv,0.634,0.446,0.049,0.017,0.079,0.583,0.471,0.899,0.713
42,Base,0.07,0.039,-0.155,-0.282,0.072,0.443,0.656,0.863,0.773
43,Base,0.067,-0.062,-0.207,-0.357,0.071,0.314,0.823,0.769,0.793
44,Base,0.227,0.127,-0.12,-0.243,0.071,0.49,0.616,0.88,0.766
45,Base,0.165,0.102,-0.138,-0.265,0.07,0.452,0.672,0.866,0.782
46,Base,0.111,0.072,-0.148,-0.272,0.071,0.419,0.697,0.851,0.784
47,Base,0.05,0.025,-0.166,-0.317,0.074,0.462,0.618,0.871,0.761
