,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,config
Original,Original,0.668,0.544,0.075,0.041,0.075,0.595,0.505,0.902,0.73,Original
Base,Base,0.072,-0.055,-0.22,-0.415,0.074,0.352,0.746,0.81,0.782,Base
Base,Base,0.11,-0.109,-0.212,-0.337,0.072,0.305,0.831,0.758,0.79,Base
Base,Base,0.091,0.023,-0.174,-0.342,0.077,0.386,0.662,0.837,0.761,Base
Base,Base,0.094,-0.041,-0.2,-0.365,0.074,0.379,0.706,0.829,0.776,Base
Base,Base,0.078,0.057,-0.159,-0.303,0.073,0.373,0.723,0.825,0.781,Base
Base,Base,0.117,-0.07,-0.211,-0.394,0.077,0.385,0.662,0.835,0.76,Base
2,sample_data_naive2_bank-VGAN-norm_age_1.csv,0.009,0.005,0.002,0.014,0.057,0.12,0.833,0.265,0.511,sample_data_naive2_bank-VGAN-norm_age
2,sample_data_naive2_bank-VGAN-norm_age_2.csv,0.517,0.433,0.135,0.175,0.103,0.334,0.421,0.685,0.57,sample_data_naive2_bank-VGAN-norm_age
sample_data,sample_data_0_7_0.csv,0.208,0.076,-0.069,-0.162,0.102,0.403,0.331,0.864,0.633,sample_data
sample_data,sample_data_0_8_0.csv,0.265,0.188,-0.018,-0.069,0.107,0.285,0.43,0.807,0.644,sample_data
sample_data,sample_data_0_9_0-age.csv,0.38,0.186,-0.038,-0.102,0.091,0.467,0.417,0.876,0.677,sample_data
sample_data,sample_data_10_8_0.csv,0.829,0.27,0.084,0.112,0.115,0.534,0.108,0.885,0.548,sample_data
sample_data,sample_data_10_9_0.csv,0.55,0.359,0.069,0.06,0.107,0.356,0.317,0.853,0.621,sample_data
sample_data,sample_data_11_8_0.csv,0.302,0.161,-0.032,-0.097,0.104,0.354,0.37,0.847,0.64,sample_data
sample_data,sample_data_11_9_0.csv,0.277,0.166,-0.034,-0.108,0.106,0.315,0.396,0.829,0.641,sample_data
sample_data,sample_data_12_8_0.csv,0.414,0.192,-0.021,-0.079,0.098,0.443,0.353,0.872,0.647,sample_data
sample_data,sample_data_12_9_0.csv,0.568,0.572,0.099,0.067,0.091,0.38,0.508,0.846,0.699,sample_data
sample_data,sample_data_13_8_0.csv,0.491,0.412,0.001,-0.09,0.079,0.448,0.575,0.867,0.741,sample_data
sample_data,sample_data_13_9_0.csv,0.647,0.446,0.058,-0.007,0.094,0.484,0.372,0.88,0.66,sample_data
sample_data,sample_data_14_8_0.csv,0.608,0.639,0.084,0.023,0.074,0.472,0.604,0.874,0.757,sample_data
sample_data,sample_data_14_9_0.csv,0.543,0.29,0.001,-0.073,0.094,0.493,0.365,0.882,0.657,sample_data
sample_data,sample_data_1_7_0.csv,0.77,0.741,0.17,0.129,0.094,0.483,0.364,0.88,0.656,sample_data
sample_data,sample_data_1_8_0.csv,0.653,0.64,0.115,0.071,0.087,0.449,0.482,0.87,0.702,sample_data
sample_data,sample_data_1_9_0-age.csv,0.699,0.649,0.143,0.122,0.094,0.443,0.4,0.871,0.667,sample_data
sample_data,sample_data_20_8_0.csv,0.582,0.507,0.076,0.039,0.089,0.426,0.478,0.863,0.696,sample_data
sample_data,sample_data_20_9_0.csv,0.36,0.508,0.027,-0.089,0.086,0.271,0.718,0.74,0.73,sample_data
sample_data,sample_data_21_8_0.csv,0.065,-0.014,-0.091,-0.181,0.105,0.423,0.276,0.871,0.613,sample_data
sample_data,sample_data_21_9_0.csv,0.659,0.105,0.038,0.059,0.123,0.314,0.048,0.876,0.517,sample_data
sample_data,sample_data_2_7_0.csv,0.759,0.144,0.015,-0.007,0.112,0.678,0.135,0.887,0.561,sample_data
sample_data,sample_data_2_8_0.csv,0.623,0.58,0.096,0.043,0.09,0.423,0.462,0.863,0.689,sample_data
sample_data,sample_data_2_9_0-age.csv,0.467,0.304,-0.012,-0.081,0.085,0.469,0.486,0.875,0.706,sample_data
sample_data,sample_data_3_7_0.csv,0.401,0.314,-0.021,-0.129,0.092,0.369,0.504,0.841,0.695,sample_data
sample_data,sample_data_3_8_0.csv,0.344,0.168,-0.07,-0.195,0.092,0.451,0.422,0.872,0.677,sample_data
sample_data,sample_data_3_9_0-age.csv,0.671,0.519,0.127,0.124,0.107,0.373,0.302,0.857,0.617,sample_data
sample_data,sample_data_4_7_0.csv,0.637,0.61,0.095,-0.004,0.096,0.388,0.424,0.854,0.668,sample_data
sample_data,sample_data_4_8_0.csv,0.436,0.263,-0.023,-0.108,0.09,0.445,0.441,0.87,0.684,sample_data
sample_data,sample_data_4_9_0-age.csv,0.623,0.467,0.098,0.057,0.112,0.324,0.285,0.846,0.603,sample_data
sample_data,sample_data_5_7_0.csv,0.611,0.626,0.091,0.024,0.082,0.441,0.544,0.866,0.726,sample_data
sample_data,sample_data_5_8_0.csv,0.694,0.793,0.186,0.177,0.089,0.422,0.474,0.862,0.694,sample_data
sample_data,sample_data_5_9_0-age.csv,0.698,0.903,0.211,0.198,0.084,0.423,0.534,0.86,0.719,sample_data
sample_data,sample_data_6_7_0.csv,0.151,0.079,-0.112,-0.277,0.1,0.345,0.436,0.837,0.663,sample_data
sample_data,sample_data_6_8_0.csv,0.44,0.311,-0.003,-0.094,0.097,0.373,0.435,0.848,0.669,sample_data
sample_data,sample_data_6_9_0-age.csv,0.387,0.195,-0.023,-0.091,0.1,0.4,0.364,0.862,0.646,sample_data
sample_data,sample_data_7_8_0.csv,0.422,0.285,0.041,0.035,0.108,0.319,0.363,0.835,0.63,sample_data
sample_data,sample_data_7_9_0.csv,0.504,0.179,0.017,0.014,0.106,0.457,0.24,0.878,0.601,sample_data
sample_data,sample_data_8_8_0.csv,0.605,0.601,0.106,0.074,0.087,0.418,0.508,0.859,0.707,sample_data
sample_data,sample_data_8_9_0.csv,0.543,0.448,0.021,-0.082,0.085,0.441,0.503,0.867,0.709,sample_data
sample_data,sample_data_9_8_0.csv,0.597,0.717,0.117,0.06,0.079,0.408,0.61,0.85,0.746,sample_data
sample_data,sample_data_9_9_0.csv,0.528,0.521,0.028,-0.064,0.073,0.45,0.633,0.866,0.765,sample_data
