,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,config
Original,Original,0.687,0.451,0.067,0.06,0.079,0.653,0.43,0.907,0.7,Original
Base,Base,0.109,-0.064,-0.213,-0.392,0.073,0.411,0.677,0.849,0.774,Base
Base,Base,0.038,-0.033,-0.198,-0.346,0.071,0.328,0.81,0.784,0.795,Base
Base,Base,0.019,-0.004,-0.18,-0.337,0.073,0.445,0.639,0.864,0.767,Base
0,sample_data_parallel_bank-VGAN-norm-b-0_age_1.csv,0.067,-0.056,-0.215,-0.39,0.072,0.332,0.788,0.79,0.789,sample_data_parallel_bank-VGAN-norm-b-0_age
0,sample_data_parallel_bank-VGAN-norm-b-0_age_2.csv,0.008,0.007,-0.182,-0.33,0.072,0.319,0.813,0.775,0.792,sample_data_parallel_bank-VGAN-norm-b-0_age
0,sample_data_parallel_bank-VGAN-norm-b-0_age_3.csv,0.018,-0.005,-0.195,-0.36,0.071,0.363,0.761,0.816,0.792,sample_data_parallel_bank-VGAN-norm-b-0_age
100,sample_data_parallel_bank-VGAN-norm-b-100_age_1.csv,0.023,-0.022,-0.182,-0.309,0.073,0.302,0.826,0.756,0.786,sample_data_parallel_bank-VGAN-norm-b-100_age
100,sample_data_parallel_bank-VGAN-norm-b-100_age_2.csv,0.053,-0.041,-0.207,-0.378,0.073,0.348,0.761,0.805,0.786,sample_data_parallel_bank-VGAN-norm-b-100_age
100,sample_data_parallel_bank-VGAN-norm-b-100_age_3.csv,0.009,-0.006,-0.19,-0.35,0.072,0.368,0.744,0.821,0.787,sample_data_parallel_bank-VGAN-norm-b-100_age
1,sample_data_parallel_bank-VGAN-norm-b-1_age_1.csv,0.02,0.012,-0.183,-0.332,0.071,0.378,0.75,0.826,0.793,sample_data_parallel_bank-VGAN-norm-b-1_age
1,sample_data_parallel_bank-VGAN-norm-b-1_age_2.csv,0.023,0.014,-0.19,-0.37,0.073,0.392,0.707,0.837,0.781,sample_data_parallel_bank-VGAN-norm-b-1_age
1,sample_data_parallel_bank-VGAN-norm-b-1_age_3.csv,0.028,-0.019,-0.193,-0.347,0.072,0.377,0.736,0.827,0.787,sample_data_parallel_bank-VGAN-norm-b-1_age
25,sample_data_parallel_bank-VGAN-norm-b-25_age_1.csv,0.105,-0.093,-0.217,-0.371,0.073,0.321,0.798,0.779,0.787,sample_data_parallel_bank-VGAN-norm-b-25_age
25,sample_data_parallel_bank-VGAN-norm-b-25_age_2.csv,0.027,0.03,-0.166,-0.305,0.073,0.277,0.851,0.723,0.779,sample_data_parallel_bank-VGAN-norm-b-25_age
25,sample_data_parallel_bank-VGAN-norm-b-25_age_3.csv,0.033,-0.023,-0.203,-0.381,0.073,0.36,0.747,0.815,0.786,sample_data_parallel_bank-VGAN-norm-b-25_age
50,sample_data_parallel_bank-VGAN-norm-b-50_age_1.csv,0.042,0.031,-0.176,-0.326,0.071,0.373,0.75,0.823,0.791,sample_data_parallel_bank-VGAN-norm-b-50_age
50,sample_data_parallel_bank-VGAN-norm-b-50_age_2.csv,0.019,-0.013,-0.202,-0.382,0.072,0.382,0.732,0.83,0.787,sample_data_parallel_bank-VGAN-norm-b-50_age
50,sample_data_parallel_bank-VGAN-norm-b-50_age_3.csv,0.016,0.011,-0.186,-0.344,0.072,0.327,0.8,0.784,0.791,sample_data_parallel_bank-VGAN-norm-b-50_age
