,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
0,Original,0.69,0.456,0.066,0.05,0.079,0.651,0.43,0.906,0.7
1,Base,0.07,-0.041,-0.202,-0.373,0.073,0.409,0.68,0.848,0.775
2,Base,0.032,-0.027,-0.196,-0.343,0.071,0.328,0.81,0.783,0.795
3,Base,0.028,0.015,-0.173,-0.328,0.073,0.447,0.641,0.865,0.768
4,sample_data_parallel_bank-VGAN-norm-d-None_age_1.csv,0.496,0.796,0.087,-0.041,0.067,0.341,0.832,0.793,0.81
5,sample_data_parallel_bank-VGAN-norm-d-None_age_2.csv,0.543,0.976,0.15,0.031,0.066,0.339,0.849,0.789,0.815
6,sample_data_parallel_bank-VGAN-norm-d-None_age_3.csv,0.539,1.008,0.16,0.037,0.066,0.328,0.86,0.777,0.813
7,sample_data_parallel_bank-VGAN-norm-d-EqOp_age_1.csv,0.546,0.746,0.07,-0.067,0.068,0.398,0.754,0.838,0.801
8,sample_data_parallel_bank-VGAN-norm-d-EqOp_age_2.csv,0.539,0.725,0.072,-0.048,0.07,0.393,0.742,0.835,0.795
9,sample_data_parallel_bank-VGAN-norm-d-EqOp_age_3.csv,0.557,0.553,0.034,-0.071,0.073,0.461,0.62,0.871,0.762
10,sample_data_parallel_bank-VGAN-norm-d-AvgOdd_age_1.csv,0.374,0.427,-0.042,-0.181,0.068,0.372,0.783,0.82,0.804
11,sample_data_parallel_bank-VGAN-norm-d-AvgOdd_age_2.csv,0.419,0.499,-0.017,-0.157,0.068,0.378,0.775,0.824,0.803
12,sample_data_parallel_bank-VGAN-norm-d-AvgOdd_age_3.csv,0.385,0.426,-0.043,-0.194,0.07,0.377,0.757,0.825,0.796
