,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,config
Original,Original,0.687,0.453,0.067,0.056,0.08,0.647,0.429,0.906,0.699,Original
Base,Base,0.111,-0.065,-0.211,-0.385,0.073,0.41,0.677,0.848,0.774,Base
Base,Base,0.028,-0.025,-0.197,-0.349,0.071,0.328,0.808,0.783,0.794,Base
Base,Base,0.025,0.01,-0.173,-0.323,0.073,0.444,0.639,0.864,0.767,Base
.20,sample_data_parallel_bank-VGAN-norm-p-.20_age_1.csv,0.124,0.03,-0.097,-0.187,0.089,0.59,0.359,0.896,0.663,sample_data_parallel_bank-VGAN-norm-p-.20_age
.20,sample_data_parallel_bank-VGAN-norm-p-.20_age_2.csv,0.099,-0.021,-0.122,-0.231,0.09,0.582,0.359,0.895,0.662,sample_data_parallel_bank-VGAN-norm-p-.20_age
.20,sample_data_parallel_bank-VGAN-norm-p-.20_age_3.csv,0.099,-0.03,-0.16,-0.305,0.081,0.545,0.473,0.892,0.71,sample_data_parallel_bank-VGAN-norm-p-.20_age
.5,sample_data_parallel_bank-VGAN-norm-p-.5_age_1.csv,0.064,-0.035,-0.201,-0.371,0.072,0.429,0.672,0.857,0.777,sample_data_parallel_bank-VGAN-norm-p-.5_age
.5,sample_data_parallel_bank-VGAN-norm-p-.5_age_2.csv,0.038,-0.021,-0.189,-0.353,0.075,0.422,0.65,0.855,0.766,sample_data_parallel_bank-VGAN-norm-p-.5_age
.5,sample_data_parallel_bank-VGAN-norm-p-.5_age_3.csv,0.039,-0.022,-0.195,-0.366,0.072,0.428,0.668,0.857,0.775,sample_data_parallel_bank-VGAN-norm-p-.5_age
.7,sample_data_parallel_bank-VGAN-norm-p-.7_age_1.csv,0.061,0.039,-0.169,-0.317,0.072,0.404,0.706,0.844,0.784,sample_data_parallel_bank-VGAN-norm-p-.7_age
.7,sample_data_parallel_bank-VGAN-norm-p-.7_age_2.csv,0.105,0.048,-0.147,-0.291,0.076,0.487,0.567,0.88,0.744,sample_data_parallel_bank-VGAN-norm-p-.7_age
.7,sample_data_parallel_bank-VGAN-norm-p-.7_age_3.csv,0.037,-0.023,-0.193,-0.361,0.075,0.383,0.69,0.834,0.771,sample_data_parallel_bank-VGAN-norm-p-.7_age
.9,sample_data_parallel_bank-VGAN-norm-p-.9_age_1.csv,0.038,-0.041,-0.192,-0.331,0.072,0.278,0.863,0.722,0.783,sample_data_parallel_bank-VGAN-norm-p-.9_age
.9,sample_data_parallel_bank-VGAN-norm-p-.9_age_2.csv,0.059,-0.047,-0.211,-0.382,0.072,0.341,0.779,0.798,0.79,sample_data_parallel_bank-VGAN-norm-p-.9_age
.9,sample_data_parallel_bank-VGAN-norm-p-.9_age_3.csv,0.068,-0.049,-0.202,-0.351,0.072,0.364,0.753,0.817,0.789,sample_data_parallel_bank-VGAN-norm-p-.9_age
0,sample_data_parallel_bank-VGAN-norm-p-0_age_1.csv,0.697,0.31,0.048,0.041,0.095,0.654,0.284,0.899,0.632,sample_data_parallel_bank-VGAN-norm-p-0_age
0,sample_data_parallel_bank-VGAN-norm-p-0_age_2.csv,0.7,0.29,0.055,0.07,0.097,0.656,0.264,0.898,0.623,sample_data_parallel_bank-VGAN-norm-p-0_age
0,sample_data_parallel_bank-VGAN-norm-p-0_age_3.csv,0.695,0.271,0.047,0.063,0.095,0.695,0.266,0.9,0.625,sample_data_parallel_bank-VGAN-norm-p-0_age
1,sample_data_parallel_bank-VGAN-norm-p-1_age_1.csv,0.047,-0.043,-0.204,-0.367,0.073,0.31,0.813,0.766,0.786,sample_data_parallel_bank-VGAN-norm-p-1_age
1,sample_data_parallel_bank-VGAN-norm-p-1_age_2.csv,0.014,-0.018,-0.146,-0.228,0.072,0.231,0.896,0.64,0.751,sample_data_parallel_bank-VGAN-norm-p-1_age
1,sample_data_parallel_bank-VGAN-norm-p-1_age_3.csv,0.015,0.0,-0.191,-0.355,0.072,0.312,0.815,0.768,0.788,sample_data_parallel_bank-VGAN-norm-p-1_age
.75,sample_data_parallel_bank-VGAN-norm-p-.75_age_4.csv,0.061,0.128,-0.014,-0.022,0.064,0.158,0.9,0.425,0.631,sample_data_parallel_bank-VGAN-norm-p-.75_age
.75,sample_data_parallel_bank-VGAN-norm-p-.75_age_5.csv,0.169,0.249,0.011,-0.027,0.1,0.207,0.602,0.664,0.637,sample_data_parallel_bank-VGAN-norm-p-.75_age
.75,sample_data_parallel_bank-VGAN-norm-p-.75_age_6.csv,0.07,0.157,-0.0,-0.0,0.06,0.155,0.922,0.404,0.629,sample_data_parallel_bank-VGAN-norm-p-.75_age
