,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
0,Original,0.682,0.437,0.06,0.047,0.08,0.653,0.427,0.906,0.698
1,Base,0.094,-0.056,-0.208,-0.381,0.073,0.408,0.681,0.847,0.775
2,Base,0.044,-0.038,-0.202,-0.356,0.071,0.328,0.808,0.783,0.794
3,Base,0.03,0.016,-0.171,-0.324,0.073,0.445,0.638,0.865,0.766
4,sample_data_parallel_bank-VGAN-norm-sp-100_age_1.csv,0.124,-0.002,-0.067,-0.132,0.102,0.723,0.198,0.897,0.594
5,sample_data_parallel_bank-VGAN-norm-sp-100_age_2.csv,0.013,0.003,-0.19,-0.348,0.071,0.313,0.834,0.766,0.796
6,sample_data_parallel_bank-VGAN-norm-sp-100_age_3.csv,0.086,-0.093,-0.208,-0.347,0.073,0.276,0.854,0.721,0.779
7,sample_data_parallel_bank-VGAN-norm-sp-10_age_1.csv,0.093,-0.05,-0.203,-0.366,0.071,0.436,0.67,0.86,0.777
8,sample_data_parallel_bank-VGAN-norm-sp-10_age_2.csv,0.014,0.014,-0.181,-0.331,0.072,0.305,0.832,0.759,0.791
9,sample_data_parallel_bank-VGAN-norm-sp-10_age_3.csv,0.094,-0.078,-0.212,-0.36,0.072,0.335,0.789,0.792,0.791
10,sample_data_parallel_bank-VGAN-norm-sp-25_age_1.csv,0.021,-0.013,-0.188,-0.334,0.071,0.393,0.724,0.837,0.788
11,sample_data_parallel_bank-VGAN-norm-sp-25_age_2.csv,0.029,-0.032,-0.191,-0.342,0.072,0.269,0.864,0.71,0.776
12,sample_data_parallel_bank-VGAN-norm-sp-25_age_3.csv,0.019,-0.019,-0.196,-0.361,0.072,0.294,0.837,0.746,0.785
13,sample_data_parallel_bank-VGAN-norm-sp-50_age_1.csv,0.045,-0.053,-0.183,-0.3,0.071,0.264,0.878,0.7,0.777
14,sample_data_parallel_bank-VGAN-norm-sp-50_age_2.csv,0.039,-0.051,-0.171,-0.275,0.071,0.241,0.897,0.658,0.762
15,sample_data_parallel_bank-VGAN-norm-sp-50_age_3.csv,0.065,0.046,-0.183,-0.369,0.072,0.383,0.721,0.832,0.784
16,sample_data_parallel_bank-VGAN-norm-sp-.5_age_1.csv,0.095,0.081,-0.161,-0.314,0.071,0.352,0.779,0.806,0.794
17,sample_data_parallel_bank-VGAN-norm-sp-.5_age_2.csv,0.027,0.02,-0.178,-0.334,0.074,0.356,0.743,0.812,0.782
18,sample_data_parallel_bank-VGAN-norm-sp-.5_age_3.csv,0.075,0.055,-0.169,-0.326,0.071,0.383,0.736,0.83,0.789
19,sample_data_parallel_bank-VGAN-norm-sp-1_age_1.csv,0.057,0.045,-0.168,-0.313,0.072,0.36,0.758,0.814,0.79
20,sample_data_parallel_bank-VGAN-norm-sp-1_age_2.csv,0.03,-0.017,-0.189,-0.347,0.073,0.409,0.682,0.847,0.776
21,sample_data_parallel_bank-VGAN-norm-sp-1_age_3.csv,0.075,0.051,-0.163,-0.312,0.073,0.393,0.707,0.838,0.781
