,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
0,Original,0.253,-0.512,-0.137,-0.118,0.223,0.675,0.707,0.658,0.654
1,sample_data_parallel_compas-race-VGAN-gmm_race_1.csv,0.042,0.064,0.064,0.07,0.254,0.711,0.651,0.669,0.671
2,sample_data_parallel_compas-race-VGAN-gmm_race_2.csv,0.103,0.141,0.083,0.101,0.302,0.709,0.578,0.644,0.65
3,sample_data_parallel_compas-race-VGAN-gmm_race_3.csv,0.114,0.183,0.105,0.092,0.25,0.698,0.659,0.662,0.662
4,sample_data_parallel_compas-race-VGAN-norm_race_1.csv,0.026,-0.029,0.029,0.053,0.24,0.698,0.676,0.668,0.667
5,sample_data_parallel_compas-race-VGAN-norm_race_2.csv,0.018,0.012,0.05,0.052,0.195,0.694,0.748,0.686,0.681
6,sample_data_parallel_compas-race-VGAN-norm_race_3.csv,0.043,0.065,0.055,0.121,0.257,0.71,0.647,0.667,0.668
7,sample_data_parallel_compas-race-WGAN-gmm_race_1.csv,0.103,0.108,0.06,0.094,0.399,0.709,0.44,0.6,0.614
8,sample_data_parallel_compas-race-WGAN-gmm_race_2.csv,0.117,0.187,0.088,0.112,0.286,0.648,0.614,0.612,0.612
9,sample_data_parallel_compas-race-WGAN-gmm_race_3.csv,0.078,0.132,0.078,0.064,0.253,0.65,0.664,0.626,0.622
10,sample_data_parallel_compas-race-WGAN-norm_race_1.csv,0.01,-0.002,0.033,0.042,0.3,0.689,0.585,0.633,0.637
11,sample_data_parallel_compas-race-WGAN-norm_race_2.csv,0.045,0.039,0.045,0.062,0.337,0.708,0.527,0.627,0.636
12,sample_data_parallel_compas-race-WGAN-norm_race_3.csv,0.042,0.056,0.051,0.09,0.307,0.709,0.571,0.642,0.648
13,sample_data_parallel_compas-race-fairgan_race_1.csv,0.066,-0.128,-0.011,-0.044,0.216,0.625,0.726,0.617,0.607
14,sample_data_parallel_compas-race-fairgan_race_2.csv,0.091,-0.183,-0.03,-0.038,0.207,0.634,0.74,0.628,0.619
15,sample_data_parallel_compas-race-fairgan_race_3.csv,0.03,0.017,0.033,-0.014,0.246,0.604,0.68,0.586,0.578
16,sample_data_parallel_compas-race-tabfairgan_race_1.csv,0.026,0.035,0.047,0.064,0.307,0.709,0.571,0.642,0.648
17,sample_data_parallel_compas-race-tabfairgan_race_2.csv,0.013,-0.008,0.026,0.058,0.313,0.687,0.565,0.627,0.632
18,sample_data_parallel_compas-race-tabfairgan_race_3.csv,0.115,0.156,0.085,0.11,0.314,0.702,0.561,0.635,0.641
19,sample_data_parallel_compas-race-VGAN-gmm_race_4.csv,0.02,-0.031,0.032,0.029,0.249,0.702,0.661,0.666,0.666
20,sample_data_parallel_compas-race-VGAN-gmm_race_5.csv,0.014,-0.018,0.034,0.044,0.247,0.697,0.666,0.663,0.663
21,sample_data_parallel_compas-race-VGAN-gmm_race_6.csv,0.015,0.01,0.05,0.03,0.225,0.695,0.699,0.672,0.67
22,sample_data_parallel_compas-race-VGAN-norm_race_4.csv,0.082,0.133,0.08,0.096,0.256,0.68,0.654,0.647,0.646
23,sample_data_parallel_compas-race-VGAN-norm_race_5.csv,0.039,0.056,0.056,0.079,0.271,0.703,0.626,0.655,0.658
24,sample_data_parallel_compas-race-VGAN-norm_race_6.csv,0.08,0.135,0.084,0.104,0.226,0.687,0.699,0.666,0.663
25,sample_data_parallel_compas-race-WGAN-gmm_race_4.csv,0.169,0.201,0.093,0.095,0.387,0.673,0.463,0.589,0.6
26,sample_data_parallel_compas-race-WGAN-gmm_race_5.csv,0.163,0.231,0.101,0.148,0.324,0.67,0.553,0.612,0.617
