,FAIRGAN,Original,TABFAIRGAN,VGAN-gmm,VGAN-norm,VGAN-ordi-gmm,VGAN-ordi-norm,WGAN-gmm,WGAN-norm
DI,0.18971428571428572,0.252,0.29569999999999996,0.3506666666666667,0.2609,0.373,0.209,0.38433333333333336,0.5662
Stat Par,0.2910661689854089,0.5108788598574823,0.5652547901821061,0.6134378463974663,0.4481425178147268,0.49349590921087355,0.43572657693322786,0.7831579132576757,1.2767350752177355
Avg Odds,0.08161875466463499,0.1364468487287833,0.15594338881816477,0.17084640857342925,0.11452571731005153,0.1360731965565129,0.11628391321290515,0.25193474602234117,0.41480480172436274
Eq Opp,0.06489067108083742,0.1186775584953854,0.15058400718778073,0.17975533546993097,0.11639075640376872,0.15025032157975116,0.10152396099045409,0.23256708805758175,0.40982123493509304
Theil,0.2624002424197512,0.2216830911061214,0.2621955372361588,0.3087446971819927,0.27992149221963764,0.40264113210978775,0.19344697628738516,0.2902274501999626,0.34002256652946616
prec,0.6314285714285715,0.674,0.6774,0.6966666666666667,0.6917,0.6946666666666667,0.6488333333333334,0.5786666666666667,0.5684
rec,0.6628571428571429,0.709,0.6449,0.5718888888888889,0.6176999999999999,0.4371666666666667,0.7616666666666667,0.625,0.5583
acc,0.601,0.658,0.6422000000000001,0.6334444444444445,0.6429,0.5828333333333333,0.6415000000000001,0.5505555555555556,0.5356
bal_acc,0.596,0.654,0.6419,0.6386666666666667,0.645,0.5953333333333334,0.6311666666666667,0.5442222222222222,0.5339
var,0.8999816506428301,0.5070924096509596,0.5228946613456238,0.5106019856750914,0.5121748586027705,0.5507545312041459,0.490337640293206,0.6205080344219382,0.7623636345119655
all var,0.6025498288869808,0.0,0.5151475344054772,0.49516506215178674,0.5076598126255549,0.5074882555072123,0.48444289094021836,0.517628500551748,0.6369877277809374
DI_sem,0.06302067472010174,,0.011667666623813192,0.039474675426151386,0.029142351769661047,0.03707739652852306,0.03840138886377245,0.09719396414730015,0.10871857655841934
Stat Par_sem,0.06827089904011432,,0.030936768951165563,0.0834932309105184,0.052835594155112936,0.04609912331414904,0.0718609350071473,0.17675803324647374,0.32913522088809966
Avg Odds_sem,0.018470709477188617,,0.011373851805385336,0.027574905789060966,0.016392123959140577,0.012853799853855272,0.02167191332692615,0.06278712474815147,0.1126975535228277
Eq Opp_sem,0.023581092362911234,,0.008307526298190098,0.028574417442732147,0.018381014900305043,0.014160332844695355,0.01746433988504353,0.06069737154042617,0.11340732337986738
Theil_sem,0.05679984360130887,,0.007098893998365492,0.015140738079644687,0.022087715095025554,0.02243059336915527,0.028347379971213362,0.047979407677763576,0.05607055966732152
prec_sem,0.01896595589452843,,0.00757657207742686,0.008724168218868258,0.008992651320816218,0.04909220349958278,0.01641831632997463,0.027432239751390655,0.024685218248984547
rec_sem,0.08188418899985068,,0.010729450643491078,0.02271345932630917,0.0337810104447257,0.02948493023751474,0.049191236798618684,0.0669991708074726,0.07670231779780551
acc_sem,0.020426406811725237,,0.006918252830174845,0.007688575780394204,0.00920319992659559,0.031041280758227586,0.010042410069301103,0.024559514512433264,0.027244652890266577
bal_acc_sem,0.01935384790090664,,0.007118754572723151,0.007078920193865103,0.008219218670625313,0.03271866609614628,0.013772960627419398,0.02477553552385553,0.02564694047163434
var_sem,0.05121695074462002,,0.0063371543832932385,0.004150593961545487,0.0052948145327807086,0.015496881098948213,0.006764009273234076,0.036506703621327054,0.10342520833301895
