,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
0,Original,0.278,-0.577,-0.155,-0.145,0.215,0.682,0.719,0.667,0.663
1,Base,0.02,-0.031,0.028,0.053,0.241,0.698,0.675,0.667,0.666
2,Base,0.007,0.008,0.049,0.045,0.199,0.695,0.743,0.685,0.68
3,Base,0.021,0.025,0.042,0.106,0.253,0.712,0.652,0.67,0.671
4,sample_data_parallel_compas-race-VGAN-norm-t-100_race_1.csv,0.033,0.03,0.04,0.106,0.307,0.724,0.568,0.65,0.657
5,sample_data_parallel_compas-race-VGAN-norm-t-100_race_2.csv,0.033,0.044,0.053,0.097,0.283,0.741,0.6,0.671,0.677
6,sample_data_parallel_compas-race-VGAN-norm-t-100_race_3.csv,0.104,0.134,0.077,0.139,0.31,0.735,0.561,0.654,0.662
7,sample_data_parallel_compas-race-VGAN-norm-t-15_race_1.csv,0.102,0.199,0.107,0.1,0.191,0.66,0.762,0.66,0.651
8,sample_data_parallel_compas-race-VGAN-norm-t-15_race_2.csv,0.059,0.104,0.069,0.106,0.216,0.673,0.719,0.66,0.655
9,sample_data_parallel_compas-race-VGAN-norm-t-15_race_3.csv,0.007,0.011,0.044,0.06,0.218,0.688,0.712,0.671,0.667
10,sample_data_parallel_compas-race-VGAN-norm-t-1_race_1.csv,0.329,-0.588,-0.154,-0.149,0.263,0.729,0.634,0.675,0.679
11,sample_data_parallel_compas-race-VGAN-norm-t-1_race_2.csv,0.088,0.155,0.089,0.095,0.227,0.667,0.702,0.65,0.646
12,sample_data_parallel_compas-race-VGAN-norm-t-1_race_3.csv,0.349,-0.594,-0.157,-0.183,0.298,0.715,0.583,0.65,0.656
13,sample_data_parallel_compas-race-VGAN-norm-t-2_race_1.csv,0.102,0.109,0.067,0.108,0.369,0.75,0.474,0.631,0.644
14,sample_data_parallel_compas-race-VGAN-norm-t-2_race_2.csv,0.036,-0.026,0.028,0.069,0.243,0.703,0.67,0.669,0.669
15,sample_data_parallel_compas-race-VGAN-norm-t-2_race_3.csv,0.054,0.088,0.063,0.1,0.247,0.685,0.667,0.654,0.653
