,file,sim_modes
0,ORIGINAL,702
1,VGAN-NORM,377
2,VGAN-NORM,414
3,VGAN-NORM,467
4,VGAN-NORM,365
5,VGAN-NORM,414
6,VGAN-NORM,458
7,VGAN-NORM,423
8,VGAN-NORM,453
9,VGAN-NORM,438
10,VGAN-NORM,428
11,VGAN-NORM_all,633
12,VGAN-GMM,405
13,VGAN-GMM,403
14,VGAN-GMM,417
15,VGAN-GMM,411
16,VGAN-GMM,423
17,VGAN-GMM,418
18,VGAN-GMM,388
19,VGAN-GMM,380
20,VGAN-GMM,387
21,VGAN-GMM_all,595
22,WGAN-NORM,94
23,WGAN-NORM,74
24,WGAN-NORM,70
25,WGAN-NORM,150
26,WGAN-NORM,162
27,WGAN-NORM,40
28,WGAN-NORM,363
29,WGAN-NORM,66
30,WGAN-NORM,92
31,WGAN-NORM,338
32,WGAN-NORM_all,482
33,WGAN-GMM,398
34,WGAN-GMM,368
35,WGAN-GMM,134
36,WGAN-GMM,127
37,WGAN-GMM,40
38,WGAN-GMM,34
39,WGAN-GMM,66
40,WGAN-GMM,92
41,WGAN-GMM,338
42,WGAN-GMM_all,521
43,ORIGINAL,702
44,VGAN-ORDI-NORM,455
45,VGAN-ORDI-NORM,415
46,VGAN-ORDI-NORM,387
47,VGAN-ORDI-NORM,406
48,VGAN-ORDI-NORM,406
49,VGAN-ORDI-NORM,428
50,VGAN-ORDI-NORM_all,594
51,VGAN-ORDI-GMM,334
52,VGAN-ORDI-GMM,346
53,VGAN-ORDI-GMM,423
54,VGAN-ORDI-GMM,381
55,VGAN-ORDI-GMM,138
56,VGAN-ORDI-GMM,122
57,VGAN-ORDI-GMM_all,525
58,TABFAIRGAN,501
59,TABFAIRGAN,514
60,TABFAIRGAN,485
61,TABFAIRGAN,493
62,TABFAIRGAN,486
63,TABFAIRGAN,527
64,TABFAIRGAN,469
65,TABFAIRGAN,468
66,TABFAIRGAN,472
67,TABFAIRGAN,510
68,TABFAIRGAN_all,637
69,FAIRGAN,70
70,FAIRGAN,75
71,FAIRGAN,74
72,FAIRGAN,40
73,FAIRGAN,75
74,FAIRGAN,23
75,FAIRGAN,27
76,FAIRGAN_all,303
77,FAIRSWAP,611
78,FAIRSWAP,616
79,FAIRSWAP,619
80,FAIRSWAP_all,625
81,POST-FAIRGAN-VGAN-NORM,476
82,POST-FAIRGAN-VGAN-NORM,480
83,POST-FAIRGAN-VGAN-NORM,466
84,POST-FAIRGAN-VGAN-NORM,463
85,POST-FAIRGAN-VGAN-NORM,455
86,POST-FAIRGAN-VGAN-NORM,466
87,POST-FAIRGAN-VGAN-NORM_all,588
88,POST-FAIRGAN-VGAN-GMM,447
89,POST-FAIRGAN-VGAN-GMM,444
90,POST-FAIRGAN-VGAN-GMM,435
91,POST-FAIRGAN-VGAN-GMM,456
92,POST-FAIRGAN-VGAN-GMM,441
93,POST-FAIRGAN-VGAN-GMM,446
94,POST-FAIRGAN-VGAN-GMM_all,553
95,POST-FAIRGAN-WGAN-NORM,345
96,POST-FAIRGAN-WGAN-NORM,336
97,POST-FAIRGAN-WGAN-NORM,353
98,POST-FAIRGAN-WGAN-NORM,349
99,POST-FAIRGAN-WGAN-NORM,345
100,POST-FAIRGAN-WGAN-NORM,351
101,POST-FAIRGAN-WGAN-NORM_all,447
102,POST-FAIRGAN-WGAN-GMM,359
103,POST-FAIRGAN-WGAN-GMM,369
104,POST-FAIRGAN-WGAN-GMM,342
105,POST-FAIRGAN-WGAN-GMM,362
106,POST-FAIRGAN-WGAN-GMM,362
107,POST-FAIRGAN-WGAN-GMM,358
108,POST-FAIRGAN-WGAN-GMM_all,480
109,POST-FAIRGAN-VGAN-ORDI-NORM,472
110,POST-FAIRGAN-VGAN-ORDI-NORM,470
111,POST-FAIRGAN-VGAN-ORDI-NORM,464
112,POST-FAIRGAN-VGAN-ORDI-NORM_all,545
113,POST-FAIRGAN-VGAN-ORDI-GMM,396
114,POST-FAIRGAN-VGAN-ORDI-GMM,408
115,POST-FAIRGAN-VGAN-ORDI-GMM,405
116,POST-FAIRGAN-VGAN-ORDI-GMM_all,467
117,POST-FAIRGAN-TABFAIRGAN,507
118,POST-FAIRGAN-TABFAIRGAN,518
119,POST-FAIRGAN-TABFAIRGAN,512
120,POST-FAIRGAN-TABFAIRGAN,507
121,POST-FAIRGAN-TABFAIRGAN,521
122,POST-FAIRGAN-TABFAIRGAN,507
123,POST-FAIRGAN-TABFAIRGAN_all,602
124,POST-FAIRGAN-FAIRGAN,248
125,POST-FAIRGAN-FAIRGAN,250
126,POST-FAIRGAN-FAIRGAN,244
127,POST-FAIRGAN-FAIRGAN,252
128,POST-FAIRGAN-FAIRGAN,247
129,POST-FAIRGAN-FAIRGAN,253
130,POST-FAIRGAN-FAIRGAN_all,292
