,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,config
Original,Original,0.61,-0.306,-0.063,-0.067,0.129,0.582,0.367,0.85,0.657,Original
sample_data_FAIRGAN_race,sample_data_FAIRGAN_race_0_3_0.csv,0.71,-0.212,-0.067,-0.051,0.197,0.105,0.037,0.786,0.487,sample_data_FAIRGAN_race
sample_data_FAIRGAN_race,sample_data_FAIRGAN_race_1_3_0.csv,,0.0,0.0,0.0,0.184,0.0,0.0,0.832,0.5,sample_data_FAIRGAN_race
sample_data_FAIRGAN_race,sample_data_FAIRGAN_race_2_3_0.csv,0.799,-0.005,-0.003,-0.005,0.183,0.6,0.003,0.832,0.501,sample_data_FAIRGAN_race
sample_data_FAIRGAN_race,sample_data_FAIRGAN_race_3_3_0.csv,0.34,0.389,0.093,0.07,0.207,0.091,0.18,0.561,0.409,sample_data_FAIRGAN_race
sample_data_FAIRGAN_race,sample_data_FAIRGAN_race_4_3_0.csv,0.5,-0.18,-0.052,-0.06,0.172,0.338,0.169,0.804,0.551,sample_data_FAIRGAN_race
sample_data_FAIRGAN_race,sample_data_FAIRGAN_race_5_3_0.csv,0.453,-0.002,0.0,0.0,0.183,1.0,0.004,0.833,0.502,sample_data_FAIRGAN_race
sample_data_FAIRGAN_race,sample_data_FAIRGAN_race_6_3_0.csv,0.147,0.0,0.011,0.018,0.179,0.355,0.065,0.823,0.521,sample_data_FAIRGAN_race
sample_data_meps_tab_split_race,sample_data_meps_tab_split_race_60_0_0.csv,0.548,-0.436,-0.097,-0.098,0.122,0.462,0.488,0.819,0.687,sample_data_meps_tab_split_race
sample_data_meps_tab_split_race,sample_data_meps_tab_split_race_60_0_1.csv,0.57,-0.42,-0.098,-0.109,0.122,0.486,0.466,0.828,0.683,sample_data_meps_tab_split_race
sample_data_meps_tab_split_race,sample_data_meps_tab_split_race_60_0_2.csv,0.589,-0.416,-0.094,-0.093,0.127,0.482,0.436,0.827,0.671,sample_data_meps_tab_split_race
sample_data_meps_tab_split_race,sample_data_meps_tab_split_race_60_0_3.csv,0.506,-0.335,-0.063,-0.06,0.125,0.488,0.446,0.829,0.676,sample_data_meps_tab_split_race
sample_data_meps_tab_split_race,sample_data_meps_tab_split_race_60_0_4.csv,0.708,-0.656,-0.189,-0.211,0.126,0.446,0.47,0.813,0.676,sample_data_meps_tab_split_race
sample_data_meps_tab_split_race,sample_data_meps_tab_split_race_60_0_5.csv,0.662,-0.574,-0.162,-0.184,0.127,0.446,0.462,0.814,0.673,sample_data_meps_tab_split_race
sample_data_meps_tab_split_race,sample_data_meps_tab_split_race_60_0_6.csv,0.66,-0.466,-0.138,-0.176,0.129,0.492,0.415,0.83,0.664,sample_data_meps_tab_split_race
sample_data_meps_tab_split_race,sample_data_meps_tab_split_race_60_0_7.csv,0.76,-0.607,-0.186,-0.216,0.137,0.45,0.387,0.818,0.646,sample_data_meps_tab_split_race
sample_data_meps_tab_split_race,sample_data_meps_tab_split_race_60_0_8.csv,0.569,-0.481,-0.117,-0.128,0.119,0.459,0.506,0.817,0.693,sample_data_meps_tab_split_race
sample_data_meps_tab_split_race,sample_data_meps_tab_split_race_60_0_9.csv,0.655,-0.617,-0.165,-0.177,0.121,0.447,0.505,0.812,0.689,sample_data_meps_tab_split_race
sample_data_medical-VGAN-norm-FAIR-SWAP-,sample_data_medical-VGAN-norm-FAIR-SWAP-0.csv,0.483,-0.272,-0.03,-0.013,0.12,0.556,0.44,0.847,0.685,sample_data_medical-VGAN-norm-FAIR-SWAP-
sample_data_medical-VGAN-norm-FAIR-SWAP-,sample_data_medical-VGAN-norm-FAIR-SWAP-1.csv,0.504,-0.291,-0.039,-0.024,0.123,0.541,0.431,0.843,0.679,sample_data_medical-VGAN-norm-FAIR-SWAP-
sample_data_medical-VGAN-norm-FAIR-SWAP-,sample_data_medical-VGAN-norm-FAIR-SWAP-2.csv,0.491,-0.28,-0.04,-0.034,0.122,0.547,0.435,0.845,0.681,sample_data_medical-VGAN-norm-FAIR-SWAP-
sample_data_medical-VGAN-norm-nofair-FAIR-SWAP-,sample_data_medical-VGAN-norm-nofair-FAIR-SWAP-0.csv,0.499,-0.288,-0.044,-0.04,0.121,0.548,0.439,0.845,0.683,sample_data_medical-VGAN-norm-nofair-FAIR-SWAP-
sample_data_medical-VGAN-norm-nofair-FAIR-SWAP-,sample_data_medical-VGAN-norm-nofair-FAIR-SWAP-1.csv,0.499,-0.29,-0.037,-0.02,0.123,0.535,0.432,0.842,0.678,sample_data_medical-VGAN-norm-nofair-FAIR-SWAP-
