,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
0,Original,0.603,-0.3,-0.059,-0.063,0.128,0.589,0.371,0.851,0.659
1,sample_data_parallel_medical-VGAN-gmm_RACE_1.csv,0.007,0.002,0.085,0.133,0.122,0.426,0.509,0.803,0.685
2,sample_data_parallel_medical-VGAN-gmm_RACE_2.csv,0.012,0.01,0.091,0.134,0.114,0.367,0.618,0.757,0.701
3,sample_data_parallel_medical-VGAN-gmm_RACE_3.csv,0.095,0.072,0.101,0.136,0.123,0.379,0.544,0.774,0.682
4,sample_data_parallel_medical-VGAN-norm_RACE_1.csv,0.029,0.023,0.09,0.125,0.115,0.385,0.595,0.772,0.702
5,sample_data_parallel_medical-VGAN-norm_RACE_2.csv,0.014,-0.013,0.084,0.121,0.106,0.372,0.669,0.755,0.721
6,sample_data_parallel_medical-VGAN-norm_RACE_3.csv,0.019,0.017,0.094,0.138,0.111,0.364,0.639,0.752,0.707
7,sample_data_parallel_medical-WGAN-gmm_RACE_1.csv,0.069,0.034,0.104,0.17,0.127,0.466,0.447,0.821,0.672
8,sample_data_parallel_medical-WGAN-gmm_RACE_2.csv,0.024,0.011,0.098,0.165,0.126,0.484,0.442,0.827,0.674
9,sample_data_parallel_medical-WGAN-gmm_RACE_3.csv,0.024,0.012,0.106,0.182,0.125,0.472,0.459,0.823,0.678
10,sample_data_parallel_medical-WGAN-norm_RACE_1.csv,0.054,0.048,0.098,0.135,0.115,0.355,0.616,0.748,0.695
11,sample_data_parallel_medical-WGAN-norm_RACE_2.csv,0.027,0.023,0.09,0.132,0.118,0.35,0.603,0.745,0.689
12,sample_data_parallel_medical-WGAN-norm_RACE_3.csv,0.051,0.046,0.098,0.14,0.118,0.344,0.61,0.739,0.687
13,sample_data_parallel_medical-fairgan_RACE_1.csv,0.44,-0.024,-0.002,0.004,0.181,0.449,0.032,0.83,0.511
14,sample_data_parallel_medical-fairgan_RACE_2.csv,0.428,0.099,0.026,0.018,0.194,0.157,0.049,0.786,0.492
15,sample_data_parallel_medical-fairgan_RACE_3.csv,0.47,0.075,0.014,-0.004,0.191,0.294,0.056,0.788,0.496
16,sample_data_parallel_medical-tabfairgan_RACE_1.csv,0.027,0.029,0.088,0.123,0.111,0.318,0.675,0.703,0.692
17,sample_data_parallel_medical-tabfairgan_RACE_2.csv,0.017,0.004,0.084,0.128,0.111,0.307,0.678,0.689,0.685
18,sample_data_parallel_medical-tabfairgan_RACE_3.csv,0.035,-0.045,0.051,0.077,0.108,0.282,0.71,0.648,0.673
19,sample_data_parallel_medical-VGAN-gmm_RACE_4.csv,0.026,0.02,0.093,0.139,0.117,0.383,0.579,0.773,0.695
20,sample_data_parallel_medical-VGAN-gmm_RACE_5.csv,0.013,0.008,0.089,0.134,0.119,0.417,0.541,0.796,0.694
21,sample_data_parallel_medical-VGAN-gmm_RACE_6.csv,0.058,0.054,0.096,0.127,0.114,0.347,0.63,0.739,0.695
22,sample_data_parallel_medical-VGAN-norm_RACE_4.csv,0.01,-0.009,0.082,0.118,0.109,0.372,0.646,0.758,0.713
23,sample_data_parallel_medical-VGAN-norm_RACE_5.csv,0.009,-0.006,0.084,0.124,0.113,0.413,0.588,0.791,0.71
