,FAIRGAN,Original,TABFAIRGAN,VGAN-gmm,VGAN-norm,VGAN-ordi-gmm,VGAN-ordi-norm,WGAN-gmm,WGAN-norm
DI,0.5411666666666667,0.588,0.6181,0.531,0.5987333333333333,0.5348333333333334,0.5245,0.49918181818181817,0.538875
Stat Par,0.09984417722635461,0.2864085389810847,0.4973937772455986,0.25322737562910436,0.2708351263197939,0.2392428607956494,0.26149772056851706,0.18215197494978216,0.218773386779921
Avg Odds,0.027508956366660658,0.0497892921171701,0.12943878367401865,0.053309067447408445,0.06291911957679318,0.04680022339652806,0.07379661387679436,0.034738800775508144,0.042432724213808816
Eq Opp,0.023826692075700557,0.0457677362496495,0.1436796458758963,0.06444446872280063,0.0830969835356327,0.05483615751311941,0.09904992722562726,0.0548438962391612,0.03953476144694142
Theil,0.1858573221032392,0.1281754712596256,0.1250173864427349,0.1414009840037652,0.1411389479455142,0.14494195631459936,0.14521486952080473,0.14174248682026241,0.1481579286572887
prec,0.38642857142857145,0.593,0.466,0.5062727272727273,0.5338666666666667,0.4925,0.509,0.5632727272727273,0.5605
rec,0.06414285714285714,0.37,0.46040000000000003,0.31781818181818183,0.3046,0.30616666666666664,0.29783333333333334,0.29736363636363633,0.2715
acc,0.7847142857142858,0.852,0.8205,0.8330000000000001,0.8396666666666666,0.8248333333333333,0.8283333333333333,0.8398181818181818,0.829625
bal_acc,0.497,0.659,0.6768000000000001,0.6272727272727273,0.626,0.6176666666666667,0.6163333333333333,0.6232727272727273,0.606875
var,2.132312276830995,6.886102527434519,6.373683042963223,6.8474978644188615,6.917677637110304,5.163248584447311,5.491913552631939,6.856085770326606,6.648762517375988
all var,1.8441804187359416,0.0,6.369822438763583,6.835919639641617,6.908510148296716,5.291572774353826,5.594538892521152,6.36277596489104,6.556240529470714
DI_sem,0.11377446012958171,,0.02428234383708093,0.02886425911998184,0.04046344225013684,0.05960000932140119,0.06938719862722037,0.06985827447336997,0.029445735502542883
Stat Par_sem,0.053792609521739664,,0.03350851917491542,0.029864537308478902,0.024617714142045,0.020096298076538774,0.06057237520515856,0.02355867566042403,0.05941446503843652
Avg Odds_sem,0.012761814733956166,,0.01381134985202322,0.011368348648850769,0.013394041415858973,0.013485898016824753,0.015239155275444064,0.009044684479397212,0.016369320143988054
Eq Opp_sem,0.009999116020251103,,0.017478903154678958,0.015460043194694984,0.01941735714875392,0.01425353581781521,0.014727473493582766,0.012981322110007512,0.020703398027595646
Theil_sem,0.004221547920130828,,0.0013711155705281434,0.004402100015096307,0.003606904849737052,0.004929259910911906,0.006750073580454428,0.004249489821452975,0.007287201569462661
prec_sem,0.14587059776568068,,0.0061246315081897856,0.018627004301717404,0.016387529133798998,0.04280401071550811,0.04837699177639441,0.026100188403740374,0.04962178381085698
rec_sem,0.03013811743372468,,0.010747816315678059,0.027381751780675253,0.02147641009284815,0.03725982346233601,0.034553742360431974,0.028985348250851507,0.060082383916942386
acc_sem,0.03660322278662558,,0.002217355782608338,0.0042017312449210064,0.0025498210332467034,0.011034541726374981,0.013353318355791217,0.004443213787376275,0.0035402658294056157
bal_acc_sem,0.01597319182702247,,0.0038493866755338764,0.012161108583655975,0.009723804859846839,0.012890995996344825,0.017515072873892867,0.012220021506520965,0.02252017944295421
var_sem,0.12102495146177153,,0.032641208462770646,0.06140093856369713,0.04551322775405589,0.5951379189501447,0.4766078008583366,0.051484440437982164,0.1468499437937256
