,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
0,Original,0.612,-0.304,-0.067,-0.078,0.129,0.591,0.368,0.851,0.658
1,Base,0.031,0.025,0.089,0.122,0.114,0.387,0.597,0.774,0.703
2,Base,0.009,-0.008,0.09,0.133,0.105,0.376,0.672,0.758,0.724
3,Base,0.038,0.034,0.104,0.154,0.112,0.361,0.633,0.751,0.704
4,sample_data_parallel_medical-VGAN-norm-n-.1_RACE_1.csv,0.28,-0.122,0.035,0.083,0.13,0.535,0.385,0.841,0.659
5,sample_data_parallel_medical-VGAN-norm-n-.1_RACE_2.csv,0.294,-0.124,0.039,0.094,0.129,0.555,0.383,0.845,0.66
6,sample_data_parallel_medical-VGAN-norm-n-.1_RACE_3.csv,0.281,-0.118,0.038,0.088,0.129,0.553,0.381,0.844,0.66
7,sample_data_parallel_medical-VGAN-norm-n-.25_RACE_1.csv,0.079,0.057,0.108,0.156,0.117,0.409,0.56,0.79,0.698
8,sample_data_parallel_medical-VGAN-norm-n-.25_RACE_2.csv,0.106,0.077,0.111,0.154,0.117,0.405,0.561,0.788,0.697
9,sample_data_parallel_medical-VGAN-norm-n-.25_RACE_3.csv,0.034,0.017,0.099,0.159,0.122,0.445,0.496,0.812,0.686
10,sample_data_parallel_medical-VGAN-norm-n-.5_RACE_1.csv,0.022,-0.008,0.091,0.145,0.116,0.42,0.558,0.796,0.701
11,sample_data_parallel_medical-VGAN-norm-n-.5_RACE_2.csv,0.053,0.034,0.102,0.152,0.119,0.428,0.535,0.802,0.695
12,sample_data_parallel_medical-VGAN-norm-n-.5_RACE_3.csv,0.01,-0.008,0.082,0.119,0.109,0.366,0.651,0.752,0.712
13,sample_data_parallel_medical-VGAN-norm-n-.75_RACE_1.csv,0.021,0.015,0.098,0.152,0.116,0.406,0.57,0.788,0.701
14,sample_data_parallel_medical-VGAN-norm-n-.75_RACE_2.csv,0.075,0.076,0.116,0.158,0.106,0.349,0.683,0.733,0.713
15,sample_data_parallel_medical-VGAN-norm-n-.75_RACE_3.csv,0.067,0.05,0.114,0.173,0.115,0.402,0.579,0.785,0.703
