,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,config
Original,Original,0.608,-0.303,-0.062,-0.068,0.129,0.589,0.369,0.851,0.659,Original
Base,Base,0.018,0.014,0.084,0.115,0.114,0.387,0.599,0.773,0.704,Base
Base,Base,0.015,-0.009,0.088,0.129,0.106,0.372,0.665,0.756,0.72,Base
Base,Base,0.029,0.026,0.099,0.143,0.11,0.366,0.644,0.753,0.71,Base
10,sample_data_parallel_medical-VGAN-norm-sp-10_RACE_1.csv,0.048,0.044,0.107,0.155,0.11,0.364,0.645,0.751,0.709,sample_data_parallel_medical-VGAN-norm-sp-10_RACE
10,sample_data_parallel_medical-VGAN-norm-sp-10_RACE_2.csv,0.018,0.017,0.089,0.122,0.107,0.364,0.665,0.749,0.715,sample_data_parallel_medical-VGAN-norm-sp-10_RACE
10,sample_data_parallel_medical-VGAN-norm-sp-10_RACE_3.csv,0.016,-0.003,0.089,0.134,0.113,0.391,0.606,0.776,0.708,sample_data_parallel_medical-VGAN-norm-sp-10_RACE
25,sample_data_parallel_medical-VGAN-norm-sp-25_RACE_1.csv,0.031,0.03,0.097,0.137,0.108,0.348,0.673,0.734,0.709,sample_data_parallel_medical-VGAN-norm-sp-25_RACE
25,sample_data_parallel_medical-VGAN-norm-sp-25_RACE_2.csv,0.01,0.007,0.07,0.082,0.097,0.297,0.776,0.655,0.703,sample_data_parallel_medical-VGAN-norm-sp-25_RACE
25,sample_data_parallel_medical-VGAN-norm-sp-25_RACE_3.csv,0.017,0.014,0.102,0.156,0.11,0.389,0.627,0.772,0.714,sample_data_parallel_medical-VGAN-norm-sp-25_RACE
.5,sample_data_parallel_medical-VGAN-norm-sp-.5_RACE_1.csv,0.025,0.019,0.094,0.136,0.113,0.407,0.59,0.787,0.708,sample_data_parallel_medical-VGAN-norm-sp-.5_RACE
.5,sample_data_parallel_medical-VGAN-norm-sp-.5_RACE_2.csv,0.082,0.067,0.118,0.174,0.114,0.387,0.601,0.773,0.704,sample_data_parallel_medical-VGAN-norm-sp-.5_RACE
.5,sample_data_parallel_medical-VGAN-norm-sp-.5_RACE_3.csv,0.064,0.048,0.108,0.156,0.114,0.401,0.587,0.784,0.705,sample_data_parallel_medical-VGAN-norm-sp-.5_RACE
1,sample_data_parallel_medical-VGAN-norm-sp-1_RACE_1.csv,0.032,0.025,0.1,0.145,0.112,0.403,0.605,0.783,0.712,sample_data_parallel_medical-VGAN-norm-sp-1_RACE
1,sample_data_parallel_medical-VGAN-norm-sp-1_RACE_2.csv,0.013,0.009,0.103,0.164,0.112,0.407,0.596,0.787,0.71,sample_data_parallel_medical-VGAN-norm-sp-1_RACE
1,sample_data_parallel_medical-VGAN-norm-sp-1_RACE_3.csv,0.047,-0.036,0.08,0.127,0.112,0.409,0.597,0.787,0.711,sample_data_parallel_medical-VGAN-norm-sp-1_RACE
100,sample_data_parallel_medical-VGAN-norm-sp-100_RACE_1.csv,0.028,-0.014,0.091,0.159,0.124,0.477,0.46,0.825,0.679,sample_data_parallel_medical-VGAN-norm-sp-100_RACE
100,sample_data_parallel_medical-VGAN-norm-sp-100_RACE_2.csv,0.01,-0.018,0.036,0.023,0.081,0.25,0.871,0.539,0.672,sample_data_parallel_medical-VGAN-norm-sp-100_RACE
100,sample_data_parallel_medical-VGAN-norm-sp-100_RACE_3.csv,0.07,-0.081,0.058,0.094,0.102,0.332,0.727,0.709,0.716,sample_data_parallel_medical-VGAN-norm-sp-100_RACE
50,sample_data_parallel_medical-VGAN-norm-sp-50_RACE_1.csv,0.079,0.115,0.106,0.12,0.094,0.286,0.798,0.631,0.698,sample_data_parallel_medical-VGAN-norm-sp-50_RACE
50,sample_data_parallel_medical-VGAN-norm-sp-50_RACE_2.csv,0.089,0.069,0.116,0.162,0.112,0.407,0.601,0.786,0.712,sample_data_parallel_medical-VGAN-norm-sp-50_RACE
50,sample_data_parallel_medical-VGAN-norm-sp-50_RACE_3.csv,0.116,0.092,0.131,0.195,0.116,0.388,0.583,0.776,0.699,sample_data_parallel_medical-VGAN-norm-sp-50_RACE
