age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,native-country,sex,income
77,39948,7,0,0,31,Private,11th,Widowed,Handlers-cleaners,Unmarried,White,United-States,unpriv,unpref
40,292148,13,0,0,40,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male,>50K
36,77238,12,0,0,48,Private,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,White,Columbia,Male,>50K
37,73479,12,0,0,39,Self-emp-inc,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,Black,United-States,Male,unpref
42,381538,12,15024,0,36,Local-gov,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Peru,Male,>50K
56,281420,14,0,0,49,Private,Masters,Divorced,Exec-managerial,Not-in-family,White,Germany,Male,unpref
19,77183,8,0,0,40,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,United-States,Male,unpref
38,271437,8,0,0,40,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,United-States,Male,>50K
23,243419,13,0,0,40,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,United-States,unpriv,unpref
33,54165,14,0,1633,50,Private,Bachelors,Married-civ-spouse,Transport-moving,Unmarried,White,United-States,Male,>50K
20,169339,9,0,0,39,Private,HS-grad,Never-married,Sales,Own-child,White,United-States,Male,unpref
53,259928,9,0,0,39,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,United-States,unpriv,unpref
22,194163,6,0,0,40,State-gov,10th,Never-married,Other-service,Not-in-family,Black,United-States,Male,unpref
24,216238,12,0,0,40,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,United-States,Male,unpref
38,293260,9,4700,0,39,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,United-States,unpriv,unpref
29,31062,13,0,0,39,Self-emp-not-inc,Masters,Never-married,Farming-fishing,Not-in-family,White,United-States,Male,unpref
57,150968,12,0,0,40,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,United-States,Male,>50K
34,327210,9,0,0,39,Private,HS-grad,Never-married,Transport-moving,Own-child,White,United-States,Male,unpref
47,126321,8,0,0,45,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,>50K
35,218275,13,7381,0,50,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male,>50K
25,258082,13,0,0,34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Not-in-family,White,United-States,unpriv,unpref
55,185854,9,0,0,39,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
32,71870,13,0,0,38,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male,>50K
41,79085,8,6626,0,39,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,United-States,Male,unpref
32,49262,8,0,1918,58,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,United-States,Male,>50K
21,73820,9,0,0,39,Private,HS-grad,Never-married,Other-service,Own-child,White,United-States,Male,unpref
37,507557,12,0,0,62,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
54,389040,13,0,0,34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,unpriv,unpref
39,292970,9,4933,0,40,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,United-States,Male,unpref
34,257392,8,0,0,14,Private,HS-grad,Married-civ-spouse,Transport-moving,Not-in-family,White,United-States,Male,unpref
25,73433,8,3398,0,39,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,Black,Canada,unpriv,unpref
45,83230,10,5989,0,39,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
39,153712,9,4999,0,56,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,United-States,Male,unpref
24,206752,13,0,2405,40,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,United-States,unpriv,>50K
37,284465,8,4884,0,26,Private,HS-grad,Married-civ-spouse,Tech-support,Husband,Black,United-States,Male,unpref
21,146099,9,0,0,39,Private,Some-college,Never-married,Other-service,Own-child,White,United-States,unpriv,unpref
34,33354,13,0,0,30,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,United-States,unpriv,unpref
55,421910,8,0,0,21,Private,HS-grad,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,United-States,Male,unpref
22,275322,6,4826,0,40,Private,10th,Never-married,Sales,Own-child,White,United-States,Male,unpref
51,137742,5,0,0,39,Self-emp-not-inc,10th,Married-civ-spouse,Protective-serv,Husband,White,Iran,Male,unpref
53,344556,6,0,0,45,Private,11th,Never-married,Craft-repair,Wife,White,United-States,Male,unpref
41,191196,10,0,0,50,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,unpref
53,173919,10,0,0,47,Federal-gov,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male,>50K
36,29821,8,0,0,39,Private,HS-grad,Never-married,Other-service,Other-relative,White,United-States,Male,unpref
48,142409,8,0,0,49,Private,HS-grad,Divorced,Armed-Forces,Not-in-family,White,United-States,Male,unpref
42,204252,13,0,0,67,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,Black,United-States,unpriv,>50K
41,210860,8,0,0,49,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,United-States,Male,unpref
36,82683,9,0,0,40,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,United-States,unpriv,unpref
