age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,native-country,sex,income
38,209056,9,0,0,40,Private,Prof-school,Never-married,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo,China,Male,>50K
57,395136,13,4868,0,52,Local-gov,9th,Married-AF-spouse,Handlers-cleaners,Not-in-family,Other,Peru,Male,unpref
16,166079,9,0,0,33,Private,Masters,Married-civ-spouse,Sales,Own-child,White,South,Male,unpref
37,166955,8,0,0,39,Self-emp-inc,Masters,Divorced,Farming-fishing,Not-in-family,White,Vietnam,Male,unpref
40,88349,8,0,0,40,Local-gov,HS-grad,Never-married,Prof-specialty,Other-relative,Black,Trinadad&Tobago,Male,unpref
37,43443,13,0,0,40,Federal-gov,Preschool,Never-married,Priv-house-serv,Not-in-family,Asian-Pac-Islander,Germany,Male,unpref
35,89204,13,0,0,40,Self-emp-not-inc,Bachelors,Never-married,Other-service,Not-in-family,White,United-States,Male,unpref
32,279435,9,0,0,8,Self-emp-not-inc,Prof-school,Never-married,Farming-fishing,Not-in-family,White,United-States,Male,unpref
23,133328,10,0,0,40,Self-emp-inc,Preschool,Married-spouse-absent,Protective-serv,Not-in-family,White,Scotland,Male,unpref
50,211571,13,0,0,39,Private,Bachelors,Married-civ-spouse,Exec-managerial,Other-relative,White,Vietnam,unpriv,unpref
61,372411,6,0,0,39,Private,12th,Never-married,Prof-specialty,Not-in-family,Other,Vietnam,Male,unpref
44,191866,8,0,0,49,Self-emp-inc,HS-grad,Divorced,Exec-managerial,Husband,White,Scotland,Male,unpref
24,47510,12,0,0,39,Local-gov,Bachelors,Married-spouse-absent,Handlers-cleaners,Not-in-family,White,United-States,Male,unpref
35,222601,13,0,0,47,Private,Doctorate,Divorced,Other-service,Husband,White,Vietnam,Male,>50K
20,136308,9,0,0,39,Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,United-States,unpriv,unpref
44,230149,13,14914,0,40,Private,Doctorate,Married-civ-spouse,Sales,Husband,White,Trinadad&Tobago,Male,>50K
37,156174,9,0,0,39,Private,HS-grad,Married-civ-spouse,Farming-fishing,Not-in-family,White,United-States,Male,unpref
47,118342,14,0,0,39,Private,Preschool,Married-spouse-absent,Prof-specialty,Not-in-family,White,Yugoslavia,Male,unpref
46,320978,14,0,0,28,Self-emp-inc,Preschool,Married-spouse-absent,Sales,Other-relative,White,Yugoslavia,unpriv,unpref
45,188741,9,0,0,46,Self-emp-inc,HS-grad,Married-spouse-absent,Other-service,Husband,White,Yugoslavia,Male,unpref
34,203247,13,0,0,39,Self-emp-inc,Doctorate,Separated,Other-service,Other-relative,White,Vietnam,unpriv,unpref
36,184963,12,0,0,48,Private,Doctorate,Married-civ-spouse,Tech-support,Husband,Amer-Indian-Eskimo,South,Male,unpref
46,172458,13,0,0,32,Self-emp-inc,Doctorate,Never-married,Sales,Other-relative,White,Trinadad&Tobago,Male,>50K
48,217961,9,0,0,40,Self-emp-not-inc,11th,Widowed,Prof-specialty,Unmarried,Black,El-Salvador,unpriv,>50K
36,164489,13,0,0,39,Self-emp-inc,Doctorate,Separated,Handlers-cleaners,Other-relative,Other,Trinadad&Tobago,unpriv,unpref
39,212081,9,0,0,51,,Some-college,Married-spouse-absent,Adm-clerical,Husband,Other,Philippines,Male,unpref
58,131033,9,0,0,33,Self-emp-not-inc,Bachelors,Married-spouse-absent,Sales,Husband,Black,Poland,unpriv,unpref
37,194272,8,0,0,40,,HS-grad,Separated,Machine-op-inspct,Other-relative,Black,Taiwan,Male,unpref
19,322079,8,0,0,39,Private,HS-grad,Separated,Handlers-cleaners,Own-child,White,Trinadad&Tobago,Male,unpref
43,173615,9,0,0,39,Self-emp-inc,Doctorate,Separated,Farming-fishing,Unmarried,Other,Puerto-Rico,unpriv,unpref
23,49934,8,0,0,30,Private,HS-grad,Married-civ-spouse,Priv-house-serv,Other-relative,White,Yugoslavia,Male,unpref
24,319701,8,0,0,40,,Masters,Never-married,Prof-specialty,Own-child,Other,Scotland,Male,unpref
