age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,native-country,sex,income
48,151678,14,16557,1,47,Self-emp-inc,Masters,Married-spouse-absent,Transport-moving,Husband,White,Vietnam,Male,>50K
21,273925,10,41,0,48,Self-emp-inc,Preschool,Married-spouse-absent,Protective-serv,Other-relative,White,Scotland,Male,unpref
65,220353,8,29384,0,44,Self-emp-inc,Preschool,Married-spouse-absent,Transport-moving,Husband,White,Thailand,Male,unpref
39,488215,14,1622,7,46,Self-emp-not-inc,Assoc-acdm,Married-spouse-absent,Tech-support,Husband,White,Vietnam,unpriv,>50K
42,423302,10,0,3,33,Self-emp-not-inc,Prof-school,Never-married,Protective-serv,Other-relative,Black,Trinadad&Tobago,Male,>50K
57,142869,9,80,3,38,Local-gov,9th,Married-spouse-absent,Prof-specialty,Husband,Asian-Pac-Islander,Peru,Male,>50K
37,424873,14,446,0,86,Private,Masters,Married-civ-spouse,Protective-serv,Husband,Other,Trinadad&Tobago,Male,>50K
31,177825,9,31,3,41,Federal-gov,Assoc-acdm,Married-civ-spouse,Priv-house-serv,Husband,White,Portugal,Male,unpref
62,82405,14,1435,7,46,Self-emp-not-inc,Assoc-voc,Married-AF-spouse,Prof-specialty,Wife,Black,Portugal,Male,>50K
44,126329,10,3711,3,31,Local-gov,Assoc-voc,Married-AF-spouse,Craft-repair,Own-child,White,Vietnam,unpriv,unpref
57,115742,12,0,0,34,Private,Some-college,Married-AF-spouse,Other-service,Own-child,White,Cambodia,unpriv,unpref
21,92771,11,45,3,45,Local-gov,Masters,Married-AF-spouse,Handlers-cleaners,Other-relative,Black,Scotland,Male,unpref
32,315062,6,5019,7,81,Without-pay,12th,Married-spouse-absent,Sales,Other-relative,Black,El-Salvador,Male,>50K
53,466227,15,1539,0,22,,Assoc-voc,Divorced,Priv-house-serv,Own-child,White,Trinadad&Tobago,unpriv,unpref
47,352081,10,2,0,31,Local-gov,Preschool,Separated,Handlers-cleaners,Other-relative,White,Trinadad&Tobago,Male,unpref
48,135470,14,2268,7,39,Private,Preschool,Divorced,Tech-support,Husband,Black,Trinadad&Tobago,Male,>50K
24,296939,10,716,1,31,Private,Preschool,Never-married,Exec-managerial,Other-relative,Other,Trinadad&Tobago,unpriv,unpref
54,226113,11,0,7,33,Self-emp-not-inc,11th,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Taiwan,unpriv,>50K
25,76219,12,22958,0,43,Self-emp-inc,Assoc-voc,Married-AF-spouse,Armed-Forces,Own-child,White,Yugoslavia,unpriv,>50K
31,115081,9,12,15,43,Self-emp-inc,Prof-school,Never-married,Other-service,Unmarried,Amer-Indian-Eskimo,Haiti,unpriv,>50K
69,187143,9,23,0,39,Private,Preschool,Married-spouse-absent,Priv-house-serv,Husband,White,Vietnam,Male,unpref
