age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,native-country,sex,income
40,191452,12,11786,376,21,Local-gov,Bachelors,Never-married,Craft-repair,Own-child,White,United-States,Male,unpref
61,123051,14,3886,51,46,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
30,114464,10,6090,221,57,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
62,163804,11,8031,264,47,Private,Assoc-voc,Divorced,Craft-repair,Own-child,White,Mexico,unpriv,unpref
22,174180,10,9859,386,25,Private,Masters,Never-married,Craft-repair,Husband,White,United-States,Male,unpref
23,80948,6,97,157,48,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,United-States,Male,unpref
37,148040,10,7818,304,38,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,unpref
41,165047,11,12037,471,45,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male,unpref
32,194847,9,3547,133,49,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Mexico,Male,unpref
25,183655,6,11487,442,63,Private,Bachelors,Married-civ-spouse,Sales,Own-child,White,England,unpriv,unpref
28,80363,11,3052,153,39,Private,Some-college,Married-civ-spouse,Sales,Husband,White,United-States,Male,unpref
31,40762,9,274,10,36,?,Some-college,Never-married,?,Not-in-family,White,United-States,Male,unpref
44,86251,12,5157,185,47,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male,unpref
25,178692,13,12637,463,4,Self-emp-not-inc,Some-college,Never-married,Craft-repair,Husband,Black,Guatemala,Male,unpref
35,146670,10,3711,150,41,Local-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,United-States,Male,unpref
46,203810,6,11511,453,53,Self-emp-not-inc,Some-college,Never-married,Craft-repair,Husband,White,Ireland,Male,unpref
85,1487344,1,99500,3885,78,?,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
23,237131,8,565,63,26,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,United-States,Male,>50K
23,225635,11,6471,279,45,Private,HS-grad,Never-married,Other-service,Own-child,White,United-States,Male,unpref
53,145507,11,8782,317,60,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,unpref
