sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid
Female,34.0,Greater than 45,African-American,0.0,1.0,0.0,0.0,2.0,-1.0,34.0,7603.0,7604.0,M,0
Male,44.0,25 - 45,Hispanic,0.0,10.0,0.0,0.0,2.0,-1.0,0.0,-300.0,1.0,M,0
Male,37.0,Greater than 45,Other,0.0,2.0,0.0,0.0,0.0,-1.0,602.0,0.0,3.0,M,0
Male,53.0,Greater than 45,Caucasian,0.0,1.0,0.0,0.0,0.0,-1.0,602.0,293.86768,5.0,F,0
Female,24.0,25 - 45,Caucasian,0.0,4.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,M,0
Female,32.0,25 - 45,African-American,0.0,1.0,0.0,0.0,0.0,1025.0,3.0,0.0,1.0,F,0
Male,42.0,25 - 45,Hispanic,0.0,3.0,0.0,0.0,4.0,0.0,76.76764,0.0,1.0,M,0
Female,27.0,25 - 45,African-American,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,M,1
Male,30.0,Less than 25,Caucasian,0.0,1.0,0.0,0.0,2.0,-32.0,-1.0,0.0,0.0,F,0
Male,40.0,25 - 45,Caucasian,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,F,1
Male,29.0,25 - 45,Caucasian,0.0,1.0,0.0,0.0,0.0,0.0,602.0,0.0,2.0,F,0
Male,36.0,Less than 25,Caucasian,0.0,1.0,0.0,0.0,2.0,-1.0,1.0,0.0,1.0,F,0
Male,21.0,Greater than 45,Hispanic,0.0,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,F,1
Male,39.0,Greater than 45,African-American,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,M,0
Male,42.0,25 - 45,African-American,0.0,4.0,0.0,0.0,7.0,-3.0,602.0,0.0,7604.0,M,1
Male,27.0,25 - 45,African-American,0.0,4.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,M,0
Female,24.0,25 - 45,African-American,0.0,5.0,0.0,0.0,8.0,-414.0,0.0,0.0,7604.0,F,1
Male,39.0,Greater than 45,Caucasian,0.0,5.0,0.0,0.0,1.0,-2.0,1.0,0.0,1.0,F,1
Male,21.0,25 - 45,African-American,0.0,10.0,0.0,0.0,36.0,-414.0,2.0,0.0,1.0,M,1
Male,30.0,Greater than 45,Caucasian,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,M,1
Male,96.0,Greater than 45,African-American,0.0,4.0,0.0,0.0,36.0,-24.0,19.0,0.0,7604.0,M,0
Male,29.0,25 - 45,African-American,0.0,1.0,0.0,0.0,2.0,-1.0,1.0,0.0,1.0,F,1
Male,24.0,25 - 45,African-American,0.0,6.0,0.0,0.0,1.0,-1.0,602.0,0.0,7604.0,F,1
Male,31.0,25 - 45,African-American,0.0,5.0,0.0,0.0,0.0,-414.0,0.0,-300.0,1.0,F,1
Male,27.0,25 - 45,African-American,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,M,0
Male,22.0,25 - 45,Caucasian,0.0,4.0,0.0,0.0,0.0,-1.0,602.0,0.0,7604.0,F,1
Male,53.0,25 - 45,African-American,0.0,5.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,F,0
Male,49.0,25 - 45,Caucasian,0.0,4.0,0.0,0.0,1.0,1025.0,1.0,7603.0,1.0,F,0
Male,40.0,25 - 45,African-American,0.0,4.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,F,0
Male,54.0,25 - 45,African-American,0.0,4.0,0.0,0.0,36.0,-1.0,0.0,0.0,1.0,F,0
Male,34.0,25 - 45,Caucasian,0.0,6.0,0.0,0.0,1.0,0.0,602.0,0.0,1.0,M,0
Male,31.0,Greater than 45,Caucasian,0.0,1.0,0.0,0.0,3.0,-1.0,2.0,0.0,1.0,M,0
Male,26.0,25 - 45,African-American,0.0,2.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,M,0
Male,25.0,25 - 45,Caucasian,0.0,4.0,0.0,0.0,1.0,-1.0,1.0,0.0,7604.0,F,0
Male,24.0,Greater than 45,Other,0.0,1.0,0.0,0.0,3.0,-1.0,41.0,7603.0,1.0,M,0
