sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid
Male,35.0,Greater than 45,Asian,0.0,2.0,0.0,0.0,1.0,-414.0,1.0,-300.0,0.0,F,0
Male,37.0,25 - 45,African-American,0.0,2.0,0.0,0.0,1.0,-414.0,0.0,0.0,1.0,M,0
Male,25.0,Less than 25,African-American,0.0,7.0,0.0,0.0,38.0,0.0,37.117424,7603.0,1.0,F,1
Male,24.0,Less than 25,Caucasian,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,7604.0,F,0
Male,38.0,25 - 45,Hispanic,0.0,1.0,0.0,0.0,0.0,-414.0,69.120926,0.0,1.0,F,0
Male,23.0,Less than 25,African-American,0.0,5.0,0.0,0.0,0.0,-1.0,30.0,0.0,1.0,F,1
Male,26.0,25 - 45,Native American,0.0,5.0,0.0,0.0,0.0,-1.0,3.0,0.0,1.0,F,0
Female,37.0,Greater than 45,Caucasian,0.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,M,0
Female,31.0,Greater than 45,Caucasian,0.0,2.0,0.0,0.0,0.0,-1.0,2.0,0.0,1.0,F,0
Male,28.0,Less than 25,African-American,0.0,9.0,0.0,0.0,1.0,-1.0,749.0,0.0,1.0,F,1
Female,42.0,25 - 45,Caucasian,0.0,3.0,0.0,0.0,2.0,-1.0,1.0,0.0,1.0,M,1
Female,30.0,25 - 45,African-American,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,M,0
Male,42.0,25 - 45,African-American,0.0,8.0,0.0,0.0,38.0,-414.0,749.0,0.0,1.0,F,1
Male,37.0,25 - 45,Caucasian,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,7604.0,M,0
Female,78.86498,25 - 45,Hispanic,0.0,7.0,0.0,0.0,3.0,0.0,4.0,7603.0,1.0,F,0
Male,25.0,Less than 25,Caucasian,0.0,9.0,0.0,0.0,0.0,-1.0,749.0,7603.0,54.99485,F,0
Female,29.0,25 - 45,Hispanic,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,M,0
Male,29.0,Greater than 45,Caucasian,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,F,1
Male,26.0,25 - 45,African-American,0.0,6.0,0.0,0.0,1.0,0.0,24.0,0.0,2.0,F,1
Male,18.0,Less than 25,Caucasian,0.0,7.0,0.0,0.0,0.0,0.0,42.0,0.0,1.0,F,0
Male,96.0,25 - 45,African-American,0.0,9.0,0.0,0.0,38.0,-1.0,26.0,0.0,0.0,F,1
