sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid
Male,30.0,25 - 45,Other,0.0,1.0,0.0,0.0,2.0,-2.0,-1.0,-300.0,0.0,M,0
Male,36.0,25 - 45,Caucasian,0.0,10.0,0.0,0.0,4.0,-1.0,1.0,-300.0,0.0,F,1
Male,38.0,Greater than 45,Caucasian,0.0,1.0,0.0,0.0,1.0,-1.0,5.0,1.0,1.0,F,0
Male,50.0,Greater than 45,Caucasian,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,M,0
Female,63.0,Greater than 45,Caucasian,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,M,0
Male,40.0,Less than 25,Other,0.0,9.0,0.0,0.0,4.0,-414.0,-1.0,-300.0,3.0,F,1
Male,37.0,Greater than 45,Caucasian,0.0,10.0,0.0,0.0,38.0,1001.0,749.0,0.0,7604.0,F,1
Female,24.0,Less than 25,Caucasian,0.0,6.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,F,0
Male,96.0,25 - 45,Other,0.0,10.0,0.0,0.0,7.0,-1.0,0.0,-300.0,7604.0,F,0
Male,48.0,Less than 25,Caucasian,0.0,1.0,0.0,0.0,0.0,0.0,24.214203,1.0,1.0,M,1
Male,24.0,Less than 25,Other,0.0,7.0,0.0,0.0,0.0,-1.0,1.0,201.29729,7604.0,F,1
Female,66.0,25 - 45,Other,0.0,1.0,0.0,0.0,0.0,0.0,3.0,7603.0,1.0,M,0
Male,30.0,25 - 45,Other,0.0,1.0,0.0,0.0,11.0,-3.0,-1.0,-300.0,1.0,M,0
Female,31.0,25 - 45,Other,0.0,10.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,F,0
Male,30.0,25 - 45,Other,0.0,10.0,0.0,0.0,0.0,1001.0,3.0,7603.0,0.0,F,0
Female,30.0,Greater than 45,Other,0.0,2.0,0.0,0.0,1.0,-1.0,1.0,0.0,105.961624,F,1
Male,29.0,25 - 45,Other,0.0,3.0,0.0,0.0,38.0,-1.0,0.0,-300.0,1.0,F,1
Female,29.0,Less than 25,Caucasian,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,F,0
Male,45.0,25 - 45,Other,0.0,5.0,0.0,0.0,0.0,-1.0,10.0,0.0,1.0,M,1
Male,18.0,25 - 45,Other,0.0,2.0,0.0,0.0,1.0,-414.0,0.0,1.0,1.0,F,1
Male,30.0,Less than 25,Other,0.0,9.0,0.0,0.0,1.0,1001.0,1.0,1.0,0.0,F,0
Male,28.0,25 - 45,Other,0.0,5.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,F,0
Male,28.0,25 - 45,Other,0.0,7.0,0.0,0.0,38.0,0.0,-1.0,0.0,1.0,F,0
Female,30.0,Less than 25,Other,0.0,4.0,0.0,0.0,0.0,-1.0,1.0,7603.0,2.0,F,1
Female,25.0,Less than 25,Other,0.0,10.0,0.0,0.0,38.0,-1.0,53.877697,0.0,1.0,F,1
Male,26.0,25 - 45,Caucasian,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,0
Male,22.0,Greater than 45,Other,0.0,1.0,0.0,0.0,4.0,-1.0,4.0,0.0,1.0,M,0
Male,27.0,25 - 45,Caucasian,0.0,3.0,0.0,0.0,3.0,-162.74178,0.0,0.0,1.0,F,1
Male,96.0,25 - 45,Other,0.0,10.0,0.0,0.0,38.0,-10.0,-1.0,-300.0,1.0,F,1
Male,23.0,25 - 45,Other,0.0,5.0,0.0,0.0,38.0,-1.0,10.184037,-300.0,0.0,F,1
Male,39.0,Less than 25,Caucasian,0.0,2.0,0.0,0.0,0.0,-1.0,2.0,7603.0,1.0,F,0
Male,28.0,25 - 45,Other,0.0,2.0,0.0,0.0,38.0,0.0,63.93709,1.0,1.0,M,1
Male,32.0,25 - 45,Caucasian,0.0,5.0,0.0,0.0,6.0,-1.0,-1.0,0.0,1.0,M,0
Female,24.0,Less than 25,Other,0.0,10.0,0.0,0.0,3.0,-1.0,-1.0,0.0,7604.0,F,1
