sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid
Female,22,Less than 25,Caucasian,0,3,0,0,0,0.0,-1.0,1.0,1.0,M,0
Male,28,25 - 45,Hispanic,0,2,0,0,1,-9.0,8.0,0.0,9.0,F,0
Male,37,25 - 45,Caucasian,0,6,0,0,1,-1.0,1.0,0.0,1.0,M,0
Male,55,Greater than 45,Caucasian,0,1,0,0,1,-1.0,1.0,0.0,1.0,M,0
Male,31,25 - 45,African-American,0,10,0,2,11,0.0,-1.0,1.0,1.0,F,1
Male,24,Less than 25,Caucasian,0,6,0,0,1,-5.0,0.0,0.0,5.0,F,0
Male,26,25 - 45,African-American,0,2,0,0,0,0.0,2.0,1.0,1.0,F,0
Male,36,25 - 45,Caucasian,0,3,0,0,4,-123.0,8.0,0.0,123.0,F,1
Male,28,25 - 45,African-American,0,5,0,0,4,0.0,0.0,1.0,1.0,F,0
Male,23,Less than 25,African-American,1,8,0,0,5,24.0,1.0,25.0,1.0,F,1
Male,29,25 - 45,African-American,0,7,0,0,0,0.0,0.0,0.0,0.0,F,1
Male,52,Greater than 45,Caucasian,0,1,0,0,1,-1.0,3.0,0.0,1.0,F,1
Male,22,Less than 25,African-American,0,8,0,1,0,-1.0,5.0,0.0,1.0,F,1
Male,26,25 - 45,African-American,0,5,0,2,0,-1.0,0.0,0.0,1.0,F,0
Male,48,Greater than 45,African-American,0,1,0,0,1,-1.0,0.0,0.0,1.0,F,0
Male,33,25 - 45,African-American,0,1,0,0,0,0.0,0.0,0.0,0.0,M,0
Male,34,25 - 45,Hispanic,0,2,0,0,1,-1.0,4.0,0.0,1.0,F,0
Female,25,25 - 45,Caucasian,0,4,0,0,0,0.0,0.0,1.0,1.0,F,1
Male,62,Greater than 45,Caucasian,0,1,0,0,0,-1.0,2.0,0.0,1.0,M,0
Female,43,25 - 45,African-American,0,6,0,0,0,0.0,-1.0,1.0,1.0,F,0
Male,29,25 - 45,African-American,0,8,0,0,1,-1.0,40.0,0.0,1.0,F,0
Female,53,Greater than 45,Caucasian,0,1,0,0,0,0.0,0.0,0.0,0.0,M,0
Female,44,25 - 45,African-American,0,2,0,0,1,-45.0,1.0,0.0,45.0,M,0
Female,29,25 - 45,Caucasian,0,7,0,0,6,-2.0,67.0,0.0,2.0,F,1
Male,39,25 - 45,African-American,0,8,0,0,7,0.0,0.0,1.0,1.0,F,1
Male,22,Less than 25,African-American,0,9,3,0,3,0.0,0.0,0.0,0.0,F,0
Male,22,Less than 25,African-American,0,4,0,0,2,-22.0,16.0,1.0,23.0,F,1
Male,24,Less than 25,African-American,0,2,0,0,1,-1.0,1.0,0.0,1.0,M,1
Male,28,25 - 45,Caucasian,0,2,0,0,1,-1.0,1.0,0.0,1.0,F,1
Male,24,Less than 25,Asian,0,3,0,0,0,-1.0,0.0,0.0,1.0,F,0
Male,22,Less than 25,African-American,1,7,0,0,2,-1.0,1.0,0.0,1.0,F,1
Female,49,Greater than 45,Caucasian,0,1,0,0,0,0.0,-1.0,1.0,1.0,F,0
Male,70,Greater than 45,African-American,0,1,0,0,0,-1.0,1.0,0.0,1.0,M,0
Female,27,25 - 45,African-American,0,3,0,0,0,-1.0,1.0,0.0,1.0,M,0
Male,46,Greater than 45,African-American,0,5,0,0,10,-1.0,9.0,0.0,1.0,F,1
Female,34,25 - 45,Asian,0,1,0,0,1,-10.0,2.0,0.0,10.0,F,0
Male,30,25 - 45,Caucasian,0,2,0,0,2,-22.0,0.0,1.0,23.0,F,0
Male,29,25 - 45,Caucasian,0,2,0,0,5,0.0,0.0,0.0,0.0,F,0
Female,24,Less than 25,African-American,0,3,0,0,0,-1.0,0.0,0.0,1.0,F,0
Male,38,25 - 45,African-American,2,8,2,1,22,-34.0,33.0,1.0,35.0,F,1
Male,50,Greater than 45,Hispanic,0,1,0,0,2,0.0,0.0,0.0,0.0,M,0
Male,38,25 - 45,African-American,0,4,0,0,3,-1.0,1.0,0.0,1.0,F,0
Male,29,25 - 45,Caucasian,0,1,0,0,0,-1.0,0.0,0.0,1.0,M,0
Male,60,Greater than 45,Caucasian,0,1,0,0,3,-120.0,120.0,0.0,120.0,F,0
Male,34,25 - 45,African-American,0,7,0,0,10,-1.0,1.0,0.0,1.0,F,0
Male,38,25 - 45,African-American,0,6,0,0,11,-1.0,18.0,0.0,1.0,F,0
Male,31,25 - 45,African-American,0,1,0,0,1,-1.0,1.0,0.0,1.0,M,0
Male,34,25 - 45,African-American,0,8,0,0,0,-1.0,33.0,0.0,1.0,F,1
Male,65,Greater than 45,Caucasian,0,3,0,0,1,-1.0,0.0,0.0,1.0,F,1
Male,30,25 - 45,African-American,0,9,0,0,0,-1.0,1.0,0.0,1.0,M,0
Female,31,25 - 45,Caucasian,0,2,0,0,0,-3.0,0.0,0.0,3.0,M,0
Male,53,Greater than 45,African-American,0,3,0,0,2,-1.0,0.0,0.0,1.0,F,0
Male,26,25 - 45,African-American,0,2,0,0,0,-1.0,0.0,0.0,1.0,F,0
Male,43,25 - 45,African-American,0,1,0,0,4,-1.0,1.0,-1.0,0.0,F,1
Male,46,Greater than 45,Asian,0,5,0,0,3,-1.0,59.0,0.0,1.0,F,1
Male,33,25 - 45,African-American,0,1,0,0,0,-4.0,3.0,0.0,4.0,F,1
Female,26,25 - 45,Caucasian,0,8,0,0,1,-1.0,0.0,1.0,2.0,F,1
Male,42,25 - 45,African-American,0,5,0,0,10,-1.0,0.0,16.0,17.0,M,1
Male,41,25 - 45,Caucasian,0,4,0,0,11,-1.0,118.0,0.0,1.0,F,1
Male,54,Greater than 45,Caucasian,0,1,0,0,1,-1.0,0.0,0.0,1.0,F,0
Male,45,Greater than 45,African-American,0,3,0,0,4,114.0,-1.0,268.0,154.0,M,1
Male,26,25 - 45,Caucasian,0,7,0,0,1,-1.0,3.0,0.0,1.0,F,1
Male,30,25 - 45,Other,0,1,1,1,3,-1.0,0.0,0.0,1.0,M,0
Female,52,Greater than 45,African-American,0,1,0,0,0,-1.0,2.0,0.0,1.0,F,0
Male,27,25 - 45,Caucasian,0,7,0,0,1,-1.0,28.0,0.0,1.0,M,1
Male,74,Greater than 45,Caucasian,0,1,0,0,0,-1.0,1.0,0.0,1.0,M,0
Female,26,25 - 45,Caucasian,0,3,0,0,0,-1.0,0.0,0.0,1.0,F,0
Male,57,Greater than 45,African-American,0,1,0,0,3,0.0,1.0,0.0,0.0,F,0
Male,27,25 - 45,African-American,0,4,1,0,1,-1.0,8.0,0.0,1.0,F,0
Male,35,25 - 45,African-American,0,3,0,0,5,-1.0,0.0,0.0,1.0,F,0
Female,44,25 - 45,African-American,0,6,0,0,6,-1.0,2.0,0.0,1.0,F,0
Male,33,25 - 45,Other,0,1,0,0,0,-1.0,10.0,0.0,1.0,M,0
Male,26,25 - 45,African-American,0,8,0,0,1,-1.0,1.0,0.0,1.0,M,1
Male,37,25 - 45,African-American,0,3,0,0,4,-1.0,1.0,0.0,1.0,F,0
Male,25,25 - 45,African-American,0,8,0,0,0,0.0,1.0,0.0,0.0,F,0
Male,56,Greater than 45,African-American,0,4,0,0,0,-1.0,1.0,0.0,1.0,M,0
Male,38,25 - 45,African-American,0,1,0,0,0,-1.0,1.0,0.0,1.0,F,0
Female,26,25 - 45,Caucasian,0,5,0,0,0,-4.0,0.0,0.0,4.0,F,0
Male,46,Greater than 45,Caucasian,0,3,0,0,2,-1.0,0.0,0.0,1.0,F,0
Male,66,Greater than 45,Caucasian,0,1,0,0,0,0.0,0.0,0.0,0.0,M,1
Female,42,25 - 45,Caucasian,0,1,0,0,0,-3.0,1.0,0.0,3.0,F,0
Male,26,25 - 45,Caucasian,0,4,0,0,0,-1.0,1.0,1.0,2.0,M,0
Male,24,Less than 25,African-American,0,3,0,0,1,-1.0,0.0,0.0,1.0,M,0
Male,21,Less than 25,African-American,0,10,0,0,0,-1.0,0.0,0.0,1.0,M,0
Male,49,Greater than 45,Caucasian,0,1,0,0,4,-11.0,5.0,5.0,16.0,F,0
Male,22,Less than 25,Caucasian,0,5,0,0,0,-1.0,0.0,0.0,1.0,F,1
Male,57,Greater than 45,Caucasian,0,1,0,0,3,-52.0,12.0,0.0,52.0,M,0
Male,29,25 - 45,Caucasian,0,4,0,0,1,-39.0,33.0,1.0,40.0,F,1
Female,21,Less than 25,African-American,0,4,0,0,0,-1.0,1.0,0.0,1.0,M,0
Male,42,25 - 45,African-American,0,6,0,0,1,0.0,6.0,0.0,0.0,M,1
Male,22,Less than 25,African-American,0,10,0,0,0,-1.0,1.0,0.0,1.0,M,1
Female,20,Less than 25,Caucasian,0,8,0,0,1,-1.0,17.0,0.0,1.0,F,1
Female,24,Less than 25,African-American,0,5,0,0,0,-1.0,0.0,0.0,1.0,M,0
Male,48,Greater than 45,Caucasian,0,2,0,0,1,0.0,0.0,0.0,0.0,F,0
Female,25,25 - 45,Hispanic,0,3,0,0,0,-3.0,0.0,0.0,3.0,M,0
Male,22,Less than 25,African-American,0,5,1,2,1,-1.0,2.0,0.0,1.0,F,0
Male,45,Greater than 45,Caucasian,0,1,0,0,1,-11.0,-1.0,1.0,12.0,M,0
Male,26,25 - 45,African-American,0,1,0,0,1,0.0,14.0,0.0,0.0,M,0
Male,42,25 - 45,Other,0,1,0,0,1,-13.0,0.0,0.0,13.0,M,0
Male,20,Less than 25,African-American,0,10,0,0,0,-1.0,209.0,0.0,1.0,F,1
Male,34,25 - 45,African-American,0,6,0,0,4,0.0,0.0,1.0,1.0,M,0
Female,31,25 - 45,African-American,0,1,0,0,0,-1.0,2.0,0.0,1.0,F,0
Male,20,Less than 25,Other,0,10,0,0,1,-1.0,35.0,0.0,1.0,F,1
Male,45,Greater than 45,Caucasian,0,4,0,0,2,0.0,2.0,0.0,0.0,M,0
Male,25,25 - 45,African-American,0,6,0,0,1,-1.0,1.0,0.0,1.0,M,0
Male,22,Less than 25,Other,0,3,0,1,0,-1.0,1.0,0.0,1.0,F,0
Male,28,25 - 45,Caucasian,0,4,0,0,1,-1.0,4.0,0.0,1.0,F,0
Male,31,25 - 45,Hispanic,0,1,0,0,0,-5.0,1.0,0.0,5.0,F,0
Male,26,25 - 45,African-American,0,8,1,0,4,-1.0,1.0,0.0,1.0,M,1
Male,40,25 - 45,African-American,0,6,0,0,8,0.0,43.0,0.0,0.0,M,1
Male,30,25 - 45,Caucasian,0,4,0,1,2,0.0,0.0,0.0,0.0,M,1
Male,53,Greater than 45,Caucasian,0,5,0,0,1,-1.0,0.0,0.0,1.0,M,0
Female,28,25 - 45,Caucasian,0,2,0,0,0,-1.0,0.0,0.0,1.0,M,0
Male,25,25 - 45,Caucasian,0,5,0,1,2,0.0,0.0,1.0,1.0,F,0
Male,21,Less than 25,African-American,0,4,0,0,0,-1.0,4.0,0.0,1.0,F,1
Female,25,25 - 45,Caucasian,0,3,0,0,0,-1.0,0.0,0.0,1.0,M,0
Male,23,Less than 25,African-American,0,6,0,1,5,0.0,1.0,1.0,1.0,F,1
Female,30,25 - 45,African-American,0,6,0,0,3,0.0,12.0,0.0,0.0,F,1
Male,57,Greater than 45,African-American,0,5,0,0,1,-1.0,25.0,0.0,1.0,F,1
Male,29,25 - 45,African-American,0,4,0,0,2,-1.0,0.0,0.0,1.0,F,1
Male,21,Less than 25,Caucasian,0,4,0,0,0,0.0,0.0,0.0,0.0,M,1
Female,23,Less than 25,Caucasian,0,6,0,0,1,0.0,1.0,0.0,0.0,M,0
Male,32,25 - 45,Hispanic,0,1,0,0,1,-27.0,0.0,0.0,27.0,F,0
Male,31,25 - 45,African-American,3,10,0,1,15,-1.0,4.0,0.0,1.0,M,1
Male,36,25 - 45,African-American,0,5,0,0,5,-1.0,1.0,0.0,1.0,M,1
Male,20,Less than 25,Caucasian,0,10,4,0,4,-1.0,0.0,0.0,1.0,F,0
Female,48,Greater than 45,Caucasian,0,1,0,0,1,0.0,0.0,1.0,1.0,M,0
Male,28,25 - 45,African-American,0,6,0,0,6,-1.0,0.0,0.0,1.0,M,1
Male,29,25 - 45,Caucasian,0,10,0,0,1,-1.0,11.0,60.0,61.0,M,0
Male,40,25 - 45,Caucasian,0,2,0,0,0,-1.0,0.0,0.0,1.0,F,0
Female,32,25 - 45,African-American,0,3,0,0,0,-1.0,1.0,0.0,1.0,M,1
Male,34,25 - 45,Caucasian,0,5,0,0,4,-1.0,0.0,0.0,1.0,F,0
Male,28,25 - 45,Caucasian,0,7,0,0,2,-1.0,0.0,0.0,1.0,F,0
Male,27,25 - 45,African-American,0,7,0,0,6,0.0,1.0,0.0,0.0,F,1
Male,32,25 - 45,Other,0,1,0,0,0,-1.0,1.0,0.0,1.0,F,0
Male,38,25 - 45,African-American,0,6,1,0,10,-1.0,0.0,0.0,1.0,M,0
Male,35,25 - 45,Hispanic,0,2,0,0,0,-1.0,87.0,0.0,1.0,F,1
Female,59,Greater than 45,Caucasian,0,3,0,0,2,26.0,29.0,426.0,400.0,F,0
Male,35,25 - 45,African-American,0,2,0,0,3,-1.0,11.0,0.0,1.0,M,0
Male,22,Less than 25,African-American,0,6,0,1,3,-1.0,16.0,0.0,1.0,F,1
Female,53,Greater than 45,African-American,0,1,0,0,0,0.0,0.0,0.0,0.0,F,0
Male,33,25 - 45,African-American,0,8,0,0,0,-1.0,1.0,0.0,1.0,M,1
Male,61,Greater than 45,African-American,0,6,0,0,15,-1.0,1.0,0.0,1.0,F,1
Male,26,25 - 45,African-American,0,3,0,0,0,-3.0,0.0,0.0,3.0,M,1
Male,26,25 - 45,African-American,0,6,0,0,1,-1.0,29.0,0.0,1.0,M,1
Male,64,Greater than 45,Caucasian,0,3,0,0,0,-1.0,108.0,0.0,1.0,F,0
Male,34,25 - 45,African-American,0,4,0,0,2,-1.0,0.0,0.0,1.0,F,0
Male,20,Less than 25,African-American,0,10,0,0,0,-1.0,4.0,0.0,1.0,M,1
Male,25,25 - 45,African-American,0,5,0,0,0,-1.0,0.0,0.0,1.0,F,0
Male,26,25 - 45,Caucasian,0,4,0,0,0,0.0,-1.0,0.0,0.0,F,0
Male,41,25 - 45,Caucasian,0,9,0,0,17,171.0,47.0,357.0,186.0,M,1
Male,25,25 - 45,African-American,0,8,0,0,5,-1.0,35.0,0.0,1.0,F,0
Female,33,25 - 45,Caucasian,0,2,0,0,2,-29.0,0.0,0.0,29.0,F,0
Male,21,Less than 25,Caucasian,0,8,1,2,1,-1.0,12.0,0.0,1.0,F,0
Male,46,Greater than 45,Other,0,1,0,0,0,-1.0,5.0,0.0,1.0,F,0
Male,36,25 - 45,African-American,0,6,0,0,7,-1.0,0.0,0.0,1.0,F,1
Male,26,25 - 45,Caucasian,0,5,0,0,0,0.0,0.0,0.0,0.0,F,0
Female,37,25 - 45,Caucasian,0,6,0,0,7,-30.0,6.0,0.0,30.0,F,1
Female,39,25 - 45,African-American,0,6,0,0,3,-1.0,2.0,0.0,1.0,M,0
Male,20,Less than 25,African-American,0,5,0,2,0,-1.0,0.0,0.0,1.0,F,1
Female,47,Greater than 45,Other,0,1,0,0,0,-1.0,3.0,0.0,1.0,F,0
Male,31,25 - 45,African-American,0,7,0,0,0,0.0,-1.0,0.0,0.0,F,0
Male,24,Less than 25,Hispanic,1,6,0,0,4,-1.0,0.0,0.0,1.0,F,1
Male,21,Less than 25,African-American,0,6,0,0,3,34.0,63.0,72.0,38.0,F,1
Male,38,25 - 45,Caucasian,0,3,0,0,2,-21.0,19.0,0.0,21.0,F,0
Male,24,Less than 25,Hispanic,0,1,0,0,0,-1.0,1.0,0.0,1.0,F,1
Male,23,Less than 25,Caucasian,0,5,0,0,6,-1.0,0.0,0.0,1.0,F,1
Male,42,25 - 45,Caucasian,0,4,0,0,3,0.0,0.0,0.0,0.0,F,0
