sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid
Male,21,Less than 25,Other,0,3,0,0,0,-23.187013694869073,358.7538409713607,0.003177982989306133,21.890039581010125,F,0
Male,25,25 - 45,African-American,0,7,0,0,9,-1.0099152841688903,26.88560804388045,0.002164794730156877,1.0125362249114465,F,1
Male,31,25 - 45,Other,0,1,0,0,0,-1.0047349657210338,0.16287813990798206,0.0019974408259274823,1.0037003018526838,F,0
Male,42,25 - 45,Other,0,1,0,0,5,-1.0074256951235223,-0.31941919615925285,0.0038286795212351815,1.0050085006619036,M,1
Male,23,Less than 25,Caucasian,0,3,0,0,0,-1.0071897517808779,0.2815779396450457,0.003087761471104261,1.0066631872258693,F,0
Male,21,Less than 25,African-American,0,7,0,0,0,-1.004903930006884,0.3109034762893256,0.003945821156773943,0.9981534326436439,F,0
Female,21,Less than 25,African-American,0,7,0,0,0,-21.556736763937415,0.06674101122795278,0.0034621330085044533,20.551480459429207,F,1
Male,47,Greater than 45,African-American,0,1,0,0,3,-1.0080861391015246,0.7834661199103055,0.0020709757330809875,1.00734248457888,F,1
Male,55,Greater than 45,Caucasian,0,1,0,0,0,-1.0033222808995426,1.1544868747585513,0.0015982426193487387,0.9999145559546813,M,0
Male,49,Greater than 45,Caucasian,0,1,0,0,2,-1.0109685461644857,0.05825255951598124,0.0012969994943140273,0.998705220459486,M,0
Male,27,25 - 45,African-American,0,5,0,0,5,-1.0089975767541093,22.180608268012733,0.001374782272002384,1.0088435824315087,M,1
Male,22,Less than 25,African-American,0,2,0,0,0,-1.0027598600092085,1.5227003659058784,0.0036468848896612505,1.0002503923718873,F,0
Male,20,Less than 25,African-American,0,3,0,0,0,-0.7549909303946423,1.1125930805022368,0.005105987768902892,0.7738945590531132,F,0
Male,21,Less than 25,African-American,0,9,0,0,0,-1.0096756979783033,1.6497661317671946,0.004932201084653018,0.9991502267007822,F,1
Male,32,25 - 45,Caucasian,0,3,0,0,2,-0.9969997772316098,1.139362959654822,0.00292344611541534,1.000665845621496,M,0
Female,22,25 - 45,Hispanic,0,5,0,0,0,-4.790001712967758,-0.24749810303424225,0.0034723868395323543,3.447370431020566,F,0
Male,21,Less than 25,African-American,0,7,0,0,0,-1.0108633534876397,1.736259763914974,0.003621285880385461,1.0058789218353998,F,1
Male,30,25 - 45,African-American,0,9,0,0,16,-1.0085060680352806,0.9364534114137864,0.0027609091744240366,1.0087323564139605,F,1
Female,36,25 - 45,Hispanic,0,1,0,0,0,-0.9984109816925826,-0.09872885525702624,0.0018827279967471855,1.011203619979878,M,0
Female,27,25 - 45,African-American,0,3,0,0,0,-1.009489259632999,-0.0537257123263406,0.0030245007197180485,1.0075232508037482,M,1
Male,31,25 - 45,African-American,0,6,0,0,9,-1.0102974203694088,0.6317645034381285,0.0029426834812585623,1.0100231605928096,F,1
Male,21,Less than 25,African-American,0,9,0,0,0,-1.006528233815833,28.163404616367966,0.0037948083430231067,1.006356852714799,F,1
Female,56,Greater than 45,African-American,0,5,0,0,0,-1.0083404127905895,6.610915469086766,0.002100416118103604,1.0050238390988167,F,0
Male,22,Less than 25,African-American,0,9,0,0,0,-1.0144435328350117,33.21539851845253,0.002993281919997842,1.0117460463683619,M,0
Male,20,Less than 25,African-American,0,3,0,0,0,-1.0011231908359284,7.399531951128212,0.002561371045352867,1.0052556142471074,M,1
Male,52,Greater than 45,Caucasian,0,1,0,0,0,-9.885850834518573,7.697987060805545,0.0057829438641382735,9.408651402172094,F,0
Male,22,Less than 25,African-American,0,7,0,0,0,-1.0082414898759395,1.9749356765786703,0.0035865509007488305,1.0038071089700056,M,1
Male,22,Less than 25,Caucasian,0,3,0,0,1,-1.0078235347562081,-0.0009184331106287802,0.003671670909361005,1.0069816290127043,F,0
Male,20,Less than 25,African-American,0,2,0,0,0,-0.9940325832456166,0.6746013496052279,0.004236251520447223,0.9954490273909264,F,0
Male,29,25 - 45,African-American,0,5,0,0,0,-18.21601378669128,1.3028046538340339,0.0032370974938544794,17.944275411524135,M,0
Male,64,Greater than 45,Caucasian,0,1,0,0,0,-22.506551360922597,0.0016769629826934862,0.005710059348645616,20.68660496155729,F,0
Male,25,25 - 45,African-American,0,9,1,0,15,-1.0100698221963542,10.50521524293687,0.003336973263271925,1.007075166657959,F,1
Male,48,Greater than 45,African-American,0,1,0,0,3,-21.244533181287053,10.68996919976411,0.0019268834930962764,20.613097953372435,F,1
Female,30,Greater than 45,Caucasian,0,1,0,0,0,-1.0051296704726214,1.225133850460569,0.0020206516783236594,1.0024609535958353,M,0
Female,21,Less than 25,Caucasian,0,3,0,0,0,-10.006976807222976,0.03262390617445965,0.0012586873605427984,9.387944913305125,M,0
Male,23,Less than 25,African-American,0,3,0,0,0,-7.56682986551254,-0.08491977472606549,0.003516481361663215,5.83146816671837,M,0
Male,23,25 - 45,Caucasian,0,5,0,0,0,-1.0066638174233242,-0.06360952596356784,0.002802229369626652,1.0091503894839327,F,1
Male,63,Greater than 45,Caucasian,0,1,0,0,0,-1.0098064341307633,0.03059086499497965,0.0036735306230162162,1.0043831368801532,M,0
Male,23,Less than 25,African-American,0,5,0,0,0,-1.0087560457761744,1.5936505483316656,0.004080848562985739,1.0113866339690232,F,0
Male,52,Greater than 45,Caucasian,0,3,0,0,3,-1.0067667750460543,0.01053731072503128,0.0017767446431396772,1.0039666491481214,F,0
Female,25,25 - 45,Caucasian,0,5,0,0,0,-1.00387898353454,-0.05111031566355051,0.003127597960330575,1.0047419617956468,M,0
Male,24,25 - 45,African-American,0,3,0,0,0,-1.0046266671897666,4.924472800239656,0.0031665401610232735,1.004382549396308,F,1
Male,24,Less than 25,African-American,0,9,0,0,5,-1.0154148815485815,8.321861274632566,0.0020404581368700936,1.0152838613123325,F,1
Male,22,Less than 25,Caucasian,0,1,0,0,0,-1.0045117796028578,0.48843255247954465,0.00441735511088151,0.9977693076086459,M,0
Male,42,25 - 45,African-American,0,3,0,0,2,-1.0006883857302946,12.214691676598461,0.0033009070132045126,0.9979543139343094,F,0
Male,26,25 - 45,African-American,0,6,0,0,9,-1.0084278121145365,1.5965078134562534,0.002615505988747935,1.0102086394598266,F,1
Male,39,25 - 45,African-American,0,4,0,0,2,-1.002793008474153,0.4324724627314652,0.0018976158683585431,0.9990958972164958,F,0
