sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid
Female,27.0,25 - 45,African-American,0.0,2.0,0.0,0.0,2.0,-2.0,1.0,0.0,1.0,F,1
Male,39.0,25 - 45,Caucasian,0.0,2.0,0.0,0.0,8.0,-1.0,1.0,0.0,7.0,F,1
Male,34.0,Greater than 45,African-American,0.0,1.0,0.0,0.0,0.0,-13.0,1.0,0.0,37.0,M,1
Male,30.0,Greater than 45,Caucasian,0.0,4.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,M,1
Male,27.0,Greater than 45,Caucasian,0.0,4.0,0.0,0.0,0.0,-17.0,0.0,0.0,1.0,M,0
Male,31.0,Less than 25,African-American,0.0,8.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,M,0
Male,29.0,Less than 25,Caucasian,0.0,1.0,0.0,0.0,1.0,-1.0,749.0,0.0,1.0,F,1
Male,27.0,25 - 45,African-American,0.0,2.0,0.0,0.0,22.762283,-1.0,54.0,0.0,1.0,F,1
Female,30.0,25 - 45,Caucasian,0.0,6.0,0.0,0.0,0.0,-1.0,4.4484982,0.0,1.0,F,1
Male,35.0,25 - 45,Caucasian,0.0,5.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,M,1
Female,31.0,Less than 25,Caucasian,0.0,3.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,F,0
Male,30.0,Greater than 45,Asian,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,F,0
Male,33.0,25 - 45,Hispanic,0.0,1.0,0.0,0.0,0.0,-1.0,5.0,0.0,0.0,M,0
Female,96.0,Greater than 45,African-American,0.0,4.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,F,0
Male,36.0,25 - 45,Hispanic,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,F,0
Male,44.0,Greater than 45,Caucasian,0.0,1.0,0.0,0.0,4.0,-1.0,18.0,0.0,7604.0,M,0
Male,42.0,25 - 45,Caucasian,0.0,1.0,0.0,0.0,1.0,-1.0,3.0,0.0,7604.0,F,0
Male,28.0,Less than 25,Caucasian,0.0,8.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,F,0
Male,39.0,Greater than 45,Caucasian,0.0,4.0,0.0,0.0,0.0,-6.0,0.0,0.0,1.0,F,0
Male,33.0,25 - 45,African-American,0.0,3.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,F,0
Male,27.0,25 - 45,Caucasian,0.0,3.0,0.0,0.0,1.0,-3.0,0.0,0.0,1.0,F,1
Male,51.729008,25 - 45,Caucasian,0.0,4.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,M,1
Male,25.0,25 - 45,African-American,0.0,4.0,0.0,0.0,3.0,-1.0,0.0,0.0,2.0,F,1
Male,30.0,Greater than 45,Caucasian,0.0,2.0,0.0,0.0,0.0,-101.59711,3.0,0.0,1.0,M,0
Male,41.0,Greater than 45,African-American,0.0,6.0,0.0,0.0,2.0,-15.0,0.0,0.0,1.0,F,1
Female,73.98737,25 - 45,Caucasian,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,M,0
Male,36.0,25 - 45,African-American,0.0,5.0,0.0,0.0,1.0,-1.0,10.0,0.0,1.0,M,0
Male,31.0,25 - 45,African-American,0.0,5.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,M,0
Male,23.0,Less than 25,African-American,0.0,5.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,F,1
Male,18.0,Less than 25,African-American,0.0,3.0,0.0,0.0,4.0,-1.0,749.0,0.0,4.0,F,1
Male,30.0,25 - 45,Caucasian,0.0,1.0,0.0,0.0,1.0,-1.0,5.0,0.0,1.0,M,0
Female,18.0,Less than 25,African-American,0.0,7.0,0.0,0.0,7.0,-1.0,749.0,0.0,18.0,F,1
Male,42.0,25 - 45,Caucasian,0.0,5.0,0.0,0.0,5.0,-1.0,36.0,0.0,1.0,M,1
Male,39.0,25 - 45,African-American,0.0,3.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,F,0
Female,22.0,Less than 25,Caucasian,0.0,9.0,0.0,0.0,0.0,-1.0,749.0,1.0,1.0,F,0
Male,29.0,25 - 45,Caucasian,0.0,3.0,0.0,0.0,1.0,-414.0,1.0,0.0,7604.0,F,1
Female,29.0,Greater than 45,African-American,0.0,3.0,0.0,0.0,0.0,-17.96175,0.0,0.0,4.0,F,0
Male,43.0,Greater than 45,African-American,0.0,3.0,0.0,0.0,0.0,1001.0,-1.0,0.0,1.0,F,0
Male,32.0,Greater than 45,African-American,0.0,3.0,0.0,0.0,7.0,-1.0,1.0,0.0,1.0,F,1
Male,24.0,Less than 25,African-American,0.0,9.0,0.0,0.0,1.0,-1.0,0.0,0.0,7604.0,F,0
Male,35.0,25 - 45,African-American,0.0,2.0,0.0,0.0,0.0,0.0,749.0,0.0,1.0,F,0
Male,35.0,25 - 45,Caucasian,0.0,5.0,0.0,0.0,2.0,-1.0,10.0,0.0,1.0,F,0
Male,25.0,25 - 45,African-American,0.0,10.0,0.0,0.0,3.0,-1.0,1.0,0.0,1.0,M,1
Male,22.0,Less than 25,African-American,0.0,10.0,0.0,0.0,0.0,-7.0,1.0,0.0,5.0,F,1
