sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid
Male,78,Greater than 45,African-American,4,5,3,5,1,-293.96978759765625,145.41165161132812,1456.1500244140625,1436.6116943359375,M,0
Male,95,Greater than 45,African-American,4,5,12,6,35,612.598876953125,596.1873168945312,7558.77783203125,7601.07470703125,M,0
Male,70,25 - 45,Hispanic,4,5,2,0,0,-199.92678833007812,171.52420043945312,602.9422607421875,603.9171752929688,F,1
Male,91,Less than 25,Other,4,5,10,6,1,-317.3599548339844,318.9701232910156,4905.1181640625,6990.7275390625,F,1
Male,95,Less than 25,Asian,4,5,12,6,11,-384.0289611816406,560.3812866210938,4351.6435546875,7592.2138671875,M,0
Female,58,25 - 45,Caucasian,4,8,0,0,12,-182.41250610351562,21.13713264465332,31.426177978515625,289.77972412109375,F,1
Male,58,25 - 45,African-American,4,6,0,0,2,-21.683837890625,25.986984252929688,170.05426025390625,148.16482543945312,M,0
Male,90,Greater than 45,Native American,4,5,8,2,30,-312.1767272949219,549.7080078125,3434.150146484375,6965.9189453125,M,0
Male,95,Less than 25,Caucasian,4,5,12,6,33,426.74273681640625,601.9354858398438,7598.34619140625,7589.95947265625,M,0
Male,58,25 - 45,African-American,4,8,0,0,5,-215.7948760986328,26.861875534057617,251.63494873046875,133.09117126464844,F,1
Male,58,25 - 45,African-American,4,8,0,0,11,16.1668701171875,217.32693481445312,18.7554931640625,101.2123031616211,M,1
Male,57,25 - 45,African-American,4,7,0,0,10,448.6171875,18.056739807128906,430.658447265625,107.39327239990234,F,1
Male,95,Less than 25,Caucasian,4,5,12,6,25,888.359619140625,601.3707885742188,7602.9345703125,7494.39404296875,M,0
Male,93,Greater than 45,African-American,4,5,12,5,35,1024.4547119140625,401.38519287109375,3005.43896484375,6369.49169921875,M,0
Male,59,25 - 45,Caucasian,4,5,0,0,0,-55.591522216796875,23.87374496459961,-152.54196166992188,888.886962890625,F,0
Male,66,25 - 45,African-American,4,5,2,2,2,-137.45071411132812,175.65904235839844,732.7095947265625,2329.474853515625,M,0
Female,89,Less than 25,Asian,4,5,12,6,33,-57.663116455078125,601.2728271484375,4504.041015625,4635.38671875,F,0
Male,73,Less than 25,Other,4,5,4,2,0,-219.07861328125,283.57733154296875,1621.0477294921875,2272.00634765625,M,0
Male,62,25 - 45,Caucasian,4,5,0,2,0,-350.9154968261719,174.69093322753906,5300.25537109375,582.9136352539062,M,0
Male,95,Less than 25,Caucasian,4,5,12,6,4,-364.1634521484375,586.59423828125,7514.91015625,7603.552734375,F,0
Male,64,25 - 45,African-American,4,6,0,0,23,100.852294921875,43.67059326171875,4046.3857421875,399.2846374511719,F,1
Female,57,25 - 45,African-American,4,9,0,0,23,210.52178955078125,26.949140548706055,-6.153472900390625,104.12682342529297,F,1
Male,80,25 - 45,Asian,4,5,5,3,30,994.31494140625,583.6533203125,7488.81298828125,2519.3173828125,M,0
Female,68,25 - 45,Hispanic,4,5,1,0,4,-206.7678985595703,87.10717010498047,650.2640380859375,1297.7127685546875,M,0
Male,60,25 - 45,Other,4,5,1,1,2,-159.70199584960938,60.910682678222656,2938.732177734375,555.7415771484375,F,0
Female,80,25 - 45,African-American,4,5,11,6,7,-249.97802734375,597.410400390625,4580.65576171875,5946.93603515625,F,0
Male,95,Less than 25,Hispanic,4,5,12,6,34,1010.54296875,599.7245483398438,7529.53857421875,7589.24609375,M,0
Male,57,25 - 45,African-American,4,9,0,0,8,32.649261474609375,6.769370079040527,222.844970703125,44.53451919555664,F,1
Female,90,Less than 25,Asian,4,5,10,6,0,-154.47601318359375,556.6476440429688,7501.50927734375,5394.53857421875,F,0
Female,74,Less than 25,Other,4,5,11,4,7,1003.9739990234375,261.7585144042969,2849.755126953125,4401.53564453125,F,0
Male,77,Greater than 45,Hispanic,4,5,4,1,30,498.13922119140625,385.6614685058594,952.74072265625,4421.8349609375,F,0
Female,58,25 - 45,African-American,4,8,0,0,15,-141.07553100585938,3.754678249359131,228.9703369140625,213.70785522460938,F,1
Male,58,25 - 45,African-American,4,6,0,0,0,-243.1828155517578,15.854633331298828,-138.51817321777344,322.4773864746094,F,1
Male,59,25 - 45,African-American,4,7,0,0,0,-288.8677062988281,37.54438400268555,284.25439453125,529.9154052734375,F,1
Male,65,25 - 45,Native American,4,5,4,1,0,456.54058837890625,17.776180267333984,5851.30322265625,857.570556640625,M,0
Male,78,Greater than 45,Caucasian,4,5,1,0,12,698.2655029296875,16.902996063232422,3777.17626953125,2204.1240234375,M,1
Male,58,25 - 45,African-American,4,7,0,0,33,-314.8370361328125,21.813678741455078,375.87371826171875,411.0623474121094,M,1
Male,59,25 - 45,Hispanic,4,6,1,0,6,-58.1099853515625,112.58131408691406,1056.4156494140625,1924.2132568359375,F,0
Male,68,25 - 45,Hispanic,4,5,2,1,11,113.94683837890625,54.31095886230469,2348.0185546875,4006.856201171875,M,0
Male,59,25 - 45,African-American,4,9,0,0,23,186.10491943359375,19.233413696289062,215.05889892578125,321.9906005859375,F,1
